N	2gram	Vinokur_Ku_1	VrazhdaK
1	в году	1	18
2	в бесах	1	10
3	не только	10	9
4	в этом	14	8
5	и в	24	8
6	достоевский в	1	8
7	и что	5	8
8	достоевского в	1	7
9	но и	6	7
10	и все	2	7
11	то что	9	7
12	что в	17	7
13	все же	12	6
14	но в	2	6
15	в нем	4	6
16	как и	2	6
17	в котором	3	6
18	и с	5	6
19	о нем	2	6
20	в начале	1	6
21	и даже	3	6
22	то же	8	5
23	об этом	1	5
24	в то	2	5
25	же время	2	5
26	между тем	5	5
27	в письме	1	5
28	не было	3	5
29	в россии	1	5
30	и не	12	5
31	г а	1	5
32	в ней	6	4
33	что он	6	4
34	в истории	3	4
35	целый ряд	5	4
36	при этом	6	4
37	это не	7	4
38	несмотря на	3	4
39	в дневнике	1	4
40	все это	6	4
41	письме к	1	4
42	в виду	5	4
43	во многом	1	4
44	с ним	5	4
45	о том	9	4
46	для нас	2	4
47	у достоевского	1	4
48	уже в	3	4
49	может быть	13	4
50	достоевского не	1	4
51	как бы	7	4
52	в своих	1	4
53	так же	4	4
54	речь идет	2	3
55	одним из	2	3
56	который был	1	3
57	я не	2	3
58	в чем	1	3
59	с его	4	3
60	в своем	3	3
61	и как	2	3
62	на то	4	3
63	его в	1	3
64	он не	2	3
65	далеко не	1	3
66	и уже	1	3
67	том что	21	3
68	но он	1	3
69	и его	5	3
70	связи с	7	3
71	что у	1	3
72	и во	1	3
73	в его	12	3
74	в том	30	3
75	давно уже	1	3
76	и у	1	3
77	в конце	1	3
78	тем что	8	3
79	в связи	3	3
80	эти слова	1	3
81	наряду с	1	3
82	матери и	1	3
83	я хотел	1	3
84	т е	38	3
85	к этому	1	3
86	же как	1	2
87	и то	3	2
88	на место	1	2
89	и он	3	2
90	столь же	1	2
91	но как	1	2
92	в эти	1	2
93	тогда как	2	2
94	отнюдь не	1	2
95	в известном	1	2
96	в той	5	2
97	в письмах	1	2
98	в этой	3	2
99	в себе	3	2
100	в нашей	1	2
101	таким образом	12	2
102	в них	7	2
103	рядом с	5	2
104	а с	3	2
105	не мог	2	2
106	на первый	1	2
107	точки зрения	14	2
108	в своей	2	2
109	с точки	9	2
110	он тоже	1	2
111	не менее	7	2
112	том же	2	2
113	одна из	1	2
114	никогда не	2	2
115	и далее	1	2
116	к себе	4	2
117	же не	1	2
118	на основе	1	2
119	еще не	5	2
120	а также	1	2
121	тем более	2	2
122	после смерти	1	2
123	уже не	8	2
124	из них	4	2
125	его и	1	2
126	для него	1	2
127	отношение к	1	2
128	к ним	1	2
129	как раз	8	2
130	как же	1	2
131	о чем	2	2
132	в честь	1	2
133	не может	7	2
134	вместе с	7	2
135	и а	2	2
136	в него	1	2
137	в это	2	2
138	но это	1	2
139	что я	2	2
140	же в	4	2
141	а в	5	2
142	в свою	3	2
143	широкое распространение	1	1
144	не сумев	1	1
145	вряд ли	1	1
146	можно говорить	2	1
147	также и	2	1
148	того же	4	1
149	не имел	1	1
150	к своей	1	1
151	это и	4	1
152	идет о	2	1
153	и есть	2	1
154	что слово	3	1
155	не хочет	1	1
156	по преимуществу	2	1
157	едва ли	1	1
158	в их	3	1
159	полагает что	1	1
160	вы не	1	1
161	той же	3	1
162	именно к	1	1
163	еще до	1	1
164	говорить о	1	1
165	один пример	2	1
166	в числе	2	1
167	это время	1	1
168	литературе и	2	1
169	по своему	1	1
170	за него	1	1
171	как правило	1	1
172	совершенно прав	1	1
173	совсем не	1	1
174	но не	5	1
175	с пушкиным	1	1
176	в сторону	2	1
177	не все	2	1
178	если в	2	1
179	взгляд совершенно	1	1
180	что они	4	1
181	к сожалению	1	1
182	как говорит	1	1
183	же с	1	1
184	как в	4	1
185	с этим	4	1
186	только об	1	1
187	как к	1	1
188	что ее	1	1
189	разногласия и	1	1
190	состояло в	1	1
191	в самом	10	1
192	у целого	1	1
193	что это	5	1
194	мы получаем	1	1
195	в целом	4	1
196	не был	1	1
197	что же	6	1
198	выражение в	1	1
199	еще один	2	1
200	тому же	1	1
201	во многих	2	1
202	но ведь	2	1
203	как он	1	1
204	лет тому	1	1
205	начал писать	1	1
206	да и	1	1
207	всех этих	1	1
208	же это	1	1
209	в силу	10	1
210	из него	1	1
211	и этот	1	1
212	всего то	1	1
213	однако в	1	1
214	одно и	1	1
215	ввел в	1	1
216	есть все	1	1
217	конечно в	1	1
218	а их	1	1
219	это было	2	1
220	заключается в	2	1
221	августа года	1	1
222	не хуже	1	1
223	было бы	15	1
224	и индивидуальное	1	1
225	на пороге	1	1
226	в жизни	1	1
227	одним лишь	1	1
228	как общее	1	1
229	человек который	1	1
230	соответствии с	3	1
231	этого не	2	1
232	не всегда	2	1
233	в москве	2	1
234	в развитии	1	1
235	одного и	2	1
236	в этих	4	1
237	или вообще	1	1
238	и их	1	1
239	предполагать что	1	1
240	всяком случае	5	1
241	каким был	1	1
242	представление о	3	1
243	своего рода	1	1
244	ряда других	1	1
245	тем не	4	1
246	доказывает что	2	1
247	по крайней	5	1
248	с такими	1	1
249	что этот	1	1
250	равно не	1	1
251	для россии	1	1
252	сам этот	1	1
253	а вот	1	1
254	раз и	1	1
255	но они	1	1
256	тем самым	4	1
257	человека но	1	1
258	не имеет	2	1
259	правда в	1	1
260	в процессе	1	1
261	как о	2	1
262	и надеюсь	1	1
263	дневника писателя	1	1
264	также что	1	1
265	только не	1	1
266	нельзя не	1	1
267	ничего не	2	1
268	того как	4	1
269	иными словами	4	1
270	историю той	1	1
271	более что	1	1
272	это слово	3	1
273	потому что	23	1
274	до того	2	1
275	этом отношении	5	1
276	к запискам	1	1
277	эту сторону	1	1
278	в каком	2	1
279	ли это	2	1
280	этот закон	1	1
281	такие же	1	1
