N	2gram	Tiupa_Vved_1	NovoeSre
1	а не	15	17
2	и в	13	16
3	не может	7	16
4	нового времени	3	12
5	и не	12	11
6	что в	3	9
7	в том	10	8
8	жизни и	7	8
9	он не	3	8
10	в этом	21	7
11	может быть	18	7
12	как и	11	7
13	высшей степени	2	6
14	не в	6	6
15	в высшей	2	6
16	никогда не	4	6
17	лишь в	2	6
18	но это	3	6
19	не знает	1	6
20	должен быть	1	5
21	с ее	1	5
22	в ней	4	5
23	истории в	5	5
24	культуры в	1	5
25	и к	2	5
26	не только	20	5
27	в жизни	4	5
28	все это	1	5
29	в нем	5	5
30	о том	5	4
31	и мы	1	4
32	в час	1	4
33	мировой войны	1	4
34	перестает быть	1	4
35	в них	2	4
36	то что	6	4
37	это не	6	4
38	прежде всего	7	4
39	не было	2	4
40	и потому	1	4
41	по своему	2	4
42	не менее	4	4
43	и для	3	4
44	не имеет	2	4
45	и все	4	4
46	потому что	5	4
47	с другой	5	3
48	начало нового	1	3
49	в ее	1	3
50	должна быть	2	3
51	еще не	7	3
52	сферы культуры	1	3
53	во всех	2	3
54	в истории	1	3
55	наряду с	2	3
56	как в	4	3
57	к ним	2	3
58	подобно тому	2	3
59	в мире	8	3
60	но и	19	3
61	с тем	1	3
62	в своей	5	3
63	тому как	2	3
64	что такое	18	3
65	не существует	2	3
66	жизни не	1	3
67	в основе	3	3
68	к ее	3	3
69	жизни в	4	3
70	в духе	1	3
71	истории не	1	3
72	к тому	6	3
73	дня и	1	3
74	сказать что	1	3
75	роль в	1	2
76	можно было	2	2
77	так и	8	2
78	времени и	7	2
79	мы не	4	2
80	мира и	2	2
81	и с	2	2
82	мира а	2	2
83	но она	1	2
84	жизни как	1	2
85	и что	1	2
86	и на	3	2
87	времени в	3	2
88	истории а	3	2
89	на протяжении	1	2
90	но не	5	2
91	в новом	1	2
92	в центре	2	2
93	хотя и	7	2
94	не хотят	2	2
95	но в	6	2
96	который в	2	2
97	все эти	1	2
98	с одной	5	2
99	себя в	1	2
100	с их	1	2
101	есть в	2	2
102	в себе	5	2
103	уже не	5	2
104	вернуться к	1	2
105	не к	4	2
106	том чтобы	2	2
107	нашего времени	2	2
108	у него	1	2
109	что она	1	2
110	что все	1	2
111	и даже	1	2
112	на уровне	1	2
113	и т.п	9	2
114	этом смысле	1	2
115	бытия в	2	2
116	зависит от	2	2
117	и было	1	2
118	том что	7	2
119	вместе с	1	2
120	так же	1	2
121	к подлинному	1	2
122	место в	2	2
123	одной стороны	5	2
124	такого рода	16	2
125	мир и	1	2
126	другой стороны	2	2
127	обращение к	1	2
128	ни одна	1	2
129	как будто	4	2
130	войны и	3	2
131	как это	1	2
132	в то	4	2
133	одна из	4	2
134	к духовному	1	2
135	в мировой	1	2
136	того чтобы	1	2
137	и от	2	2
138	хотя бы	1	2
139	все они	2	2
140	а в	6	2
141	ли это	2	2
142	могут быть	4	2
143	в категориях	2	2
144	можно назвать	1	2
145	оно может	1	1
146	обращена к	1	1
147	и через	1	1
148	для себя	1	1
149	он может	1	1
150	переход от	1	1
151	характер и	1	1
152	перед лицом	1	1
153	приводит к	2	1
154	счастья не	1	1
155	и до	1	1
156	сама идея	1	1
157	природе своей	1	1
158	миру а	1	1
159	с собой	1	1
160	не с	3	1
161	по природе	1	1
162	несоизмеримо более	1	1
163	культуры был	1	1
164	еще в	2	1
165	мир не	1	1
166	к новой	1	1
167	с ним	3	1
168	можно сказать	4	1
169	это всегда	1	1
170	говорить о	2	1
171	о самом	1	1
172	на себя	1	1
173	мы всегда	1	1
174	в виду	1	1
175	зависимости от	1	1
176	это время	2	1
177	более высокой	1	1
178	и возврат	1	1
179	на их	1	1
180	и мира	3	1
181	не могу	1	1
182	своего рода	10	1
183	к нему	1	1
184	нем не	1	1
185	то он	2	1
186	в его	4	1
187	отличие от	2	1
188	не хотел	1	1
189	неизбежно будет	1	1
190	лишь к	1	1
191	и только	1	1
192	народов и	1	1
193	и она	1	1
194	вся жизнь	1	1
195	но тут	1	1
196	в значительной	1	1
197	к которому	2	1
198	в своем	5	1
199	и нет	1	1
200	жизни его	1	1
201	в формах	1	1
202	человека в	1	1
203	что он	1	1
204	особое место	1	1
205	только в	6	1
206	во всем	1	1
207	по своей	3	1
208	в этот	2	1
209	в самом	2	1
210	к чему	1	1
211	мира эти	1	1
212	нее входит	1	1
213	он в	1	1
214	и жизни	1	1
215	из этих	3	1
216	тоже не	2	1
217	этой системе	1	1
218	и у	1	1
219	уже в	1	1
220	свидетельствует о	4	1
221	вообще не	1	1
222	из них	1	1
223	мир в	1	1
224	сказать мы	1	1
225	и их	1	1
226	этого нельзя	1	1
227	всяком случае	1	1
228	к одному	1	1
229	слова в	2	1
230	жизнью и	1	1
231	сами по	1	1
232	в конце	1	1
233	который можно	1	1
234	последние годы	1	1
235	часто не	1	1
236	другого мира	1	1
237	которые могут	1	1
238	человек как	1	1
239	людей и	1	1
240	тем что	2	1
241	заключает в	1	1
242	в нее	1	1
243	значительной степени	1	1
244	в последние	1	1
245	этом он	1	1
246	значение в	1	1
247	жизни от	1	1
248	до начала	1	1
249	жизни для	1	1
250	из всех	1	1
251	них не	1	1
252	хотят знать	2	1
253	с другими	1	1
254	было бы	4	1
255	это одна	1	1
256	он есть	1	1
257	из направлений	1	1
258	времени что	1	1
259	было и	1	1
260	есть время	2	1
261	в отличие	2	1
262	что не	1	1
263	но оно	1	1
264	обратиться к	2	1
265	что будет	1	1
266	для них	3	1
267	связано с	3	1
268	их не	1	1
269	превращается в	1	1
270	а на	2	1
271	они не	1	1
272	в этой	1	1
273	с большей	1	1
274	не на	1	1
275	земная жизнь	1	1
276	этого не	1	1
277	власти и	1	1
278	не всегда	2	1
279	жизнь в	1	1
280	человеческой жизни	3	1
281	она неизбежно	1	1
282	что мы	2	1
283	и того	2	1
284	ближе к	1	1
285	он и	2	1
286	одного и	1	1
287	во франции	1	1
288	и еще	1	1
289	в этих	3	1
290	во время	1	1
291	но если	1	1
292	и особенно	1	1
293	к себе	1	1
294	в котором	8	1
295	не столько	4	1
296	у нас	1	1
297	в зависимости	1	1
298	в силу	2	1
299	войне и	2	1
300	и нами	1	1
301	но он	1	1
302	о человеке	1	1
303	быть только	2	1
304	в мир	1	1
305	мы должны	1	1
306	и более	3	1
307	их в	2	1
308	распадается на	1	1
309	во времени	2	1
310	быть не	4	1
311	по себе	2	1
312	в той	4	1
313	будто бы	3	1
314	рода в	1	1
315	приблизиться к	1	1
316	мира не	2	1
317	человека не	1	1
318	истории но	1	1
319	мире а	1	1
320	исторический период	1	1
321	в сущности	1	1
322	не по	1	1
323	это уже	1	1
324	движение времени	1	1
325	времени его	2	1
326	из их	1	1
327	которая в	3	1
328	так долго	1	1
329	а к	3	1
330	но также	2	1
331	в исторический	1	1
332	а во	1	1
333	бы он	1	1
334	к этой	1	1
335	своей природе	2	1
336	и его	5	1
337	а также	8	1
338	или не	2	1
339	так называемый	1	1
340	в области	3	1
341	только одна	1	1
342	нет ничего	1	1
343	в период	1	1
344	в свою	4	1
345	на смену	2	1
346	и оно	2	1
347	того же	1	1
348	жизни а	1	1
349	есть только	1	1
350	и вполне	1	1
351	числе и	1	1
352	для настоящего	1	1
353	жизни без	1	1
354	во всяком	1	1
355	то они	1	1
356	оно не	1	1
357	который не	1	1
358	все что	3	1
359	том числе	1	1
