N	3gram	Bakhtin_Pr_1	VelikijI
1	к тому что	1	3
2	то что я	1	2
3	том что он	4	2
4	по этому пути	1	2
5	великого инквизитора и	1	2
6	так как не	2	2
7	в том что	6	2
8	и т д	1	2
9	в платоновском смысле	1	1
10	но все же	2	1
11	для него не	2	1
12	его и не	1	1
13	хоть и не	1	1
14	то ни стало	1	1
15	и во всяком	1	1
16	во что бы	1	1
17	я ничего не	1	1
18	и есть то	1	1
19	хотя бы и	2	1
20	бы то ни	2	1
21	и великого инквизитора	1	1
22	по крайней мере	1	1
23	то и другое	1	1
24	есть то что	1	1
25	нет этих черт	1	1
26	что бы то	1	1
27	того что он	1	1
28	в конце концов	5	1
29	в известном смысле	1	1
30	и в этом	5	1
31	его личности и	1	1
32	не могут быть	1	1
33	и менее всего	1	1
34	и нет этих	1	1
35	с другой стороны	3	1
36	как бы в	2	1
37	по сравнению с	1	1
38	раз и навсегда	1	1
39	так и в	1	1
40	ивана карамазова и	3	1
41	и никогда не	1	1
42	проявляется и в	1	1
43	менее всего можно	1	1
44	и в форме	1	1
45	и что в	1	1
