N	4gram	Potebnia_M_2	Psycholo
1	одно и то же	2	3
2	состоит в том что	1	2
3	одного и того же	6	2
4	не в состоянии объяснить	1	2
5	одной и той же	1	2
6	в нашем сознании и	1	1
7	для того чтобы сделать	1	1
8	в то время как	3	1
9	в том что он	1	1
10	всегда заключает в себе	1	1
11	указывает нам на то	1	1
12	с одной стороны и	1	1
13	дело в том что	1	1
14	в том что оно	1	1
15	ли мы вместе с	1	1
16	в том смысле в	1	1
17	нам кажется что мы	1	1
18	не прямо а в	1	1
19	один и тот же	1	1
20	страха и т п	1	1
21	на то что в	2	1
22	и в свою очередь	4	1
