N	2gram	Bakhtin_Pr_4	Literetu
1	и не	27	22
2	и в	46	16
3	в мире	3	16
4	при этом	5	15
5	в этом	16	14
6	но и	12	14
7	не только	14	14
8	в том	9	12
9	то что	4	12
10	может быть	23	12
11	а не	11	12
12	в частности	1	11
13	я и	1	10
14	не в	10	10
15	своего рода	4	10
16	так и	4	9
17	то же	6	9
18	в то	5	9
19	не может	19	8
20	в жизни	5	8
21	в этой	3	8
22	к себе	6	8
23	как бы	19	8
24	том что	4	8
25	же время	5	7
26	точки зрения	11	7
27	тем самым	1	7
28	себя в	3	7
29	в своей	3	7
30	я в	1	7
31	только в	6	7
32	со стороны	1	7
33	в себе	7	6
34	в другом	2	6
35	еще не	7	6
36	к тому	2	6
37	в его	9	6
38	и его	6	6
39	и т.п	14	6
40	с другой	3	6
41	о том	5	6
42	с его	5	6
43	как и	12	5
44	в целом	1	5
45	что я	6	5
46	а в	2	5
47	а именно	1	5
48	вместе с	2	5
49	в ее	1	5
50	то есть	40	5
51	это не	5	5
52	как в	4	5
53	отличие от	3	5
54	лишь в	2	5
55	тому же	1	5
56	именно в	1	5
57	в отличие	3	5
58	в поэзии	2	5
59	что он	6	5
60	одним из	3	4
61	данном случае	1	4
62	место в	1	4
63	перед лицом	1	4
64	отношению к	5	4
65	даже в	1	4
66	в жизнь	1	4
67	входит в	1	4
68	но не	4	4
69	жизни в	1	4
70	никогда не	6	4
71	хотя и	6	4
72	по отношению	5	4
73	должно быть	4	4
74	одной стороны	1	4
75	и ты	1	4
76	и для	3	4
77	в одном	11	4
78	и если	1	4
79	до конца	4	4
80	по существу	3	4
81	с одной	1	4
82	как будто	1	4
83	однако в	1	4
84	в данном	2	4
85	не становится	1	3
86	с ее	3	3
87	в словах	4	3
88	на его	1	3
89	и наконец	4	3
90	жизни и	5	3
91	как на	1	3
92	самим собой	2	3
93	и жизни	1	3
94	наконец в	1	3
95	там где	2	3
96	бы и	2	3
97	более того	3	3
98	в области	1	3
99	отношения к	2	3
100	по своей	3	3
101	совершенно не	4	3
102	потому что	4	3
103	а затем	1	3
104	между тем	2	3
105	но в	6	3
106	себе самому	4	3
107	с точки	9	3
108	например в	4	3
109	и к	9	3
110	как это	1	3
111	все время	2	3
112	в романе	6	3
113	в единстве	3	3
114	а я	1	3
115	в слове	3	3
116	той же	3	3
117	все еще	1	3
118	прежде всего	9	3
119	и тем	2	3
120	жизнью в	1	3
121	в самом	9	3
122	в сторону	1	3
123	однако не	1	3
124	и как	2	3
125	том числе	4	3
126	еще в	1	3
127	уже не	4	3
