N	3gram	Bakhtin_KF_1	Istorich
1	в том что	2	5
2	здесь мы имеем	2	4
3	вместе с тем	1	3
4	не может быть	11	3
5	влечет за собой	1	2
6	и эти деревья	1	2
7	во всяком случае	1	2
8	по отношению к	22	2
9	что и в	1	2
10	на том что	1	1
11	если он не	1	1
12	в этом мире	1	1
13	быть дано только	1	1
14	того что в	1	1
15	уже не может	2	1
16	же не может	1	1
17	небо и землю	1	1
18	он вступает в	1	1
19	как бы два	1	1
20	в зависимости от	1	1
21	но это не	1	1
22	со всех сторон	1	1
23	то или иное	2	1
24	и тем не	1	1
25	и то что	1	1
26	нет места для	1	1
27	этого мира не	1	1
28	своем месте и	1	1
29	это может быть	1	1
30	и должна быть	1	1
31	в противоречие с	1	1
32	не потому что	1	1
33	на своем месте	2	1
34	что в эту	1	1
35	на задний план	1	1
36	из которых как	1	1
37	это не значит	1	1
38	иной мир в	1	1
39	в том смысле	1	1
40	к отказу от	1	1
41	независимо от того	1	1
42	и не потому	1	1
43	в обе стороны	1	1
44	тем она становится	1	1
45	и тем самым	1	1
46	не менее в	1	1
47	не было ни	1	1
48	в иной мир	1	1
49	на то что	1	1
50	не значит что	1	1
51	и небо и	1	1
52	тем не менее	2	1
53	никто не живет	1	1
54	для того чтобы	1	1
55	может быть дано	1	1
56	здесь не в	1	1
57	смысле этого слова	1	1
58	как бы он	1	1
