N	2gram	Medvedev_I_1	FransuaR
1	и в	1	45
2	и не	2	15
3	в этом	2	14
4	что в	2	12
5	и с	3	10
6	жизни и	1	8
7	и др	1	8
8	все это	1	7
9	он не	2	6
10	в них	1	6
11	того чтобы	1	6
12	так и	1	6
13	для того	1	6
14	все эти	1	5
15	со всеми	1	5
16	и о	1	4
17	это было	1	4
18	в основе	1	4
19	ничего не	2	4
20	бы в	1	4
21	а также	1	4
22	а в	1	4
23	по поводу	1	4
24	того же	1	3
25	нисколько не	1	3
26	того что	1	3
27	для него	1	3
28	по существу	1	3
29	говорить о	1	2
30	в целом	1	2
31	от этого	1	2
32	и без	1	2
33	вплоть до	1	2
34	на котором	1	2
35	должен быть	2	2
36	и та	1	2
37	в значительной	1	2
38	только для	1	2
39	в эту	1	2
40	с жизнью	1	1
41	не остается	1	1
42	свою жену	1	1
43	нам в	1	1
44	художественном творчестве	1	1
45	эпизод с	1	1
46	для других	1	1
47	по отношению	1	1
48	более чем	1	1
49	о жизни	1	1
50	это был	1	1
51	какую роль	1	1
52	и еще	1	1
53	же это	1	1
54	них не	1	1
55	оказывается для	1	1
56	точно и	1	1
57	никогда не	1	1
58	как только	1	1
59	что при	1	1
60	и со	1	1
61	значительной мере	1	1
62	и сам	1	1
63	если бы	1	1
64	было не	1	1
65	у всех	1	1
66	себя в	1	1
67	не увидел	1	1
68	не дает	1	1
69	не случайно	1	1
70	тем что	1	1
71	стороны он	1	1
72	что для	1	1
73	эти произведения	1	1
74	как смерть	1	1
75	отношению к	1	1
