N	3gram	Losev_Prob_4	Tragedij
1	униженных и оскорбленных	1	16
2	униженные и оскорбленные	1	9
3	в то же	2	5
4	так и в	1	3
5	преступлении и наказании	1	2
6	точно так же	3	2
7	в преступлении и	1	2
8	и в частности	2	2
9	в данном случае	5	2
10	и как бы	1	2
11	бросается в глаза	1	2
12	о том что	3	2
13	но все же	1	2
14	в том что	8	2
15	искусство для искусства	1	1
16	как и его	1	1
17	не так ли	1	1
18	об этом свидетельствует	1	1
19	никто не скажет	1	1
20	в таком виде	1	1
21	том что он	1	1
22	эти образы и	1	1
23	что он с	1	1
24	во французской литературе	1	1
25	и не может	1	1
26	хотя бы и	2	1
27	сам по себе	6	1
28	что он не	1	1
29	и то что	1	1
30	и т п	1	1
31	за то что	1	1
32	за что не	1	1
33	все эти черты	1	1
34	не скажет что	1	1
35	и потому как	1	1
36	во всяком случае	4	1
37	в конце концов	1	1
38	в чем же	1	1
39	это тот самый	1	1
40	по сравнению с	1	1
41	тем не менее	10	1
42	романа униженные и	1	1
43	у достоевского не	1	1
44	бы и не	1	1
45	в связи с	3	1
46	все эти образы	2	1
47	отнюдь не является	1	1
48	и вместе с	1	1
49	это и есть	1	1
50	с самого начала	1	1
51	не только не	4	1
52	несмотря на всю	1	1
53	несмотря на все	1	1
54	ни за что	1	1
55	в братьях карамазовых	1	1
56	к тому что	1	1
57	это не просто	2	1
58	и оскорбленных и	1	1
59	искусством для искусства	2	1
60	как и в	1	1
