N	2gram	Losev_Vlad_2	Myslijsy
1	потому что	9	46
2	то есть	7	34
3	в том	18	32
4	и в	30	30
5	может быть	7	28
6	то же	4	23
7	не только	12	21
8	только в	6	21
9	для нас	7	20
10	но и	8	19
11	того что	5	18
12	том что	12	18
13	то что	20	18
14	не есть	4	17
15	что в	12	17
16	в себе	6	16
17	по себе	5	16
18	и не	18	15
19	не в	9	15
20	в сознании	1	15
21	а не	7	15
22	таким образом	3	14
23	что и	3	13
24	так как	5	13
25	если бы	1	12
26	вместе с	8	12
27	а в	11	12
28	точно так	3	12
29	так и	5	11
30	есть уже	1	11
31	как в	3	10
32	в этом	20	10
33	в душе	1	10
34	как и	5	10
35	в то	9	10
36	и что	5	10
37	мы не	2	9
38	только тогда	2	9
39	из этих	3	9
40	в нем	4	9
41	было бы	9	9
42	тогда когда	2	9
43	для него	9	9
44	и то	5	8
45	в ней	4	8
46	в самом	2	8
47	от того	1	8
48	что не	2	8
49	что мы	1	8
50	есть не	1	7
51	но не	3	7
52	с тем	2	7
53	и без	1	7
54	тем что	1	7
55	как мы	11	7
56	так что	5	7
57	вовсе не	4	7
58	к тому	2	7
59	например в	1	6
60	то это	4	6
61	с этим	5	6
62	же с	13	6
63	между собою	1	6
64	с ним	5	6
65	не имеет	2	6
66	те же	3	6
67	там же	12	6
68	что он	13	6
69	уже не	3	6
70	то и	1	6
71	из них	1	6
72	не может	9	6
73	имеет значение	1	6
74	что только	1	6
75	но это	4	6
76	если б	1	5
77	сам по	2	5
78	и т	1	5
79	еще не	1	5
80	независимо от	1	5
81	в своем	8	5
82	и как	3	5
83	есть для	2	5
84	думать что	1	5
85	к одному	1	5
86	и тем	1	5
87	в них	3	5
88	что я	3	5
89	по крайней	4	5
90	же время	3	5
91	к ней	3	5
92	в каком	1	5
93	не могут	1	5
94	сравнительно с	3	5
95	не менее	7	5
96	крайней мере	4	5
97	уже в	3	5
98	есть только	1	5
99	должно быть	3	5
100	сказать что	11	5
101	только как	1	5
102	в действительности	1	5
103	говоря о	3	4
104	не все	1	4
105	что именно	1	4
106	не было	10	4
107	что это	4	4
108	он не	4	4
109	не к	1	4
110	но вместе	1	4
111	и по	2	4
112	мы видели	2	4
113	и при	2	4
114	себе не	1	4
115	в котором	5	4
116	для меня	4	4
117	есть нечто	2	4
118	того как	2	4
119	и его	6	4
120	по поводу	4	4
