N	3gram	Ircho_Kome_2	DiskursI
1	в отличие от	2	12
2	в том что	5	6
3	то же время	3	5
4	с одной стороны	2	4
5	в то же	3	4
6	по отношению к	3	4
7	о том что	4	3
8	так и в	1	3
9	той или иной	1	3
10	не может быть	1	3
11	в соответствии с	1	2
12	в первую очередь	3	2
13	не более чем	2	2
14	ни одно из	1	2
15	в обоих случаях	2	2
16	в наше время	1	2
17	в качестве примера	1	2
18	с точки зрения	1	2
19	так и на	1	2
20	с самого начала	1	1
21	и столь же	3	1
22	не в состоянии	1	1
23	в том числе	3	1
24	в большинстве случаев	1	1
25	одна из них	1	1
26	бы то ни	2	1
27	по общему мнению	1	1
28	в это время	2	1
29	но и здесь	1	1
30	столь же неожиданная	1	1
31	одно из двух	1	1
32	и в то	1	1
33	здесь в этом	2	1
34	не последнюю роль	1	1
35	с другой стороны	1	1
36	то ни было	2	1
37	и тех же	2	1
38	ни о чем	1	1
39	в пределах одного	1	1
40	того или иного	1	1
41	речь идет о	2	1
42	как будто бы	1	1
43	то что в	1	1
44	но все эти	1	1
45	том что ни	1	1
46	говоря уже о	2	1
47	в полной мере	1	1
48	но в этом	1	1
49	мере в какой	1	1
50	в самом деле	1	1
51	не говоря уже	2	1
52	друг от друга	1	1
53	потому что в	1	1
54	мы имеем дело	1	1
55	приходит в голову	1	1
56	том числе и	1	1
57	тем не менее	1	1
58	одних и тех	2	1
59	во всяком случае	2	1
60	но не менее	1	1
61	и в современной	1	1
