N	4gram	Bakhtin_Pr_2	DiskursI
1	в то же время	3	3
2	одного и того же	1	2
3	в том числе и	2	2
4	по природе своей не	1	1
5	нем только благодаря постоянному	1	1
6	и не может быть	1	1
7	подняться к его истокам	1	1
8	сохраняется в нем только	1	1
9	только благодаря постоянному ее	1	1
10	в нем только благодаря	1	1
11	благодаря постоянному ее обновлению	1	1
12	в большей или меньшей	1	1
13	необходимо подняться к его	1	1
14	памяти в процессе литературного	1	1
15	сохраняются неумирающие элементы архаики	1	1
16	дело в том что	1	1
17	то же время и	1	1
18	жанре всегда сохраняются неумирающие	1	1
19	творческой памяти в процессе	1	1
20	в каждом индивидуальном произведении	1	1
21	но в таком случае	1	1
22	для правильного понимания жанра	1	1
23	всегда сохраняются неумирающие элементы	1	1
24	в жанре всегда сохраняются	1	1
25	может быть в нем	1	1
26	нет и не может	1	1
27	и в том и	1	1
28	в процессе литературного развития	1	1
29	большей или меньшей степени	1	1
