N	2gram	Tiupa_Lite_1	VLabPisa
1	таким образом	3	27
2	в этом	12	26
3	и в	8	25
4	не только	24	22
5	творческого процесса	2	22
6	может быть	13	21
7	хотя бы	2	20
8	и не	12	19
9	художественного творчества	3	18
10	не может	5	17
11	творческий процесс	1	15
12	в его	7	15
13	творческого воображения	1	14
14	этом отношении	2	13
15	в том	16	13
16	прежде всего	11	13
17	творческое воображение	1	12
18	в частности	15	12
19	как это	8	12
20	в силу	4	11
21	с другой	3	11
22	из них	4	11
23	в художественном	4	10
24	в качестве	17	10
25	о том	2	10
26	то же	5	9
27	что в	3	9
28	по этому	2	9
29	для него	2	9
30	но и	17	9
31	и др	3	9
32	к этому	1	9
33	в своем	11	8
34	реальной действительности	1	8
35	все эти	2	8
36	по словам	1	8
37	на основании	1	8
38	другой стороны	1	8
39	могут быть	2	8
40	в году	13	7
41	во всех	1	7
42	по отношению	3	7
43	из этих	2	7
44	было бы	2	7
45	как и	6	7
46	том что	14	7
47	в конечном	5	7
48	этому поводу	1	7
49	произведения и	1	7
50	не было	3	7
51	а не	16	7
52	вместе с	1	7
53	же в	5	7
54	отношению к	2	7
55	художественного произведения	1	6
56	в зависимости	1	6
57	в себе	7	6
58	в нем	2	6
59	идеи и	1	6
60	это не	4	6
61	том же	3	6
62	и его	4	6
63	в то	5	6
64	художественное творчество	1	6
65	так и	4	6
66	между тем	2	6
67	у него	3	6
68	то что	10	6
69	одним из	5	5
70	и есть	3	5
71	в их	3	5
72	зависимости от	1	5
73	конечном счете	4	5
74	очевидно что	1	5
75	все же	4	5
76	в пределах	3	5
77	в плане	1	5
78	не в	8	5
79	же время	5	5
80	связи с	6	5
81	на основе	1	5
82	приводит к	3	5
83	он же	1	5
84	произведения как	1	5
85	один из	3	5
86	для художника	1	5
87	он говорит	1	5
88	как бы	7	5
89	не является	2	5
90	сказать что	1	5
91	только в	8	5
92	в искусстве	2	5
93	с его	5	4
94	в этой	4	4
95	перед нами	1	4
96	в самом	3	4
97	в целом	8	4
98	в статье	1	4
99	в них	1	4
100	не удивительно	1	4
101	даже в	2	4
102	одна из	3	4
103	никогда не	4	4
104	к тому	2	4
105	должен быть	2	4
106	в ее	1	4
107	можно сказать	1	4
108	что он	5	4
109	в нашей	2	4
110	в одном	1	4
111	как раз	4	4
112	в связи	4	4
113	художественное произведение	2	4
114	в романе	1	4
115	в своей	4	4
116	например в	3	3
117	человека и	2	3
118	мыслительного процесса	1	3
119	в котором	1	3
120	из его	2	3
121	всего лишь	4	3
122	и он	1	3
123	в которых	1	3
124	но как	1	3
125	что они	1	3
126	и как	1	3
127	и художественного	1	3
128	следующим образом	2	3
129	в противоположность	1	3
130	и по	1	3
131	его в	3	3
132	далеко не	3	3
133	что не	2	3
134	с тем	1	3
135	в слове	2	3
136	во время	1	3
137	точки зрения	6	3
138	это делает	1	3
139	одном из	1	3
140	а вот	1	3
141	как о	1	3
142	например что	1	3
143	это мы	1	3
144	со своим	1	3
145	сводится к	3	3
146	данного произведения	1	3
