N	2gram	Tiupa_Anal_3	IolandNe
1	и не	12	2
2	в этом	14	2
3	оба они	1	2
4	он не	6	2
5	что в	9	2
6	ничего не	3	2
7	себя в	4	1
8	теперь я	1	1
9	все это	3	1
10	автора и	1	1
11	с литературными	1	1
12	и др	1	1
13	и тот	1	1
14	как смерть	3	1
15	а для	2	1
16	и в	18	1
17	и о	1	1
18	в эту	1	1
19	я не	1	1
20	а по	1	1
21	то она	1	1
22	бы в	1	1
23	более чем	2	1
24	того же	5	1
25	при такой	1	1
26	с другой	7	1
27	это было	1	1
28	а в	10	1
29	вплоть до	2	1
30	того что	1	1
31	в художественном	1	1
32	и без	3	1
33	как о	1	1
34	а позднее	1	1
35	пушкина и	2	1
36	а с	1	1
37	другой стороны	5	1
38	и смыслы	1	1
39	с героем	2	1
40	и еще	1	1
41	для него	6	1
42	а также	2	1
43	в основе	1	1
44	что при	1	1
45	в значительной	2	1
46	говорить о	3	1
47	могло бы	1	1
48	как отец	1	1
49	и сам	4	1
50	такого знания	1	1
51	отношению к	7	1
52	а если	1	1
53	так и	14	1
54	от этого	1	1
55	произведения и	2	1
56	того чтобы	1	1
57	у и	3	1
58	не случайно	8	1
59	никогда не	5	1
60	о ней	1	1
61	жизни и	1	1
62	тем что	2	1
63	в целом	3	1
64	по поводу	3	1
65	по отношению	7	1
66	очевидно что	2	1
67	в них	2	1
68	все эти	2	1
69	со всеми	2	1
70	автор и	1	1
71	если бы	1	1
72	для того	1	1
73	другое дело	1	1
