N	2gram	Ircho_Kome_2	BTomashe
1	у нас	1	3
2	и не	14	2
3	в ней	3	2
4	можно было	4	2
5	видеть в	1	2
6	больше чем	5	2
7	все это	3	2
8	говорить о	2	1
9	и меньше	1	1
10	во всяком	2	1
11	по отдельным	2	1
12	с другой	2	1
13	не все	1	1
14	вопрос о	3	1
15	в своей	3	1
16	остановиться на	1	1
17	между ними	1	1
18	всяком случае	2	1
19	в области	1	1
20	следовало бы	1	1
21	до конца	1	1
22	и ее	2	1
23	не укладывается	1	1
24	не вполне	2	1
25	в эпоху	1	1
26	более что	1	1
27	и в	26	1
28	будто бы	1	1
29	так и	12	1
30	не о	1	1
31	также что	2	1
32	об этом	2	1
33	представляется нам	1	1
34	же не	2	1
35	и нет	1	1
36	не было	3	1
37	и во	2	1
38	было бы	8	1
39	отнюдь не	2	1
40	одной из	4	1
41	в пределах	1	1
42	никак не	1	1
43	говорить об	1	1
44	чем на	2	1
45	все же	4	1
46	его не	1	1
47	иначе не	1	1
48	меньше чем	2	1
49	забывать что	1	1
50	и более	1	1
51	прежде всего	4	1
52	значение слова	1	1
53	что в	9	1
54	таким образом	6	1
55	всего в	2	1
56	еще не	6	1
57	как будто	4	1
58	не только	7	1
59	не следует	2	1
60	и на	7	1
61	другой стороны	1	1
62	тем более	1	1
63	а не	1	1
