N	2gram	Vygotskiy__7	Stilisti
1	и в	26	42
2	не только	24	27
3	как бы	6	27
4	прежде всего	7	22
5	и т.д	1	20
6	внутренней речи	67	18
7	то же	8	15
8	но и	11	15
9	и не	18	14
10	не может	11	12
11	может быть	7	12
12	мы уже	3	11
13	как и	15	11
14	точки зрения	28	11
15	отнюдь не	1	10
16	в этом	29	10
17	и как	1	10
18	как мы	14	10
19	ситуации и	2	10
20	мы должны	6	10
21	что мы	9	10
22	мы не	7	9
23	при этом	1	9
24	в то	3	9
25	для того	18	9
26	общественной жизни	1	9
27	то что	24	9
28	в ней	3	8
29	все же	6	8
30	в себе	9	8
31	таким образом	23	8
32	тем самым	8	8
33	и это	1	8
34	с тем	5	8
35	что же	2	8
36	в зависимости	1	7
37	зависимости от	1	7
38	в которой	11	7
39	было бы	6	7
40	и тем	6	7
41	так как	14	7
42	никогда не	4	7
43	потому что	16	7
44	того чтобы	19	7
45	ничего не	2	7
46	слов и	2	7
47	только в	8	7
48	и его	12	7
49	мы можем	3	7
50	а не	6	7
51	и от	4	7
52	во всех	6	6
53	мы будем	1	6
54	точку зрения	2	6
55	в этой	3	6
56	жестов и	1	6
57	но ведь	1	6
58	на его	2	6
59	в нем	2	6
60	не в	4	6
61	в процессе	5	6
62	или как	1	6
63	в области	4	6
64	так и	3	6
65	другими словами	1	6
66	в форме	1	6
67	язык в	1	6
68	в конце	4	6
69	или иной	1	6
70	речи и	30	6
71	в свою	2	6
72	той же	8	5
73	уже в	2	5
74	в нашем	4	5
75	в той	4	5
76	и наконец	4	5
77	одно и	3	5
78	и с	5	5
79	мы видели	3	5
80	с точки	21	5
81	и той	2	5
82	тому что	9	5
83	в сознании	6	5
84	а в	2	5
85	не является	3	5
86	же самое	5	5
87	в его	4	5
88	и следовательно	5	5
89	и является	3	5
90	и их	5	5
91	слова в	5	5
92	в живом	3	5
93	с помощью	13	5
94	вместе с	12	5
95	как это	5	5
96	слова и	10	5
97	и то	7	4
98	самом деле	6	4
99	тем же	5	4
100	мы называем	1	4
101	слово не	2	4
102	и к	7	4
103	но в	4	4
104	в самом	9	4
105	что это	6	4
106	так сказать	1	4
107	можно было	2	4
108	его в	2	4
109	и без	1	4
110	самого начала	7	4
111	на него	1	4
112	у нас	2	4
113	но все	1	4
114	всего в	2	4
115	к тому	7	4
116	той или	1	4
117	свою очередь	2	4
118	внутренняя речь	15	4
119	языка и	1	4
120	с самого	7	4
121	если бы	5	4
122	в словах	1	4
123	о том	4	4
124	можно сказать	5	4
125	мы показали	2	4
126	которой мы	2	4
127	во внутренней	2	4
128	все время	1	4
129	того что	14	4
130	один из	2	4
131	мы видим	3	4
132	мы увидим	1	4
133	в качестве	5	4
134	если мы	5	4
135	вопроса о	2	4
136	точка зрения	1	4
137	речь и	5	4
138	само собой	2	4
139	были бы	3	4
140	внешней речи	18	4
141	а с	1	4
142	в слове	11	4
143	не что	1	4
144	необходимым условием	1	4
145	все это	3	4
146	бы в	5	4
147	человека не	1	4
148	так же	14	4
149	отношения к	2	3
150	словом и	10	3
151	на самом	3	3
152	круг предметов	1	3
153	еще не	4	3
154	ответ на	2	3
155	нет и	3	3
156	перед нами	2	3
157	хотя и	1	3
158	трех слов	1	3
159	зрения как	2	3
160	та же	1	3
161	выражение в	6	3
162	вследствие этого	1	3
163	не к	1	3
164	слов в	1	3
165	их в	1	3
166	заключает в	1	3
167	об этом	3	3
168	лишь в	2	3
169	это не	3	3
170	может стать	1	3
171	при перемене	1	3
172	этом мы	1	3
173	не мог	2	3
174	том что	17	3
175	что такое	1	3
176	бы мы	1	3
177	что было	2	3
178	и внешней	1	3
179	слово и	9	3
180	в разных	1	3
181	слова как	5	3
182	внутренней и	2	3
183	связи с	4	3
184	внутренней жизни	1	3
185	деятельности и	3	3
186	слова но	3	3
187	и развития	1	3
188	что оно	4	3
189	в виду	5	3
190	но при	1	3
191	в ее	6	3
192	внутреннюю речь	12	3
193	что у	4	3
194	во второй	5	3
195	мы в	3	3
196	короче говоря	1	3
197	приближается к	1	3
198	и здесь	2	3
199	и поэтому	1	3
200	не имеем	1	3
201	должно было	2	3
202	связь между	6	3
203	нуждается в	3	3
204	мы ни	2	3
205	конечно не	1	3
206	только на	3	3
207	внешняя речь	3	3
208	в данной	1	3
209	из них	1	3
210	его и	2	3
211	не так	1	3
212	представить себе	3	3
213	в котором	4	3
214	в одном	1	3
215	свое выражение	8	3
216	от того	1	3
217	что и	3	3
218	всякое слово	1	3
219	мы легко	1	3
220	конце концов	1	3
221	и уже	1	3
222	если не	1	3
223	этого слова	3	3
224	как только	1	3
225	этом случае	14	3
226	в целом	5	3
227	как таковой	1	3
228	в начале	5	3
229	и слово	3	3
230	но для	2	3
231	и для	5	3
232	зависимость между	1	3
233	для нас	2	3
234	и все	1	3
235	о своем	2	3
236	между ними	3	3
237	сказать что	8	3
238	внешней речью	3	3
239	также и	2	2
240	нас не	1	2
241	что эти	3	2
242	и больше	2	2
243	и этот	1	2
244	мы имеем	1	2
245	и словесный	1	2
246	вопрос о	6	2
247	нам в	1	2
248	как обычно	1	2
249	как не	1	2
250	и он	2	2
251	значением слова	1	2
252	же слово	1	2
253	между собой	6	2
254	иное как	1	2
255	все больше	3	2
256	но не	3	2
257	только потому	3	2
258	значение и	2	2
259	только тогда	1	2
260	должны были	2	2
261	очевидно что	3	2
262	можем не	2	2
263	отношение к	2	2
264	оно является	1	2
265	нашего сознания	1	2
266	как в	4	2
267	целый ряд	4	2
268	между двумя	3	2
269	к чему	1	2
270	представляет собой	19	2
271	все эти	6	2
272	бы не	1	2
273	и те	1	2
274	речи но	11	2
275	тому же	1	2
276	друг другу	3	2
277	этот процесс	1	2
278	уяснить себе	3	2
279	слово или	1	2
280	по своему	9	2
281	же самая	1	2
282	одной и	2	2
283	т.е от	2	2
284	и внутренняя	1	2
285	ясно что	1	2
286	есть не	3	2
287	с этим	2	2
288	но мы	3	2
289	нашего исследования	5	2
290	не смогли	2	2
291	в этих	2	2
292	и при	2	2
293	в своей	3	2
294	в отношении	2	2
295	мы говорили	2	2
296	место в	1	2
297	в которых	2	2
298	но эта	2	2
299	совершенно иначе	1	2
300	которые в	2	2
301	самое время	1	2
302	при условии	1	2
303	который мы	2	2
304	его речь	1	2
305	значений слов	3	2
306	ее с	1	2
307	в основе	3	2
308	которого и	1	2
309	что иное	1	2
310	это слово	1	2
311	эти три	2	2
312	этом отношении	3	2
313	за ними	1	2
314	в каком	1	2
315	перед ним	1	2
316	формы слова	1	2
317	ли не	2	2
318	не есть	4	2
319	внешним выражением	1	2
320	с развитием	1	2
321	из всего	1	2
322	здесь не	1	2
323	речь есть	6	2
324	речи то	4	2
325	с собой	3	2
326	из двух	3	2
327	времени и	1	2
328	быть может	1	2
329	и вообще	1	2
330	с ним	3	2
331	по своей	10	2
332	что перед	1	2
333	речи не	5	2
334	к нему	3	2
335	и вследствие	1	2
336	находит свое	3	2
337	в середине	2	2
338	не должен	1	2
339	это само	1	2
340	в том	18	2
341	одной из	4	2
342	что он	8	2
343	в какой	6	2
344	это же	1	2
345	как внешняя	1	2
346	человека с	1	2
347	слова не	1	2
348	иной смысл	1	2
349	для него	3	2
350	себе в	5	2
351	для них	1	2
352	заметить что	1	2
353	тем что	9	2
354	и речь	3	2
355	перейти к	4	2
356	нужно было	4	2
357	развития в	3	2
358	говорить и	1	2
359	к которому	1	2
360	больше и	2	2
361	связано с	1	2
362	не было	1	2
363	до конца	5	2
364	слове в	1	2
365	речи это	4	2
366	должна была	1	2
367	в связи	1	2
368	связь с	1	2
369	речь но	1	2
370	и потому	3	2
371	легче всего	1	2
372	в разговоре	1	2
373	из которых	2	2
374	внешнюю речь	1	2
375	которые являются	1	2
376	смысле этого	3	2
377	в первой	3	2
378	должно быть	2	2
379	про себя	1	2
380	останавливаться на	1	2
381	сих пор	3	2
382	но это	3	2
383	мы найдем	1	2
384	или в	2	2
385	а к	1	2
386	о происхождении	1	2
387	мы как	1	2
388	ни к	1	2
389	несмотря на	2	2
390	этот вопрос	1	2
