N	2gram	Trubetskoy_1	Psycholo
1	то что	18	32
2	и в	23	31
3	в том	30	30
4	то есть	2	26
5	что в	8	23
6	может быть	16	22
7	таким образом	31	20
8	при помощи	3	20
9	совершенно ясно	2	19
10	при этом	9	19
11	ясно что	8	19
12	так как	7	18
13	не может	17	17
14	как и	9	16
15	том что	19	16
16	и не	8	16
17	точки зрения	13	15
18	только в	6	14
19	не только	7	13
20	что и	7	13
21	а не	1	13
22	мы не	1	12
23	если мы	4	12
24	так же	8	12
25	в этом	12	12
26	в самом	8	11
27	не в	8	11
28	в области	4	11
29	могут быть	1	11
30	в сущности	2	10
31	на то	9	10
32	того что	6	10
33	художественное произведение	1	10
34	потому что	9	10
35	самом деле	12	9
36	как в	1	9
37	и что	8	8
38	никогда не	4	8
39	что мы	4	8
40	вместе с	6	8
41	все это	11	8
42	во всяком	2	8
43	только тогда	2	7
44	том чтобы	2	7
45	заключается в	2	7
46	на основании	1	7
47	сказать что	1	7
48	того чтобы	8	7
49	и его	1	7
50	о том	7	7
51	есть в	2	7
52	что он	7	7
53	что это	5	6
54	зависимости от	1	6
55	очевидно что	3	6
56	отнюдь не	2	6
57	целый ряд	4	6
58	из этих	8	6
59	что она	1	6
60	для того	8	6
61	было бы	3	6
62	если бы	8	6
63	в его	5	6
64	всяком случае	2	6
65	вовсе не	2	6
66	и даже	1	6
67	одной стороны	2	6
68	до конца	1	6
69	а в	3	6
70	в психологии	3	6
71	в зависимости	1	5
72	то же	4	5
73	время как	1	5
74	с одной	3	5
75	в целом	5	5
76	несмотря на	6	5
77	иначе говоря	4	5
78	оказывается что	5	5
79	она не	2	5
80	в то	6	5
81	тогда когда	3	5
82	в процессе	2	5
83	с и	1	5
84	как будто	5	5
85	что психология	1	5
86	то время	2	5
87	для нас	3	5
88	с другой	6	5
89	мы видим	1	5
90	к психологии	2	5
91	так что	5	5
92	совершенно не	3	5
93	это есть	4	5
94	как бы	10	5
95	этой точки	1	5
96	все же	13	5
97	и для	6	5
98	и все	7	5
99	другой стороны	5	5
100	же как	3	4
101	в котором	2	4
102	в которой	5	4
103	в виду	2	4
104	столь же	5	4
105	у него	5	4
106	отличие от	3	4
107	с на	1	4
108	в себе	5	4
109	и если	6	4
110	по существу	6	4
111	одной и	2	4
112	в совершенно	3	4
113	различие между	1	4
114	от себя	2	4
115	что я	1	4
116	тому что	2	4
117	одна из	2	4
118	у нас	3	4
119	к тому	8	4
120	те же	2	4
121	со стороны	1	4
122	никак не	1	4
123	прежде всего	3	4
124	между тем	12	4
125	один из	1	4
126	для всех	1	4
127	и у	4	4
128	бы тот	1	4
129	мы можем	6	4
130	и так	2	4
131	этого слова	2	4
132	с этой	3	4
133	в результате	9	4
134	в этих	3	4
135	психологической точки	1	4
136	и другие	1	4
137	в своих	2	4
138	к этому	5	4
139	смысле слова	1	3
140	например в	1	3
141	это и	1	3
142	на деле	1	3
143	тем же	2	3
144	что эти	2	3
145	должна быть	5	3
146	с в	3	3
147	той же	1	3
148	вопрос о	3	3
149	из которых	4	3
150	в которых	2	3
151	совсем не	1	3
152	но не	2	3
153	с психологической	1	3
154	с этим	11	3
155	в своем	10	3
156	хотя и	4	3
157	что по	3	3
158	и к	5	3
159	но в	4	3
160	психологии и	1	3
161	та же	3	3
162	уже в	1	3
163	у каждого	1	3
164	в этой	6	3
165	тому же	6	3
166	и индивидуальной	1	3
167	состоит в	1	3
168	надо сказать	1	3
169	в силу	7	3
170	и вот	1	3
171	и по	3	3
172	других видов	1	3
173	в каждом	1	3
174	не будет	5	3
175	с тем	2	3
176	мы знаем	10	3
177	в своей	1	3
178	представить себе	2	3
179	представление о	3	3
180	и той	1	3
181	точку зрения	2	3
182	чистом виде	1	3
183	что эта	4	3
184	точно так	1	3
185	только не	2	3
186	во всем	3	3
187	что на	1	3
188	все то	2	3
189	не могут	4	3
190	и другой	1	3
191	что оно	3	3
192	не есть	2	3
193	что при	6	3
194	и это	3	3
195	что все	5	3
196	только при	2	3
197	индивидуальной психологии	1	3
198	роль в	1	3
199	так и	10	3
200	что у	2	3
201	каждого из	1	3
202	но мы	1	3
203	он не	3	3
204	ее от	1	3
205	так точно	1	3
206	в частности	2	3
207	рассматриваться как	3	3
208	только на	1	3
209	и других	2	3
210	это обстоятельство	2	3
211	а потому	5	3
212	в конце	4	3
213	от того	3	3
214	и только	2	3
215	до сих	8	3
216	не было	2	3
217	противоречие с	1	3
218	из его	1	3
219	в состоянии	4	3
220	сих пор	8	3
