N	3gram	Potebnia_M_3	formyVre
1	и т п	2	11
2	для того чтобы	3	7
3	не только в	4	5
4	в том же	2	4
5	то же время	5	4
6	в то же	5	4
7	как мы уже	1	4
8	друг с другом	1	4
9	мы уже сказали	1	3
10	но и в	4	3
11	к вопросу о	1	3
12	не в смысле	1	3
13	в том что	16	3
14	и т д	3	3
15	и в поэзии	1	2
16	равно как и	1	2
17	то же самое	1	2
18	до сих пор	3	2
19	сами по себе	1	2
20	и та же	1	2
21	одна и та	1	2
22	потому что они	1	2
23	в этом отношении	2	2
24	это значит что	1	2
25	друг от друга	1	2
26	тем более что	1	2
27	есть и было	1	2
28	с этим в	1	1
29	а не за	1	1
30	и говорить о	1	1
31	сих пор еще	1	1
32	в чем не	1	1
33	сводится к тому	1	1
34	то есть не	4	1
35	на самом деле	1	1
36	мы видели в	1	1
37	так что в	1	1
38	и в каждой	2	1
39	том что он	2	1
40	и как он	1	1
41	еще одну черту	1	1
42	только в том	3	1
43	так как все	1	1
44	что он не	3	1
45	вместе с этим	2	1
46	рано или поздно	1	1
47	для чего не	1	1
48	значении этого слова	1	1
49	со всех сторон	1	1
50	он как мы	1	1
51	вместе с тем	4	1
52	те же что	1	1
53	в человеческой жизни	1	1
54	одно и то	5	1
55	же что и	1	1
56	то время как	1	1
57	с такою же	1	1
58	как и в	2	1
59	в данном случае	1	1
60	каждый из этих	1	1
61	таким образом и	1	1
62	с одной стороны	3	1
63	на первый взгляд	1	1
64	так и на	1	1
65	и то же	5	1
66	или что то	1	1
67	для него самого	1	1
68	он не знает	1	1
69	с другой стороны	4	1
70	было бы не	1	1
71	не может быть	3	1
72	свое место в	1	1
73	именно в том	2	1
74	деле может быть	1	1
75	что то же	1	1
76	в себе самом	1	1
77	в то время	4	1
78	не исчерпываются все	1	1
79	его жизни и	1	1
80	в свою очередь	3	1
81	о том что	1	1
82	как бы ни	2	1
83	на свое место	1	1
84	в его сущности	1	1
85	можно сказать что	2	1
86	один из многих	1	1
87	а вместе с	1	1
88	к тому что	2	1
89	или вовсе не	1	1
90	что есть и	1	1
91	что уже есть	1	1
92	с нею в	1	1
93	с другом и	1	1
94	форма в которой	2	1
95	что и в	3	1
96	как мы видели	1	1
97	вне связи с	1	1
