N	3gram	Tiupa_Teor_1	Istorich
1	в этих случаях	1	7
2	с другой стороны	5	7
3	в том что	8	5
4	тем не менее	3	5
5	что иное как	1	3
6	здесь мы имеем	1	3
7	в данном случае	5	3
8	в связи с	1	3
9	не что иное	1	3
10	том что в	1	2
11	состоит в том	5	2
12	по отношению к	4	2
13	точно так же	1	2
14	и здесь мы	1	2
15	таким образом и	1	2
16	с одной стороны	2	2
17	мы имеем не	1	2
18	в то время	1	2
19	о том что	1	2
20	не только не	2	2
21	мы имеем в	3	2
22	так что она	1	2
23	как и в	2	2
24	а после того	1	1
25	но прежде всего	1	1
26	мы имеем дело	2	1
27	подобно тому как	1	1
28	в том числе	2	1
29	в соответствии с	2	1
30	с точки зрения	3	1
31	случае мы имеем	1	1
32	мы видим в	1	1
33	только то что	1	1
34	как это происходит	1	1
35	из того что	1	1
36	друг другу и	1	1
37	может быть и	2	1
38	заключается в том	1	1
39	имеем дело с	1	1
40	так или иначе	4	1
41	имеются и в	1	1
42	перед тем как	1	1
43	значении в каком	1	1
44	так же как	1	1
45	что они хотят	1	1
46	есть не что	1	1
47	языка не может	1	1
48	в свою очередь	2	1
49	это происходит в	1	1
50	а не с	1	1
51	существенно отличается от	1	1
52	не может быть	4	1
53	можно сказать что	2	1
54	к своему собственному	1	1
55	друг от друга	1	1
56	в большинстве случаев	1	1
57	и вот он	1	1
58	в своей жизни	1	1
59	он не будет	1	1
