N	4gram	Tiupa_Narr_2	Myshleni
1	одного и того же	1	5
2	с этой точки зрения	1	4
3	состоит в том что	4	3
4	одним и тем же	1	3
5	к тому или иному	1	2
6	с одной стороны и	1	2
7	том смысле как мы	1	1
8	мы имеем дело с	2	1
9	в том смысле как	1	1
10	у нас нет никаких	1	1
11	точно так же как	2	1
12	сомневаться в том что	1	1
13	не что иное как	1	1
14	в то время как	1	1
15	вступает в противоречие с	1	1
16	что с точки зрения	1	1
17	нас нет никаких оснований	1	1
18	в том виде в	1	1
19	мы узнаем что в	1	1
20	том виде в каком	1	1
