N	3gram	Vinokur_Vv_1	Tvorches
1	в то же	5	13
2	то же время	5	12
3	в том что	12	6
4	о том что	12	5
5	но в то	3	4
6	с самого начала	1	3
7	дело в том	2	3
8	в соответствии с	2	3
9	на самом деле	1	2
10	том что в	1	2
11	точно так же	2	2
12	можно сказать что	3	2
13	не только в	4	2
14	в данном случае	4	2
15	во главе с	1	2
16	и т п	5	2
17	тем не менее	8	2
18	по крайней мере	4	2
19	не то что	1	1
20	заключается в том	3	1
21	уже в первом	1	1
22	только то что	1	1
23	с одной стороны	4	1
24	друг для друга	1	1
25	совершенно иного рода	1	1
26	в отказе от	1	1
27	бы то ни	1	1
28	дело не только	1	1
29	но в принципе	1	1
30	что может быть	3	1
31	в связи с	2	1
32	имеем в виду	1	1
33	и как раз	1	1
34	в том же	1	1
35	на этой почве	2	1
36	в конце концов	2	1
37	все же это	1	1
38	все это у	1	1
39	заключает в себе	1	1
40	с другой стороны	5	1
41	само собой разумеющимся	1	1
42	до сих пор	5	1
43	то ни было	1	1
44	в отличие от	3	1
45	дело не в	1	1
46	не мог не	1	1
47	собой не что	1	1
48	к тому что	1	1
49	и того же	2	1
50	что он вовсе	1	1
51	как один из	1	1
52	то же самое	2	1
53	то все это	1	1
54	и т д	37	1
55	по отношению к	4	1
56	хотя бы и	2	1
57	в настоящее время	1	1
58	составляет один из	1	1
59	не что иное	4	1
60	и тем не	3	1
61	должен был знать	1	1
62	не значит что	1	1
63	был знать все	1	1
64	мы имеем в	1	1
65	мысли и чувства	1	1
66	что в одном	1	1
67	не могут быть	2	1
68	говорить о том	1	1
69	одного и того	2	1
70	что иное как	4	1
71	в известном смысле	3	1
72	он вовсе не	1	1
73	вместе с тем	3	1
74	у него в	1	1
75	имел в виду	1	1
76	во второй части	1	1
77	и в самом	3	1
78	ту или иную	1	1
79	в свою очередь	1	1
80	что же касается	2	1
81	в этом пункте	1	1
82	в прямом смысле	2	1
