N	2gram	Trubetskoy_1	Sovremen
1	не может	4	17
2	может быть	10	12
3	точки зрения	13	12
4	таким образом	22	11
5	мы не	1	9
6	в этом	15	7
7	не можем	1	7
8	и в	26	7
9	мы можем	2	6
10	ничего не	1	6
11	как и	1	6
12	и не	8	6
13	в результате	3	6
14	и наконец	2	5
15	все эти	6	5
16	прежде всего	2	5
17	с точки	6	5
18	мы должны	6	4
19	в том	11	4
20	при нормальном	1	4
21	из них	7	4
22	так как	9	4
23	мы видели	2	4
24	не только	10	4
25	с помощью	1	4
26	как бы	12	4
27	вместе с	15	4
28	это не	1	4
29	их в	1	4
30	а в	4	4
31	жизни и	2	4
32	он может	1	3
33	в первом	1	3
34	с самого	3	3
35	то же	4	3
36	ясно что	3	3
37	и т.д	6	3
38	между собой	1	3
39	может не	1	3
40	видели что	1	3
41	у всех	2	3
42	все же	6	3
43	еще не	2	3
44	но в	7	3
45	он в	2	3
46	в этой	4	3
47	в себе	6	3
48	уже в	2	3
49	что она	1	3
50	в одном	3	3
51	в конце	6	3
52	в нем	4	3
53	при этом	3	3
54	из двух	1	3
55	на этой	1	3
56	было бы	1	3
57	а не	5	3
58	так называемых	1	3
59	и потому	6	3
60	не в	2	3
61	все это	6	3
62	самого начала	2	3
63	при таком	2	3
64	и все	2	3
65	у нас	1	3
66	состоит из	1	3
67	и к	5	3
68	когда мы	1	3
69	отличается от	2	3
70	в области	9	3
71	как известно	1	2
72	период развития	1	2
73	свою очередь	1	2
74	и есть	1	2
75	тем же	1	2
76	приводит к	2	2
77	роль в	1	2
78	все те	1	2
79	той же	1	2
80	на этом	1	2
81	из одного	1	2
82	и даже	3	2
83	настоящее время	1	2
84	и что	4	2
85	и во	1	2
86	самом деле	1	2
87	в которую	1	2
88	в его	5	2
89	каждая из	3	2
90	с этим	1	2
91	быть и	2	2
92	некоторое время	1	2
93	в самом	4	2
94	к чему	1	2
95	в которой	3	2
96	что это	3	2
97	в нашем	1	2
98	из этих	10	2
99	с одной	7	2
100	со всеми	2	2
101	уже не	3	2
102	так сказать	1	2
103	с другом	5	2
104	в виде	4	2
105	на его	1	2
106	тем не	3	2
107	мы знаем	1	2
108	который как	1	2
109	всяком случае	6	2
110	у него	1	2
111	и по	4	2
112	отличие от	1	2
113	но все	7	2
114	то ни	2	2
115	что все	4	2
116	значение в	1	2
117	или иной	2	2
118	и пр	1	2
119	на этот	4	2
120	такой же	1	2
121	что такое	1	2
122	он должен	1	2
123	из которых	4	2
124	в отличие	1	2
125	друг с	5	2
126	не менее	3	2
127	можно назвать	2	2
128	не знаем	1	2
129	в настоящее	1	2
130	теперь же	1	2
131	мы видим	1	2
132	тот же	2	2
133	в свою	2	2
134	совершенно не	1	2
135	не могут	2	2
136	могут быть	1	2
137	же самое	2	2
138	что в	9	2
139	в таком	3	2
140	во всяком	6	2
141	и это	2	1
142	можно говорить	1	1
143	для этих	2	1
144	всегда останется	2	1
145	человека и	1	1
146	появляются новые	1	1
147	с ее	1	1
148	живое существо	1	1
149	это и	1	1
150	но тем	1	1
151	отношению к	3	1
