N	2gram	Berdyaev_O_1	NovoeSre
1	а не	11	17
2	и в	19	16
3	не может	4	16
4	во имя	3	15
5	совсем не	2	12
6	и не	13	11
7	и есть	3	10
8	в эпоху	1	9
9	истории и	1	9
10	что в	4	9
11	в том	5	8
12	жизни и	1	8
13	он не	7	8
14	в этом	12	7
15	может быть	11	7
16	как и	6	7
17	это есть	1	7
18	с его	4	6
19	от бога	1	6
20	не в	11	6
21	никогда не	9	6
22	лишь в	7	6
23	но это	1	6
24	в ней	1	5
25	и к	2	5
26	не только	11	5
27	в жизни	1	5
28	все это	6	5
29	в нем	10	5
30	и общественной	1	5
31	быть может	3	4
32	о том	3	4
33	в них	1	4
34	то что	5	4
35	это не	3	4
36	прежде всего	9	4
37	не было	9	4
38	должно быть	2	4
39	есть лишь	4	4
40	и потому	2	4
41	и для	2	4
42	не имеет	2	4
43	и все	10	4
44	потому что	9	4
45	смысле слова	1	3
46	в ее	2	3
47	должна быть	1	3
48	вопрос о	10	3
49	человека и	10	3
50	еще не	3	3
51	в истории	2	3
52	как в	1	3
53	духа и	1	3
54	имя свободы	1	3
55	в мире	1	3
56	но и	13	3
57	это было	3	3
58	не есть	2	3
59	и пр	1	3
60	стремится к	1	3
61	с тем	2	3
62	бога и	1	3
63	в своей	2	3
64	в россии	5	3
65	она не	1	3
66	не существует	1	3
67	жизни не	1	3
68	жизни в	2	3
69	сказать что	2	3
70	и это	1	2
71	нем нет	3	2
72	вкус к	1	2
73	связана с	1	2
74	не имеют	1	2
75	можно было	1	2
76	так и	2	2
77	природе и	1	2
78	мы не	1	2
79	и с	2	2
80	жизни как	1	2
81	жизни ни	1	2
82	и что	1	2
83	и на	2	2
84	но не	1	2
85	к богу	1	2
86	божественной жизни	1	2
87	в новом	1	2
88	жизни все	3	2
89	все время	1	2
90	в центре	1	2
91	ни к	1	2
92	хотя и	2	2
93	это представляется	1	2
94	бога но	1	2
95	но в	2	2
96	духа в	1	2
97	который в	1	2
98	все эти	4	2
99	думать что	1	2
100	с их	1	2
101	в себе	3	2
102	уже не	1	2
103	стремиться к	1	2
104	у него	22	2
105	что она	1	2
106	и заключается	1	2
107	что все	2	2
108	и даже	1	2
109	права на	1	2
110	том что	2	2
111	мысли и	3	2
112	мир и	1	2
113	не могли	2	2
114	как будто	1	2
115	и формы	1	2
116	свободы в	1	2
117	как это	1	2
118	одна из	1	2
119	мысли в	1	2
120	того чтобы	4	2
121	и от	3	2
122	самой жизни	1	2
123	и весь	1	2
124	в русском	1	2
125	хотя бы	3	2
126	а в	5	2
127	и начинается	1	2
128	свободы от	1	2
129	могут быть	3	2
130	свободы и	2	2
131	и через	1	1
132	людей в	1	1
133	космической жизни	1	1
134	характер и	1	1
135	россии в	2	1
136	этого мира	2	1
137	и до	1	1
138	на западе	2	1
139	и мысли	4	1
140	человеческих сил	1	1
141	природе своей	1	1
142	не с	1	1
143	по природе	1	1
144	гуманизмом с	1	1
145	с ним	3	1
146	погружается в	2	1
147	возможен лишь	1	1
148	и человека	1	1
149	это должно	1	1
150	в виду	1	1
151	это я	1	1
152	вопрос об	1	1
153	на нем	1	1
154	не могу	1	1
155	это была	1	1
156	нет у	1	1
157	была лишь	1	1
158	все в	4	1
159	не могут	3	1
160	в которую	1	1
161	к нему	3	1
162	из сторон	1	1
163	то он	1	1
164	вопросу о	1	1
165	в его	7	1
166	в эти	1	1
167	но нет	1	1
168	себе и	1	1
169	лишь к	1	1
170	не народ	1	1
171	путь которым	1	1
172	человек от	1	1
173	в своем	2	1
174	как например	1	1
175	и нет	2	1
176	что нет	1	1
177	на человека	1	1
178	человека в	11	1
179	со злом	3	1
180	что он	3	1
181	во всем	1	1
182	по своей	1	1
183	с душой	1	1
184	от этого	1	1
185	в этот	2	1
186	добро и	2	1
187	в самом	5	1
188	к чему	1	1
189	не хочет	1	1
190	он в	2	1
191	же и	1	1
192	его призвании	1	1
193	человеке и	5	1
194	уже в	2	1
195	свободе но	1	1
196	два пути	1	1
197	образа человека	1	1
198	человек не	7	1
199	человеческого духа	3	1
200	него и	4	1
201	из них	1	1
202	все еще	2	1
203	мир в	1	1
204	для того	3	1
205	всяком случае	1	1
206	и когда	1	1
207	нуждается в	1	1
208	к одному	1	1
209	духа как	1	1
210	в конце	1	1
211	про него	1	1
212	мысли как	1	1
213	не случайно	1	1
214	показал что	1	1
215	людей и	1	1
216	тем что	2	1
217	заключает в	1	1
218	в глубину	2	1
219	от того	1	1
220	вот что	1	1
221	это конечно	1	1
222	лишь для	1	1
223	этом он	2	1
224	том случае	1	1
225	в глубине	7	1
226	из всех	1	1
227	и русский	1	1
228	и из	2	1
229	был в	1	1
230	заложенных в	2	1
231	было бы	3	1
232	а это	1	1
233	лишь на	1	1
234	было и	1	1
235	лишь по	1	1
236	во внешней	1	1
237	что не	4	1
238	ней нужно	1	1
239	но оно	1	1
240	на поверхности	1	1
241	с богом	2	1
242	их не	2	1
243	этого она	1	1
244	попал в	1	1
245	в этой	5	1
246	его было	1	1
247	всю жизнь	1	1
248	и переживает	1	1
249	не быть	1	1
250	в космосе	1	1
251	изнутри а	1	1
252	бог и	1	1
253	русского народа	2	1
254	посвящения в	1	1
255	ближе к	1	1
256	он и	1	1
257	и ему	1	1
258	в раскрытии	1	1
259	которые будут	1	1
260	в этих	3	1
261	в недра	1	1
262	человек а	1	1
263	в котором	1	1
264	ничего нет	1	1
265	и мир	1	1
266	у нас	1	1
267	духовную жизнь	1	1
268	но сам	1	1
269	в силу	1	1
270	и истребление	1	1
271	нужно считать	1	1
272	но он	7	1
273	о человеке	29	1
274	в мир	1	1
275	и более	1	1
276	в человеческом	2	1
277	распадается на	1	1
278	быть не	1	1
279	по себе	2	1
280	в это	1	1
281	и очень	2	1
282	будто бы	1	1
283	нет никакого	1	1
284	глубину в	1	1
285	так как	2	1
286	оба они	1	1
287	природу и	1	1
288	человека не	1	1
289	еще люди	1	1
290	и зло	1	1
291	она должна	1	1
292	в сущности	1	1
293	не по	1	1
294	зла в	2	1
295	проблема о	2	1
296	сам человек	1	1
297	в силах	1	1
298	природы ее	3	1
299	о природе	3	1
300	особого рода	1	1
301	всего что	1	1
302	бы он	1	1
303	к этой	2	1
304	к ней	2	1
305	более всего	3	1
306	я хочу	1	1
307	раскрывается лишь	1	1
308	свобода человека	1	1
309	и его	4	1
310	есть уже	1	1
311	потребность в	2	1
312	человеческого общества	1	1
313	образ человека	2	1
314	нет ничего	7	1
315	всего мира	1	1
316	бытия как	1	1
317	от всех	1	1
318	но можно	1	1
319	прогресса в	1	1
320	жизни а	1	1
321	и всех	1	1
322	ли он	1	1
323	людей но	1	1
324	в которой	2	1
325	всегда есть	4	1
326	огромное значение	1	1
327	во всяком	1	1
328	случае если	1	1
329	быть преодолено	1	1
330	все что	3	1
