N	2gram	Medvedev_S_1	Vvedenie
1	и в	3	32
2	в том	5	31
3	в этом	5	30
4	том что	2	26
5	может быть	2	26
6	не только	3	22
7	таким образом	2	19
8	то что	2	16
9	не может	1	14
10	о том	1	13
11	в его	3	12
12	только в	2	12
13	и не	1	12
14	в данном	1	11
15	что в	2	10
16	то же	2	9
17	и как	1	9
18	по себе	1	9
19	между тем	1	9
20	науки о	1	8
21	это не	1	8
22	не в	3	8
23	с другой	1	8
24	именно в	1	8
25	но не	1	7
26	все же	1	7
27	было бы	2	7
28	прежде всего	1	7
29	только как	2	7
30	его в	1	6
31	как и	1	6
32	представить себе	1	6
33	вовсе не	1	6
34	в то	1	6
35	же время	1	6
36	тем что	1	6
37	один из	1	6
38	и его	1	6
39	но и	2	6
40	все это	7	6
41	хотя бы	1	6
42	в целом	1	5
43	в них	1	5
44	на этот	1	5
45	как бы	2	5
46	области знания	1	5
47	по отношению	2	4
48	но ведь	3	4
49	и заключается	2	4
50	в своей	1	4
51	в котором	1	4
52	по крайней	1	4
53	в каждом	1	4
54	и что	2	4
55	крайней мере	1	4
56	и история	1	4
57	еще не	2	4
58	что он	1	4
59	с одной	1	4
60	в виде	1	4
61	всяком случае	1	4
62	одной стороны	1	4
63	научного исследования	1	4
64	еще и	1	4
65	а в	1	4
66	отношению к	2	4
67	во всяком	1	4
68	и есть	1	3
69	в сущности	1	3
70	в чем	1	3
71	сама по	1	3
72	что это	1	3
73	все эти	1	3
74	в этой	1	3
75	что она	1	3
76	в этих	1	3
77	работы в	1	3
78	этой области	1	3
79	дело не	2	3
80	связи с	1	3
81	как будто	2	3
82	в области	1	3
83	истории литературы	10	3
84	как науки	1	3
85	в конечном	1	3
86	в конце	2	3
87	может служить	1	3
88	на основании	1	3
89	зависит от	1	3
90	в строгом	1	3
91	в результате	2	3
92	наука о	1	3
93	в частности	2	3
94	вряд ли	1	2
95	художественных произведений	1	2
96	должна быть	2	2
97	мы не	1	2
98	литературы и	2	2
99	время в	1	2
100	читать в	1	2
101	в силу	1	2
102	как искусство	1	2
103	как совокупность	1	2
104	тем именно	1	2
105	тому что	1	2
106	никогда не	1	2
107	ничего не	1	2
108	работы как	1	2
109	когда мы	1	2
110	как только	2	2
111	так и	1	2
112	для этого	1	2
113	же самое	1	2
114	и должно	1	2
115	связь между	1	2
116	тем более	2	2
117	наукой в	1	2
118	история литературы	1	2
119	именно на	1	2
120	исторического изучения	1	2
121	в соответствующих	1	2
122	не было	1	2
123	в связи	1	2
124	с помощью	1	2
125	по существу	2	2
126	между ними	1	2
127	или нет	1	2
128	бы в	1	2
129	конце концов	2	2
130	мы должны	1	2
131	я и	1	1
132	это и	2	1
133	что эти	1	1
134	в область	1	1
135	но как	1	1
136	только тогда	1	1
137	понимать что	1	1
138	очевидно что	2	1
139	и будет	1	1
140	писателя не	1	1
141	дает нам	1	1
142	психологии и	1	1
143	именно такого	1	1
144	идей и	2	1
145	его исследования	1	1
146	же это	1	1
147	собой не	1	1
148	новое и	1	1
149	что все	1	1
150	не наука	1	1
151	историю литературы	1	1
152	на общие	1	1
153	иначе говоря	1	1
154	одно дело	2	1
155	никак не	1	1
156	без необходимости	1	1
157	не от	1	1
158	для изучения	1	1
159	литературы как	1	1
160	в таких	1	1
161	мысли в	1	1
162	это дает	1	1
163	теоретической мысли	1	1
164	литературного развития	1	1
165	что на	1	1
166	методологии истории	3	1
167	диалектического материализма	1	1
168	принять его	1	1
169	и о	1	1
170	исторической жизни	2	1
171	только то	1	1
172	не место	1	1
173	том как	1	1
174	между собой	1	1
175	образом в	1	1
176	настоящее время	1	1
177	может не	1	1
178	каждом своем	1	1
179	должно было	1	1
180	на отдельные	1	1
181	ними в	1	1
182	которая должна	1	1
183	наконец в	1	1
184	в лучшем	1	1
185	не мешает	1	1
186	без этого	1	1
187	наука а	1	1
188	или даже	2	1
189	ведь это	2	1
190	и цельного	1	1
191	у него	1	1
192	потому его	1	1
193	нужно было	2	1
194	но одно	1	1
195	к которому	2	1
196	основании таких	1	1
197	как же	3	1
198	а с	1	1
199	факта что	1	1
200	и затем	1	1
201	что таким	1	1
202	основной вопрос	1	1
203	все то	1	1
204	исторического характера	1	1
205	и потому	1	1
206	и самые	1	1
207	и границы	1	1
208	а между	1	1
209	это значит	1	1
210	быть не	1	1
211	лучшем случае	1	1
212	общие законы	1	1
213	и более	1	1
214	слова но	1	1
215	законы развития	2	1
216	она может	2	1
217	он по	1	1
218	это как	1	1
219	в настоящее	1	1
220	для нас	3	1
221	из себя	1	1
222	не дает	1	1
223	темы и	1	1
224	в заключение	1	1
225	и стало	1	1
226	они не	1	1
