N	2gram	Medvedev_U_1	Myshleni
1	в том	2	42
2	том что	2	35
3	в процессе	1	27
4	таким образом	2	25
5	в этом	7	24
6	в качестве	1	21
7	и в	14	20
8	что в	1	19
9	то же	5	16
10	не только	10	15
11	то что	7	15
12	в их	4	12
13	может быть	6	12
14	с другой	4	12
15	в его	2	11
16	и то	3	10
17	в себе	2	10
18	того что	1	10
19	только в	2	10
20	могли бы	2	9
21	как и	3	9
22	между тем	2	9
23	что и	2	9
24	тот же	1	9
25	с одной	1	9
26	одной стороны	1	9
27	другой стороны	3	9
28	но и	4	9
29	было бы	3	8
30	этом смысле	2	8
31	тогда когда	1	8
32	и что	1	8
33	и не	8	8
34	самом деле	2	7
35	в своей	3	7
36	с другом	1	7
37	могут быть	2	7
38	же самое	2	7
39	тем что	2	7
40	этом отношении	2	7
41	а не	10	7
42	что мы	2	7
43	смысле этого	2	7
44	друг с	1	7
45	же как	1	6
46	в самом	2	6
47	той же	1	6
48	этот процесс	1	6
49	с тем	1	6
50	на каждом	2	6
51	что он	2	6
52	каждом шагу	2	6
53	не может	7	6
54	сказать что	1	6
55	все же	3	5
56	на то	1	5
57	это не	3	5
58	никогда не	1	5
59	так и	1	5
60	если бы	2	5
61	о том	1	5
62	говорит он	1	5
63	обе эти	1	5
64	мы можем	1	5
65	в частности	3	5
66	понятий с	1	5
67	что такое	4	5
68	первый план	1	4
69	в своем	1	4
70	и с	2	4
71	первую очередь	1	4
72	на первый	2	4
73	в первую	1	4
74	не в	2	4
75	что с	1	4
76	представляется нам	2	4
77	и только	5	4
78	в области	3	4
79	тех и	1	4
80	и для	2	4
81	к этому	1	4
82	в виду	1	3
83	отнюдь не	1	3
84	но в	3	3
85	в которой	1	3
86	в этой	4	3
87	на его	1	3
88	что все	2	3
89	и является	2	3
90	не могут	2	3
91	приводит к	1	3
92	представлений и	1	3
93	должно быть	1	3
94	является в	2	3
95	но не	2	3
96	но что	1	3
97	нас в	2	3
98	только к	3	3
99	по существу	2	3
100	этом случае	1	3
101	научного мышления	1	3
102	формы и	2	3
103	бы в	1	3
104	в виде	1	3
105	одним из	2	2
106	относятся к	1	2
107	свое место	1	2
108	должна быть	2	2
109	мы имеем	1	2
110	мы и	2	2
111	в ней	1	2
112	к построению	1	2
113	в известном	1	2
114	не есть	2	2
115	теории и	1	2
116	в нем	1	2
117	и понятий	1	2
118	же не	2	2
119	входит в	1	2
120	далеко не	1	2
121	их в	1	2
122	что этот	1	2
123	в той	1	2
124	этой области	3	2
125	может служить	1	2
126	того как	1	2
127	установку на	2	2
128	находятся в	1	2
129	очень часто	1	2
130	по нашему	3	2
131	что при	1	2
132	и это	1	2
133	данном случае	1	2
134	оно все	1	2
135	смысле и	1	2
136	и т.д	3	2
137	которое мы	1	2
138	по мнению	1	2
139	и у	2	2
140	вопроса о	2	2
141	для него	3	2
142	у него	1	2
143	прежде всего	8	2
144	нашему мнению	3	2
145	на слово	1	2
146	если не	2	2
147	в данном	1	2
148	это значит	1	2
149	но для	1	2
150	существует в	1	2
151	в свое	1	2
152	от слова	1	2
153	это в	1	2
154	в таком	1	2
155	своей совокупности	1	1
156	в сфере	1	1
157	есть основной	1	1
158	человека и	1	1
159	столько же	1	1
160	он может	1	1
161	элементарным и	1	1
162	к созданию	1	1
163	научного анализа	1	1
164	а как	2	1
165	в последние	1	1
166	мы не	2	1
167	не делает	1	1
168	развитие в	1	1
169	но даже	2	1
170	группы и	1	1
171	и важный	1	1
172	заключенных в	1	1
173	и этого	1	1
174	быть в	1	1
175	бы то	3	1
176	не то	1	1
177	не входит	1	1
178	не все	2	1
179	присущей ему	1	1
180	оно является	1	1
181	относится к	1	1
182	независимо от	1	1
183	сделать более	1	1
184	в этот	1	1
185	меньшей мере	1	1
186	степени и	1	1
187	связанные с	1	1
188	он не	1	1
189	образом на	1	1
190	мы полагаем	1	1
191	в понятии	1	1
192	поставить знак	1	1
193	или иных	2	1
194	что она	2	1
195	общего и	1	1
196	то ни	3	1
197	тем в	1	1
198	но понятие	1	1
199	понятие не	1	1
200	в не	1	1
201	как таковой	2	1
202	почти не	1	1
203	не столько	2	1
204	не как	3	1
205	в которых	1	1
206	признать что	1	1
207	но он	1	1
208	доказывает что	1	1
209	знак равенства	1	1
210	имеет свою	1	1
211	тому чтобы	1	1
212	по себе	2	1
213	задачи и	1	1
214	в то	3	1
215	нам известно	1	1
216	ничего не	2	1
217	больше чем	1	1
218	это то	1	1
219	наша задача	1	1
220	что нельзя	1	1
221	у нас	3	1
222	слово является	1	1
223	формы слова	1	1
224	без точного	1	1
225	понятия также	1	1
226	анализа в	1	1
227	т.е в	2	1
228	для себя	1	1
229	но по	1	1
230	такое что	1	1
231	пройти мимо	1	1
232	для этого	3	1
233	и вся	1	1
234	слова а	1	1
235	о нем	1	1
236	к проблемам	1	1
237	можно сказать	1	1
238	все его	1	1
239	в различных	1	1
240	является с	1	1
241	этих слов	1	1
242	какие мы	1	1
243	в преодолении	1	1
244	полагая что	1	1
245	когда мне	1	1
246	что только	1	1
247	и действительно	1	1
248	и так	1	1
249	верно и	1	1
250	уже не	1	1
251	равенства между	1	1
252	одно из	1	1
253	сложного и	1	1
254	в конце	2	1
255	это верно	1	1
256	само по	1	1
257	как раз	2	1
258	и делает	1	1
259	даже и	2	1
260	и даже	1	1
261	даже не	1	1
262	до сих	2	1
263	эта работа	1	1
264	полагаем что	1	1
265	то и	1	1
266	его как	1	1
267	нам думается	1	1
268	таковым в	1	1
269	и слово	1	1
270	общее правило	1	1
271	и потому	1	1
272	с которыми	1	1
273	или по	1	1
274	из которых	1	1
275	конечно не	4	1
276	о чем	2	1
277	в течение	1	1
278	другом не	1	1
279	думается что	2	1
280	делает и	1	1
281	быть не	1	1
282	и формы	3	1
283	для тех	1	1
284	художественное произведение	5	1
285	но прежде	1	1
286	сих пор	2	1
287	но это	2	1
288	все это	5	1
289	при построении	1	1
290	тех или	2	1
291	не существует	1	1
292	себя на	1	1
293	о котором	1	1
294	тем более	1	1
295	вообще в	1	1
296	конце концов	2	1
297	в большей	1	1
298	ни было	3	1
299	же в	1	1
300	в период	1	1
301	но если	1	1
302	впервые в	1	1
303	равно как	1	1
304	время не	1	1
305	ее в	1	1
306	они относятся	1	1
