N	2gram	Potebnia_M_2	Hudozhes
1	то есть	30	18
2	состоит в	2	16
3	и не	19	16
4	не только	15	15
5	и в	24	15
6	в том	18	15
7	тогда как	10	13
8	может быть	23	13
9	при этом	13	12
10	и его	2	12
11	а в	8	12
12	но не	12	11
13	в этом	8	11
14	в себе	10	11
15	то же	12	10
16	по отношению	2	10
17	как бы	9	10
18	так и	5	10
19	а не	18	10
20	но и	9	10
21	в его	2	9
22	в душе	23	8
23	я и	1	7
24	отличие от	1	7
25	но в	4	7
26	внутренней речи	1	7
27	в отличие	1	7
28	в то	6	7
29	с другой	6	7
30	с его	2	6
31	отношение к	1	6
32	том что	8	6
33	не в	13	6
34	же время	2	6
35	по своей	1	6
36	в ее	1	6
37	не может	12	6
38	что в	16	6
39	в их	1	5
40	более или	8	5
41	в самом	4	5
42	то что	20	5
43	ни в	1	5
44	тем самым	4	5
45	могут быть	8	5
46	можно сказать	1	5
47	того что	7	5
48	только в	11	5
49	уже не	4	5
50	между ними	2	5
51	другой стороны	2	5
52	или менее	8	5
53	в нем	9	5
54	отношения к	2	4
55	и то	3	4
56	место в	4	4
57	еще не	4	4
58	а только	8	4
59	как к	1	4
60	хотя и	3	4
61	и как	6	4
62	роли в	1	4
63	он не	1	4
64	в другом	2	4
65	и тем	3	4
66	в слове	13	4
67	в этих	3	4
68	в ходе	1	4
69	не столько	2	4
70	входит в	1	4
71	между тем	6	4
72	во времени	2	4
73	для него	10	4
74	со стороны	3	4
75	к которому	2	4
76	прежде всего	7	4
77	а на	1	4
78	как это	2	4
79	например в	3	4
80	к тому	1	4
81	сказать что	2	4
82	речи и	1	4
83	того же	14	3
84	значении этого	1	3
85	на деле	3	3
86	в целом	3	3
87	в противоположность	1	3
88	в которой	5	3
89	не следует	1	3
90	он должен	1	3
91	одно и	2	3
92	лишь в	1	3
93	его в	3	3
94	это не	3	3
95	этом смысле	2	3
96	как и	7	3
97	одного и	6	3
98	с точки	1	3
99	но он	2	3
100	тем не	6	3
101	их в	2	3
102	не менее	5	3
103	потому что	49	3
104	имеет место	2	3
105	не будет	1	3
106	так в	4	3
107	мог бы	3	3
108	если бы	11	3
109	и внешней	1	3
110	и что	4	3
111	что он	4	3
112	к нему	1	3
113	во втором	1	3
114	и того	6	3
115	человека с	1	3
116	далеко не	3	3
117	не на	2	3
118	была бы	1	3
119	человека к	1	3
120	в той	1	3
121	внешнего мира	4	3
122	и для	3	3
123	таким образом	11	3
124	в свою	6	3
125	в таком	4	3
126	таком случае	2	2
127	человека и	3	2
128	и это	2	2
129	между двумя	6	2
130	к другому	4	2
131	говоря и	1	2
132	но она	3	2
133	принадлежит к	1	2
134	и на	8	2
135	в чем	7	2
136	могло быть	1	2
137	но как	1	2
138	не все	2	2
139	за пределы	2	2
140	сама по	2	2
141	в себя	2	2
142	все эти	2	2
143	в нашем	2	2
144	бы не	5	2
145	рассказ о	1	2
146	с их	1	2
147	но на	2	2
148	не как	3	2
149	наших глазах	1	2
150	на этом	2	2
151	ни был	2	2
152	значительной степени	1	2
153	могла бы	3	2
154	об этом	1	2
155	времени и	1	2
156	времени в	1	2
157	по себе	15	2
158	в них	5	2
159	другим и	3	2
160	жизни но	1	2
161	с другими	5	2
162	известной степени	1	2
163	от себя	2	2
164	втором случае	1	2
165	и более	1	2
166	вовсе не	9	2
167	связей с	1	2
168	тому что	2	2
169	одна из	4	2
170	и притом	3	2
171	не могло	1	2
172	вытекает из	2	2
173	слова как	1	2
174	этих двух	1	2
175	внутренней и	1	2
176	оно не	3	2
177	для себя	1	2
178	и о	1	2
179	подобных случаях	1	2
180	того чтобы	2	2
181	свою очередь	6	2
182	здесь не	1	2
183	и сам	1	2
184	что может	2	2
185	или в	2	2
186	с человеком	1	2
187	о том	5	2
188	при котором	1	2
189	что каждый	1	2
190	существования в	2	2
191	именно в	1	2
192	а именно	1	2
193	индивидуального бытия	1	2
194	с одной	4	2
195	есть в	2	2
196	и др	1	2
197	одно из	3	2
198	никто не	1	2
199	слова в	5	2
200	и прежде	1	2
201	в одном	6	2
202	в пространстве	2	2
203	для меня	4	2
204	у него	2	2
205	для того	5	2
206	а с	2	2
207	себя и	2	2
208	превращается в	2	2
209	одной стороны	3	2
210	мы легко	2	2
211	в сторону	1	2
212	начиная с	1	2
213	так же	2	2
214	и потому	2	2
215	как в	10	2
216	к своему	1	2
217	и по	2	2
218	ни для	1	2
219	во всех	7	2
220	для такого	1	2
221	собственно говоря	1	2
222	тем более	1	2
223	с ним	5	2
224	отношении к	2	2
225	от всех	1	2
226	только о	1	2
227	определенным образом	1	2
228	говоря о	3	1
229	книги в	1	1
230	чтобы не	1	1
231	бы для	1	1
232	и есть	2	1
233	то в	1	1
234	чего не	2	1
235	отношения между	2	1
236	уже по	1	1
237	сливается с	1	1
238	которыми он	1	1
239	той же	3	1
240	есть не	5	1
241	по произволу	1	1
242	не во	2	1
243	содержания в	1	1
244	из своих	1	1
245	не была	1	1
246	человек должен	1	1
247	но чтобы	1	1
248	как я	1	1
249	никогда не	4	1
250	которое в	1	1
