N	2gram	Losev_Vlad_3	Russkaja
1	не может	14	22
2	и не	25	19
3	в том	18	17
4	в этом	16	17
5	и в	40	14
6	то что	28	13
7	то же	4	11
8	точки зрения	13	11
9	таким образом	11	11
10	в то	7	10
11	же время	2	10
12	но и	18	10
13	в себе	9	9
14	не только	25	9
15	том что	18	9
16	с точки	6	9
17	может быть	8	9
18	церкви и	3	9
19	во всяком	3	9
20	того чтобы	3	8
21	прежде всего	10	8
22	как на	3	8
23	самом деле	1	7
24	отнюдь не	5	7
25	и если	7	7
26	к богу	2	7
27	и с	9	7
28	в данном	5	7
29	к тому	7	7
30	не будет	6	7
31	стремление к	1	7
32	о том	11	7
33	самого себя	2	7
34	мы должны	4	7
35	ни к	2	7
36	к которой	1	6
37	если в	1	6
38	в своем	8	6
39	и к	2	6
40	в россии	3	6
41	с тем	7	6
42	в своих	7	6
43	и при	1	6
44	признать что	1	6
45	если бы	3	6
46	все это	1	6
47	и для	3	6
48	для того	2	6
49	что он	5	6
50	всяком случае	3	6
51	для него	8	6
52	на самом	3	6
53	а между	1	5
54	вопрос о	4	5
55	и на	6	5
56	во всех	1	5
57	на то	4	5
58	в нем	3	5
59	при этом	3	5
60	он не	8	5
61	церкви к	1	5
62	было бы	4	5
63	в своей	9	5
64	никогда не	11	5
65	потому что	11	5
66	лишь при	1	5
67	а потому	1	5
68	и только	3	5
69	только в	13	5
70	хотя бы	6	5
71	конечно не	1	5
72	в последние	1	5
73	или иной	1	5
74	до сих	1	5
75	себя и	1	5
76	из которых	1	5
77	по существу	4	5
78	сих пор	1	5
79	а в	7	5
80	и то	9	4
81	бы то	3	4
82	но не	4	4
83	себе и	2	4
84	все же	4	4
85	более или	5	4
86	не в	3	4
87	в этой	8	4
88	в корне	1	4
89	на земле	1	4
90	то ни	3	4
91	что такой	1	4
92	том случае	3	4
93	его в	2	4
94	как и	7	4
95	которой он	1	4
96	или менее	5	4
97	в их	2	4
98	точку зрения	1	4
99	во всем	6	4
100	ли это	1	4
101	от того	4	4
102	не могут	2	4
103	при таких	2	4
104	в мире	2	4
105	можно было	5	4
106	путь к	2	4
107	в его	14	4
108	так как	7	4
