N	2gram	Vygotskiy__5	Retstnzi
1	не может	18	4
2	и в	16	3
3	в центре	2	2
4	один из	1	2
5	если в	3	2
6	лежащие в	1	1
7	почти с	1	1
8	и не	12	1
9	тому что	5	1
10	не только	16	1
11	и тому	2	1
12	связи с	3	1
13	событий и	1	1
14	точки зрения	18	1
15	на примере	3	1
16	во второй	2	1
17	но и	6	1
18	не менее	3	1
19	поставить в	1	1
20	в системе	4	1
21	ничего кроме	1	1
22	в школе	6	1
23	в ней	2	1
24	с теми	1	1
25	в то	5	1
26	с точки	9	1
27	исследования во	1	1
28	и на	6	1
29	вопрос что	1	1
30	для него	5	1
31	и социальной	1	1
32	мы видим	4	1
33	может не	1	1
34	и больше	1	1
35	влияния на	1	1
36	в анализе	1	1
37	на нее	2	1
38	анализа и	1	1
39	к тому	6	1
40	речь и	4	1
41	а не	10	1
42	может быть	9	1
43	при анализе	2	1
44	несмотря на	1	1
45	еще большим	1	1
46	в его	11	1
47	он в	3	1
48	то же	8	1
49	и все	1	1
50	если бы	8	1
51	в каждом	1	1
52	исходя из	1	1
53	бы в	4	1
