N	3gram	Berdyaev_O_1	slovoVRo
1	во всяком случае	1	5
2	могут быть сопоставлены	1	2
3	а вовсе не	1	2
4	и к нему	1	2
5	и не может	1	2
6	и в этом	2	2
7	не могут быть	2	2
8	и в том	1	2
9	друг с другом	1	2
10	в виду не	1	1
11	прежде всего в	1	1
12	это было бы	2	1
13	и не в	1	1
14	но и в	2	1
15	в этом отношении	1	1
16	а иногда и	1	1
17	он никогда не	1	1
18	не может быть	2	1
19	раскрыть в нем	1	1
20	о том что	1	1
21	у него до	1	1
22	и все это	1	1
23	он еще не	1	1
24	и прежде всего	1	1
25	для того чтобы	3	1
26	в том что	1	1
27	как и в	1	1
