N	2gram	Nazirov_Tv_2	StatiiOP
1	бориса годунова	1	74
2	и в	20	29
3	борис годунов	1	28
4	том что	4	27
5	в том	8	27
6	в этом	8	21
7	не только	13	19
8	но и	8	19
9	что в	7	19
10	о том	5	17
11	в его	10	13
12	что он	6	13
13	у пушкина	3	12
14	в которой	2	11
15	то что	3	11
16	все это	6	11
17	таким образом	10	10
18	к тому	1	10
19	и т	13	9
20	он не	3	9
21	потому что	7	9
22	так и	6	9
23	и не	9	9
24	как на	1	9
25	но в	4	8
26	как раз	1	8
27	письме к	1	8
28	по поводу	1	8
29	я не	2	7
30	в сцене	1	7
31	в самом	3	7
32	так например	3	7
33	в г	1	7
34	в своей	6	7
35	в котором	3	7
36	не столько	2	7
37	тому что	1	7
38	в виду	1	7
39	вместе с	3	7
40	одним из	3	6
41	и на	5	6
42	все же	5	6
43	т д	11	6
44	вовсе не	2	6
45	и его	9	6
46	об этом	4	6
47	и что	2	6
48	в одном	2	6
49	до сих	3	6
50	в течение	1	6
51	г в	1	5
52	было бы	1	5
53	в русской	2	5
54	была бы	1	5
55	между тем	3	5
56	своего рода	3	5
57	в письме	1	5
58	прежде всего	8	5
59	а не	6	5
60	как бы	11	5
61	сих пор	3	5
62	если б	1	4
63	речь идет	1	4
64	хотя и	4	4
65	и к	1	4
66	по словам	2	4
67	в нем	3	4
68	что у	4	4
69	в другом	1	4
70	и с	8	4
71	должен был	1	4
72	не в	4	4
73	дело в	1	4
74	ничего не	4	4
75	трагедии в	2	4
76	у шекспира	1	4
77	пушкина на	1	4
78	и о	1	4
79	трагедию в	1	4
80	раньше чем	1	4
81	сцен в	1	4
82	связи с	1	4
83	при помощи	2	4
84	для него	3	4
85	с другой	2	4
86	именно в	6	4
87	действующих лиц	2	4
88	в речи	1	4
89	в частности	2	4
90	своего времени	1	4
91	еще более	1	4
92	того времени	1	4
93	в романе	15	4
94	к этому	3	4
95	вряд ли	1	3
96	например в	5	3
97	же как	3	3
98	самом деле	2	3
99	в году	16	3
100	в их	3	3
101	оба эти	1	3
102	и он	2	3
103	не был	1	3
104	но не	5	3
105	не то	1	3
106	как в	4	3
107	с этим	1	3
108	не было	2	3
109	что это	1	3
110	в известном	1	3
111	тому же	2	3
112	в начале	3	3
113	в россии	2	3
114	за свою	1	3
115	которой является	1	3
116	из них	2	3
117	ни в	1	3
118	не мог	1	3
119	в эту	1	3
120	в этих	1	3
121	одном из	2	3
122	в поэме	1	3
123	но он	1	3
124	по себе	1	3
125	не менее	2	3
126	в обоих	1	3
127	самого начала	1	3
128	одной из	3	3
129	никогда не	11	3
130	на себя	1	3
131	и по	2	3
132	тем что	3	3
133	у нас	2	3
134	у меня	1	3
135	с самого	1	3
136	в образе	3	3
137	в келье	1	3
138	он писал	2	3
139	и здесь	1	3
140	на вопрос	1	3
141	в пользу	3	3
142	как у	3	3
143	борису годунову	1	3
144	но это	5	3
145	года в	7	3
146	мне кажется	1	3
147	вот что	1	3
148	так что	2	3
149	всяком случае	2	3
150	т п	2	3
151	из нее	1	3
152	связан с	1	3
153	что на	2	3
154	и даже	5	3
155	к борису	1	3
156	в предисловии	1	3
157	а с	3	3
158	так же	5	3
159	xix века	7	3
160	другой стороны	2	3
161	похоже на	1	3
162	не является	3	3
163	давно уже	2	3
164	отношении к	1	3
165	во всяком	2	3
166	как известно	2	2
167	по адресу	1	2
168	только потому	1	2
169	такое же	1	2
170	смысл этого	1	2
171	из его	1	2
172	то же	7	2
173	в письмах	3	2
174	письма к	3	2
175	с его	1	2
176	присутствует в	1	2
177	тогда как	3	2
178	отличие от	2	2
179	нет и	2	2
180	что они	4	2
181	на то	1	2
182	и я	1	2
183	в истории	2	2
184	в одной	3	2
185	и как	1	2
186	все эти	4	2
187	в этой	5	2
188	в себе	3	2
189	на его	4	2
190	сцену в	1	2
191	в статье	2	2
192	при этом	8	2
193	если бы	4	2
194	первой части	4	2
195	не к	1	2
196	и более	1	2
197	том же	2	2
198	а затем	3	2
199	не дает	1	2
200	его в	3	2
