1	с другой стороны	4	7
2	до сих пор	1	5
3	тем не менее	3	5
4	в том что	8	5
5	как мы видели	1	5
6	до вступления в	1	4
7	что иное как	2	3
8	в связи с	2	3
9	не что иное	2	3
10	в данном случае	4	3
11	и то что	1	2
12	с одной стороны	7	2
13	том что в	1	2
14	по отношению к	6	2
15	к тому же	4	2
16	точно так же	2	2
17	но все же	4	2
18	состоит в том	3	2
19	о том что	6	2
20	как и в	1	2
21	на том свете	2	2
22	имеем дело с	1	1
23	в том числе	6	1
24	и столь же	1	1
25	не только в	2	1
26	и даже не	1	1
27	в соответствии с	1	1
28	а не с	1	1
29	независимо от того	1	1
30	они и не	1	1
31	может быть и	1	1
32	друг от друга	1	1
33	свою корову и	1	1
34	это одно из	1	1
35	как мы увидим	1	1
36	друг с другом	1	1
37	в себя и	2	1
38	можно было бы	2	1
39	с точки зрения	2	1
40	с этой точки	1	1
41	во второй раз	1	1
42	но в его	1	1
43	не может быть	5	1
44	связаны между собой	1	1
45	есть не что	1	1
46	что в этом	1	1
47	что у нее	1	1
48	но далеко не	1	1
49	все время пребывания	1	1
50	можно сказать что	4	1
51	так же как	2	1
52	на самом деле	1	1
53	что как говорит	1	1
54	в таком случае	2	1
55	в свою очередь	3	1
56	но в таком	1	1
57	и прежде всего	1	1
58	и у нас	1	1
59	мы имеем дело	2	1
60	подобно тому как	2	1
61	сами по себе	2	1
62	один из них	1	1
63	то что было	1	1
64	здесь не только	1	1
65	возвращения героя из	1	1
66	него а в	1	1
67	этой точки зрения	2	1
68	только то что	1	1
69	так или иначе	2	1
70	все же не	4	1
71	что они хотят	1	1
