N	2gram	Propp_Morf_1	TeoriaLi
1	не только	4	18
2	в качестве	5	17
3	тогда как	2	16
4	и не	12	16
5	а в	7	14
6	и в	13	13
7	в частности	2	13
8	состоит в	2	13
9	так и	6	12
10	может быть	52	12
11	при этом	1	11
12	в этом	14	11
13	в том	6	11
14	представляет собой	17	11
15	но не	4	10
16	и его	1	10
17	а не	11	10
18	то же	7	9
19	в его	1	9
20	отношению к	4	8
21	что в	8	8
22	но и	4	8
23	по отношению	4	8
24	в себе	1	7
25	точки зрения	2	7
26	как это	3	7
27	отличие от	1	7
28	в то	3	7
29	себя в	1	7
30	только в	2	7
31	том что	4	7
32	в данном	1	7
33	еще не	3	6
34	с его	2	6
35	в первой	1	6
36	но в	2	6
37	в русской	1	6
38	как бы	3	6
39	а а	2	5
40	данном случае	1	5
41	как и	3	5
42	не в	3	5
43	того или	1	5
44	между ними	1	5
45	между тем	5	5
46	уже не	2	5
47	он не	3	5
48	с другой	8	5
49	однако в	2	5
50	а также	4	5
51	в рамках	1	5
52	как в	3	5
53	в пределах	3	5
54	мы имеем	9	5
55	приводит к	2	4
56	не знает	1	4
57	в форме	6	4
58	говорить о	3	4
59	можно сказать	2	4
60	но он	1	4
61	по пути	1	4
62	читателя в	1	4
63	не менее	5	4
64	в своей	1	4
65	отношение к	1	4
66	хотя и	3	4
67	то что	8	4
68	ни в	1	4
69	сказать что	2	4
70	а и	3	4
71	не столько	1	4
72	или менее	2	4
73	не может	14	4
74	более или	2	4
75	в ходе	4	4
76	и ее	3	4
77	все эти	2	3
78	с ее	1	3
79	не все	6	3
80	и вот	1	3
81	в другом	2	3
82	или в	4	3
83	прежде всего	9	3
84	таким образом	21	3
85	в этой	2	3
86	как раз	1	3
87	в нашем	3	3
88	его в	2	3
89	в итоге	2	3
90	например в	2	3
91	для него	1	3
92	того что	3	3
93	потому что	3	3
94	входит в	2	3
95	в этих	13	3
96	и к	4	3
97	между двумя	1	3
98	мог бы	1	3
99	герой не	2	3
100	тем не	5	3
101	в основе	1	3
102	а с	2	3
103	другой стороны	4	3
104	и что	2	3
105	он должен	2	3
106	и др	10	3
107	и то	1	3
108	перед нами	10	3
109	ни к	2	3
110	и по	2	3
111	по своему	2	3
112	что каждый	1	2
113	в которой	3	2
114	к герою	3	2
115	образом и	1	2
116	или иных	1	2
117	и здесь	5	2
118	но она	1	2
119	случае это	1	2
120	одно и	1	2
121	как такой	1	2
122	рассказ о	1	2
123	одной из	1	2
124	что они	2	2
125	могла бы	4	2
126	и тем	2	2
127	так же	3	2
128	и для	2	2
129	здесь не	2	2
130	чем это	2	2
131	перед ним	1	2
132	вовсе не	4	2
133	вслед за	5	2
134	к нему	3	2
135	в большинстве	3	2
136	право на	2	2
137	даже в	1	2
138	дело не	2	2
139	во всех	4	2
140	а на	3	2
141	об этом	4	2
142	слова не	1	2
143	между собой	4	2
144	а именно	1	2
145	в рассказе	1	2
146	здесь мы	3	2
147	и некоторые	1	2
148	тем в	1	2
149	и притом	1	2
150	но как	2	2
151	к тому	4	2
152	это не	6	2
153	о законе	1	2
154	не с	2	2
155	в следующей	1	2
156	из которых	3	2
157	имеет в	1	2
158	с точки	2	2
159	противном случае	1	2
160	для меня	1	2
161	в той	1	2
162	это и	2	2
163	в целом	3	2
164	не на	2	2
165	в чем	1	2
166	но на	1	2
167	е о	1	2
168	данный момент	1	2
169	и даже	1	2
170	это было	3	2
171	всех подобных	1	2
172	со стороны	3	2
173	одной стороны	1	2
174	о и	1	2
175	тех или	1	2
176	у него	1	2
177	могут быть	16	2
178	с одной	1	2
179	во всей	1	2
180	их в	1	2
181	себя и	2	2
182	однако все	1	2
183	в противном	1	2
184	одну из	1	2
185	и иных	2	2
186	в глаза	2	2
187	о том	2	2
188	о чем	1	2
189	говорит что	1	2
190	собственно говоря	1	2
191	в области	1	2
192	подобных случаях	4	2
193	мы легко	1	2
194	как будто	2	2
195	в виду	1	2
196	вытекает из	1	2
197	если бы	2	2
198	и как	5	2
199	что он	4	2
200	литературных жанров	1	2
201	во втором	3	2
202	в е	1	1
203	может не	1	1
204	точек зрения	1	1
205	одним из	1	1
206	бы они	2	1
207	и совершенно	1	1
208	может и	1	1
209	для всех	1	1
210	также может	2	1
211	или иное	1	1
212	когда мы	1	1
213	не входит	1	1
214	но с	1	1
215	на его	4	1
216	существу является	1	1
217	то с	2	1
218	таких случаях	2	1
219	том случае	1	1
220	вопрос о	7	1
221	из этих	1	1
222	в связи	9	1
223	в собственном	3	1
224	многих других	1	1
225	в поле	4	1
226	за ним	1	1
227	о котором	1	1
228	бы то	3	1
229	ее в	1	1
230	момент в	1	1
231	вопрос что	2	1
232	не будет	1	1
233	случае не	3	1
234	начинается с	3	1
235	нет в	1	1
236	не должно	1	1
237	ни были	1	1
238	никто не	3	1
239	значение для	1	1
240	образом что	1	1
241	и развития	1	1
242	связи с	10	1
243	и со	1	1
244	и их	2	1
245	большинстве случаев	3	1
246	их отношении	1	1
247	обращается к	1	1
248	после того	1	1
249	как такового	1	1
250	ведет к	1	1
251	на ее	1	1
252	коем случае	1	1
253	на то	2	1
254	не по	2	1
255	отношение между	1	1
256	только о	1	1
257	настоящее время	3	1
258	это необходимо	1	1
259	в каждом	1	1
260	в какой	3	1
261	его можно	1	1
262	это еще	1	1
263	лишь один	1	1
264	можно лишь	1	1
265	с помощью	1	1
266	форма может	1	1
267	независимо от	3	1
268	и сама	1	1
269	что это	1	1
270	не более	1	1
271	с первых	1	1
272	не вполне	1	1
273	и другие	6	1
274	в бою	2	1
275	так что	1	1
276	от него	1	1
277	если в	5	1
278	целый ряд	3	1
279	здесь также	1	1
280	не дает	1	1
281	стоит в	1	1
282	в другой	1	1
283	и наоборот	4	1
284	совершенно не	1	1
285	одном случае	1	1
286	если он	1	1
287	с тем	2	1
288	тем как	1	1
289	в одном	1	1
290	то в	3	1
291	тысяча и	1	1
292	и становится	1	1
293	до этого	1	1
294	те же	1	1
295	если не	1	1
296	одно из	1	1
297	со всеми	1	1
298	до известной	1	1
299	собой в	2	1
300	такое же	1	1
301	совсем не	3	1
302	со смертью	2	1
303	чтобы в	1	1
304	в художественно	1	1
305	за это	1	1
306	одна ночь	1	1
307	таком случае	1	1
308	случае если	1	1
309	субъективно оно	1	1
310	из наиболее	1	1
311	остановимся на	1	1
312	оно не	2	1
313	иных случаях	2	1
314	путь к	2	1
315	людей в	1	1
316	является его	1	1
317	однако что	1	1
318	или же	6	1
319	то во	1	1
320	с этой	1	1
321	дело в	1	1
322	что касается	1	1
323	к различным	2	1
324	дело с	1	1
325	д и	1	1
326	в формах	1	1
327	к чему	3	1
328	в таких	2	1
329	в таком	1	1
330	а затем	4	1
331	необходимо для	1	1
332	можно назвать	3	1
333	что даже	1	1
334	но если	7	1
335	быть определен	2	1
336	вступает в	1	1
337	как видно	1	1
338	чему не	2	1
339	для данного	1	1
340	природой и	1	1
341	более чем	1	1
342	узнает в	1	1
343	очень часто	6	1
344	из его	2	1
345	от своих	1	1
346	первом случае	3	1
347	этом случае	8	1
348	в момент	1	1
349	с героем	1	1
350	одновременно с	1	1
351	и на	1	1
352	привести к	1	1
353	первых же	1	1
354	это бывает	1	1
355	на которой	1	1
356	в коем	1	1
357	всякая фраза	1	1
