N	3gram	Medvedev_F_2	Marksizm
1	с точки зрения	7	13
2	не может быть	10	10
3	то же время	5	8
4	в то же	5	8
5	в связи с	10	7
6	для того чтобы	3	6
7	в том что	2	6
8	в самом деле	5	5
9	может быть и	3	5
10	но в то	1	5
11	с самого начала	2	5
12	в свою очередь	1	5
13	в большинстве случаев	3	5
14	смысле этого слова	1	4
15	бы то ни	1	4
16	и пр и	4	4
17	на самом деле	3	4
18	мы ни взяли	1	3
19	и не может	3	3
20	в таком случае	1	3
21	в отличие от	2	3
22	до сих пор	1	3
23	и не в	2	3
24	с одной стороны	1	3
25	в высшей степени	4	3
26	вовсе не является	1	3
27	языка и его	5	3
28	в направлении к	1	3
29	к тому что	2	3
30	пр и пр	4	3
31	как мы видели	4	3
32	в системе языка	1	2
33	и пр но	3	2
34	в противном случае	1	2
35	а не в	1	2
36	более или менее	1	2
37	в этом последнем	1	2
38	языка как системы	1	2
39	является не только	1	2
40	быть и речи	3	2
41	того или иного	4	2
42	в зависимости от	3	2
43	но и в	3	2
44	оставаясь в пределах	1	2
45	чем же является	2	2
46	не было бы	1	2
47	в собственном смысле	1	2
48	по крайней мере	1	2
49	в значительной степени	3	2
50	к этому пределу	1	2
51	обстоит чрезвычайно плохо	1	2
52	лежит в основе	1	2
53	во всяком случае	5	2
54	все более и	1	2
55	до настоящего времени	1	2
56	язык как система	1	2
57	у нас не	1	2
58	высказывания как целого	1	2
59	неразрывной связи с	1	2
60	в неразрывной связи	1	2
61	хотя бы в	3	2
62	мы убедимся что	1	2
63	более и более	1	2
64	в узком смысле	1	2
65	дело обстоит чрезвычайно	1	2
66	и прежде всего	2	2
67	и до настоящего	1	2
68	и его формы	1	2
69	может быть с	1	1
70	оно не будет	1	1
71	русского литературного языка	1	1
72	социально организованными людьми	1	1
73	что иное как	1	1
74	в процессе борьбы	1	1
75	но как раз	1	1
76	из всего этого	3	1
77	и связанные с	1	1
78	быть от него	1	1
79	в какой мере	2	1
80	развития именно в	1	1
81	не следует что	2	1
82	ровно ничего не	1	1
83	прежде всего на	1	1
84	чуть ли не	1	1
85	а вовсе не	1	1
86	не в их	1	1
87	то о чем	1	1
88	языке как о	1	1
89	односторонний монологизм лингвистики	1	1
90	не говоря уже	1	1
91	к другому в	1	1
92	высказывания прежде всего	1	1
93	значение и следовательно	1	1
94	можно говорить лишь	1	1
95	жанры речевых выступлений	1	1
96	и как увидим	1	1
97	в этом случае	1	1
98	языка и не	1	1
99	он не может	1	1
100	остается подвести итоги	1	1
101	в широком смысле	1	1
102	что именно эти	1	1
103	должно все время	1	1
104	говоря уже о	1	1
105	и для понимания	1	1
106	до известной степени	3	1
107	и хотя бы	1	1
108	сам по себе	3	1
109	сами по себе	2	1
110	в той же	1	1
111	от его идеологического	1	1
112	как мы увидим	1	1
113	важным этапом в	1	1
114	системе языка и	1	1
115	они вступают в	1	1
116	в этом отношении	7	1
117	но они не	1	1
118	но он не	1	1
119	форм поэтических высказываний	1	1
120	речи может быть	1	1
121	не сам по	1	1
122	и лишь постольку	1	1
123	и с помощью	1	1
124	лишь в процессе	1	1
125	в процессе этого	2	1
126	языка при этом	1	1
127	и в других	1	1
128	и его эволюции	1	1
129	же в таком	1	1
130	так или иначе	1	1
131	но тем не	1	1
132	если же мы	1	1
133	как мы знаем	2	1
134	мы полагаем что	1	1
135	ни на один	2	1
136	к вопросу о	1	1
137	в сущности вовсе	1	1
138	языка как ее	1	1
139	начала ясно что	1	1
140	в одной плоскости	1	1
141	тем не менее	1	1
142	не в слове	1	1
143	не могут быть	4	1
144	во всех этих	1	1
145	же мы возьмем	1	1
146	тем же самым	1	1
147	конкретного высказывания или	1	1
148	становится как бы	1	1
149	в учении о	1	1
150	себе а лишь	1	1
151	с другой стороны	3	1
152	в его целом	1	1
153	языка не может	1	1
154	нас не было	1	1
155	что же такое	1	1
156	не совпадает с	1	1
157	языка таким образом	1	1
158	как бы не	1	1
159	во всех своих	1	1
160	нет подхода к	1	1
161	убедимся что оно	1	1
162	морфологической и синтаксической	1	1
163	взаимодействия и борьбы	1	1
164	и соответствующих форм	1	1
165	таким образом в	1	1
166	речевых выступлений и	1	1
167	характерно что и	1	1
168	по себе а	2	1
169	и пр в	1	1
170	а в связи	2	1
171	так и в	3	1
172	совершенно независимое от	1	1
173	самого начала ясно	1	1
174	текущей литературной действительности	1	1
175	то или иное	1	1
176	его фонетического состава	1	1
177	с тем что	5	1
178	все время учитывать	1	1
179	не приходится говорить	1	1
180	и значением в	3	1
181	с помощью которых	1	1
182	мы знаем в	1	1
183	не что иное	1	1
184	и в особенности	1	1
185	но все же	2	1
186	таким образом каждый	1	1
187	но что же	1	1
188	время учитывать все	1	1
189	языка а не	1	1
190	может быть от	1	1
191	слова еще более	1	1
192	превращения его в	1	1
193	то что они	1	1
194	не дает возможности	1	1
195	однако и здесь	1	1
196	тем что он	1	1
197	но в этом	2	1
198	что оно является	1	1
199	как и в	1	1
200	в отрыве от	1	1
201	как организованное материальное	1	1
202	нам кажется что	1	1
