N	3gram	Losev_Prob_5	Vvedenie
1	и т д	1	36
2	для того чтобы	2	20
3	о том что	9	12
4	в том что	8	12
5	в этом смысле	3	8
6	тем не менее	5	8
7	не может быть	2	8
8	в то же	1	6
9	до н э	5	6
10	в самом деле	1	6
11	то же время	1	6
12	до сих пор	2	6
13	с другой стороны	5	5
14	мере в какой	1	5
15	так или иначе	1	4
16	с одной стороны	3	4
17	и в этом	1	4
18	во всяком случае	2	4
19	по отношению к	2	4
20	не что иное	3	4
21	не только в	1	4
22	в этом отношении	1	4
23	что иное как	3	4
24	не только как	1	4
25	в данном случае	2	4
26	по крайней мере	4	4
27	можно было бы	1	4
28	вопрос о том	1	3
29	но в то	1	3
30	можно сказать что	3	3
31	но все же	2	3
32	вместе с тем	3	3
33	сама по себе	1	3
34	также и в	2	3
35	и в том	1	3
36	в до н	2	2
37	а также и	1	2
38	в конце концов	6	2
39	по этому поводу	2	2
40	что несмотря на	1	2
41	состоит в том	1	2
42	в значительной мере	2	2
43	свое значение и	1	2
44	а так как	1	2
45	как будто бы	3	2
46	в большей части	1	2
47	той или иной	1	2
48	в связи с	7	2
49	на задний план	1	2
50	в большей степени	1	2
51	точно так же	3	2
52	не говоря уже	1	2
53	дело в том	2	2
54	вовсе не в	1	2
55	потому что он	2	2
56	с точки зрения	8	2
57	обратить внимание на	3	2
58	в самом своем	1	2
59	том что не	1	1
60	н э в	3	1
61	с самого начала	1	1
62	имея в виду	1	1
63	связи с этим	1	1
64	такого же рода	2	1
65	сам по себе	1	1
66	и то что	3	1
67	бы то ни	2	1
68	только тогда когда	3	1
69	тот факт что	1	1
70	дошедших до нас	1	1
71	и в конце	1	1
72	он вовсе не	1	1
73	и не в	2	1
74	и в дальнейшем	1	1
75	того же автора	1	1
76	в котором можно	1	1
77	в своей работе	1	1
78	и речи даже	1	1
79	также и то	2	1
80	не только по	1	1
81	и для того	1	1
82	в очень глубоком	1	1
83	после того как	3	1
84	и никогда не	2	1
85	не потому что	1	1
86	а именно в	3	1
87	еще и потому	1	1
88	что в ней	1	1
89	потому что они	2	1
90	и потому что	1	1
91	также и с	1	1
92	который мог бы	1	1
93	такой точки зрения	1	1
94	вв до н	2	1
95	хотя бы на	1	1
96	в предисловии к	1	1
97	и был первым	1	1
98	смысле слова но	1	1
99	никак не может	2	1
100	сказать что он	1	1
101	не вмещается в	1	1
102	на самом деле	1	1
103	в и в	1	1
104	все же в	1	1
105	то обстоятельство что	1	1
106	в нем не	1	1
107	в настоящее время	3	1
108	который хотя и	1	1
109	в сравнении с	3	1
110	уже и в	1	1
111	и все прочие	1	1
112	может быть никакой	1	1
113	то или иное	1	1
114	и в значительной	1	1
115	может быть только	3	1
116	в самой себе	1	1
117	от того что	1	1
118	в xix в	1	1
119	был уже не	1	1
120	только потому что	1	1
121	но в силу	1	1
122	древней греции и	1	1
123	xix в и	1	1
124	но и в	2	1
125	то что этот	1	1
126	второй половины xviii	1	1
127	таким образом мы	1	1
128	с этой стороны	1	1
129	уже о том	1	1
130	ту или иную	1	1
131	как раз в	1	1
132	а есть только	1	1
133	было бы с	1	1
134	этой точки зрения	1	1
135	в таком случае	2	1
136	с этой точки	1	1
137	на эту тему	1	1
138	то ни было	1	1
139	говоря уже о	1	1
