1	в том что	5	9
2	к тому же	2	5
3	с другой стороны	2	5
4	и т д	18	4
5	том что он	1	4
6	после того как	2	3
7	по отношению к	3	3
8	с одной стороны	3	3
9	о том что	2	3
10	но и в	2	2
11	до сих пор	6	2
12	на то что	2	2
13	т е в	1	2
14	может быть даже	1	2
15	не в состоянии	1	2
16	и один из	1	1
17	можно было бы	3	1
18	т д все	1	1
19	не только в	4	1
20	что иное как	2	1
21	с самого начала	2	1
22	а с наступлением	1	1
23	при этом они	1	1
24	соответствии с этим	1	1
25	до конца и	1	1
26	как один из	1	1
27	в отличие от	1	1
28	и не только	1	1
29	населения и прежде	1	1
30	с этим и	1	1
31	что он не	4	1
32	и здесь мы	1	1
33	друг от друга	1	1
34	они так же	1	1
35	бросается в глаза	1	1
36	в тех случаях	1	1
37	том что в	1	1
38	в зависимости от	1	1
39	не что иное	2	1
40	в другом случае	1	1
41	что у него	1	1
42	что под этим	1	1
43	начала до конца	1	1
44	вместе с тем	5	1
45	сам по себе	1	1
46	а в другом	1	1
47	до наших дней	1	1
48	смысле этого слова	1	1
49	тот сказал что	1	1
50	к этому времени	1	1
51	а может быть	1	1
52	потому что они	1	1
53	со всех сторон	4	1
54	они должны были	4	1
55	так или иначе	1	1
56	тем не менее	1	1
57	так же как	4	1
58	другой стороны в	1	1
59	к заключению что	1	1
60	и прежде всего	1	1
61	в обоих случаях	1	1
62	от начала до	1	1
63	прямой путь к	1	1
64	подобно тому как	3	1
65	из них не	1	1
66	мы уже знаем	3	1
67	в это время	1	1
68	том что они	1	1
69	тех случаях когда	1	1
70	однако еще не	1	1
71	в высшей степени	1	1
72	в подземное царство	1	1
73	в одном случае	2	1
