N	3gram	Losev_Vesc_1	slovoVRo
1	в то же	1	12
2	в той или	2	9
3	с точки зрения	3	8
4	и т д	19	5
5	не может не	1	5
6	во всяком случае	2	5
7	с одной стороны	3	4
8	с другой стороны	2	4
9	и в особенности	1	4
10	но и здесь	1	3
11	более или менее	1	3
12	в зависимости от	1	3
13	в данном случае	2	3
14	данный момент его	1	2
15	друг с другом	1	2
16	и во всех	1	2
17	дело не с	2	2
18	мы уже сказали	1	2
19	до сих пор	1	2
20	к тому что	2	2
21	то время как	1	2
22	в первом случае	2	2
23	и то же	4	2
24	в то время	1	2
25	можно было бы	1	2
26	не только в	4	2
27	может быть только	3	2
28	и кроме того	1	2
29	как бы ни	2	2
30	в свою очередь	4	2
31	одно и то	4	2
32	о том что	4	1
33	так или иначе	4	1
34	вообще не есть	1	1
35	самых основных и	1	1
36	бы то ни	4	1
37	и во всяком	1	1
38	только так что	1	1
39	и в частности	1	1
40	а следовательно и	1	1
41	да и в	1	1
42	можно сказать что	3	1
43	у нас в	2	1
44	а затем и	2	1
45	у него нет	1	1
46	тех или иных	1	1
47	равно как и	2	1
48	и не в	1	1
49	не есть еще	2	1
50	для того чтобы	2	1
51	у нее нет	1	1
52	то ни было	4	1
53	и может не	1	1
54	из этого диалога	1	1
55	в том что	4	1
56	и ничем не	1	1
57	не может быть	6	1
58	ведь не из	1	1
59	и не все	1	1
60	себя в своем	1	1
61	этой точки зрения	1	1
62	не только не	2	1
63	и ничего не	1	1
64	это не значит	1	1
65	в этом отношении	1	1
66	г г шпет	1	1
67	на самом же	1	1
68	и следовательно имеет	1	1
69	с полной очевидностью	1	1
70	а не к	1	1
71	самом же деле	1	1
72	мы видим что	1	1
73	в свое время	2	1
74	мы не знаем	1	1
75	так что мы	1	1
76	дело в том	2	1
77	в своей основной	1	1
78	тем не менее	3	1
79	и с другой	2	1
80	и в в	2	1
81	это было бы	1	1
82	на то или	1	1
83	с этой точки	1	1
84	по крайней мере	4	1
85	к действительности и	1	1
