N	2gram	Losev_Dial_1	BTomashe
1	и не	30	2
2	больше чем	1	2
3	все это	11	2
4	в ней	3	2
5	можно было	5	2
6	не то	6	2
7	крайней мере	4	1
8	же не	1	1
9	тем более	2	1
10	говорить о	5	1
11	об этом	4	1
12	и в	18	1
13	и о	3	1
14	к ней	4	1
15	что все	1	1
16	начинает говорить	1	1
17	с другой	6	1
18	в своей	2	1
19	как первый	1	1
20	на самом	3	1
21	как будто	1	1
22	было бы	12	1
23	все же	5	1
24	всяком случае	2	1
25	а о	2	1
26	кроме того	1	1
27	никак не	6	1
28	между ними	1	1
29	еще не	2	1
30	должна быть	3	1
31	прежде всего	10	1
32	в данном	3	1
33	так и	9	1
34	о них	1	1
35	не было	6	1
36	то как	3	1
37	его не	6	1
38	совершенно не	8	1
39	чтобы можно	1	1
40	далеко не	1	1
41	не о	4	1
42	всего в	1	1
43	а не	14	1
44	что в	13	1
45	другой стороны	4	1
46	также не	1	1
47	говорить об	1	1
48	по крайней	4	1
49	отнюдь не	9	1
50	таким образом	1	1
51	вопрос о	2	1
52	и более	4	1
53	и потому	3	1
54	не только	13	1
55	иначе не	2	1
56	во всяком	4	1
57	целиком в	1	1
58	в эпоху	2	1
