N	2gram	Bakhtin_fo_2	Analitik
1	не только	11	22
2	и в	46	18
3	как и	8	14
4	так и	7	14
5	в этом	22	14
6	и его	12	13
7	но и	9	13
8	том что	4	12
9	в качестве	3	12
10	и не	9	12
11	в частности	5	12
12	при этом	6	11
13	то есть	10	10
14	а в	3	10
15	как бы	10	10
16	что в	5	9
17	может быть	7	9
18	а не	4	9
19	в том	10	9
20	с его	1	8
21	и даже	3	8
22	притча о	1	7
23	в его	8	7
24	с другой	2	7
25	но не	5	7
26	еще не	6	6
27	в этой	2	6
28	он не	5	6
29	в их	3	6
30	не в	9	6
31	к тому	3	6
32	для него	3	6
33	о том	4	6
34	того же	3	5
35	мы имеем	2	5
36	в самом	1	5
37	в случае	1	5
38	лишь в	2	5
39	однако в	1	5
40	в мире	4	5
41	или иной	2	5
42	в сущности	2	5
43	что и	3	5
44	между тем	1	5
45	уже не	3	5
46	в конце	2	5
47	никогда не	6	5
48	и т.п	2	5
49	в свою	1	5
50	прежде всего	14	5
51	не является	3	5
52	в результате	1	5
53	другой стороны	1	5
54	принадлежит к	2	4
55	и на	7	4
56	что он	3	4
57	отнюдь не	4	4
58	в своем	5	4
59	и как	3	4
60	что по	1	4
61	и к	2	4
62	таким образом	3	4
63	по себе	2	4
64	картина мира	2	4
65	картины мира	2	4
66	в одном	7	4
67	свою очередь	1	4
68	в пределах	5	4
69	и сам	1	4
70	внимание на	1	4
71	можно сказать	2	4
72	себя в	1	4
73	далеко не	2	4
74	о чем	3	4
75	в данном	2	4
76	все же	6	4
77	здесь и	1	3
78	мы не	1	3
79	говорить о	2	3
80	уже в	4	3
81	здесь не	2	3
82	о смерти	2	3
83	но как	1	3
84	если в	2	3
85	что они	4	3
86	как говорит	1	3
87	как в	4	3
88	с этим	5	3
89	из этих	4	3
90	роль в	3	3
91	ключ к	1	3
92	то же	8	3
93	в каждом	1	3
94	его в	6	3
95	лишь на	1	3
96	и того	1	3
97	одного и	1	3
98	точки зрения	10	3
99	не столько	1	3
100	все это	6	3
101	в то	5	3
102	же время	4	3
103	той или	1	3
104	с ее	1	3
105	в ее	1	3
106	данном случае	1	3
107	в произведении	1	3
108	так в	1	3
109	жизнь и	3	3
110	именно в	2	3
111	было бы	2	3
112	дело с	1	3
113	во всем	1	3
114	этом отношении	2	3
115	в особенности	6	3
116	еще и	1	3
117	что не	1	3
118	не было	3	3
119	он и	1	3
120	его как	1	3
121	как это	2	3
122	по поводу	1	3
123	к этому	3	3
124	отношения к	4	2
125	например в	1	2
126	самом деле	1	2
127	по преимуществу	1	2
128	в литературу	2	2
129	есть не	1	2
130	и он	4	2
131	в ней	1	2
132	во всех	11	2
133	со всеми	2	2
134	в общем	1	2
135	отличие от	1	2
136	это и	1	2
137	когда он	1	2
138	как уже	3	2
139	но в	10	2
140	бы и	1	2
141	все эти	5	2
142	в тех	1	2
143	в себе	4	2
144	не могла	2	2
145	так сказать	7	2
146	на его	1	2
147	в нем	5	2
148	видеть в	1	2
149	не как	1	2
150	и вот	2	2
151	о его	2	2
152	и по	3	2
153	это не	2	2
154	с самим	1	2
155	в них	7	2
156	о которых	1	2
157	с тем	2	2
158	несмотря на	1	2
159	не мог	2	2
160	с точки	8	2
161	в отличие	1	2
162	от его	1	2
163	чистом виде	1	2
164	возникает в	1	2
165	вплоть до	2	2
166	дело в	1	2
167	одна из	1	2
168	на два	1	2
169	его части	1	2
170	по своей	1	2
