N	3gram	Vinokur_St_1	Sotsiolo
1	в том что	17	2
2	дело не в	2	2
3	но ведь это	1	2
4	в конце концов	1	2
5	не в том	2	2
6	по отношению к	3	2
7	в настоящее время	1	1
8	в том и	1	1
9	а между тем	1	1
10	и в этом	3	1
11	не может не	1	1
12	только то что	1	1
13	по крайней мере	2	1
14	то что в	2	1
15	в наше время	1	1
16	должно было бы	1	1
17	о том как	1	1
18	именно в том	1	1
19	и более чем	1	1
20	как бы они	1	1
21	друг от друга	1	1
22	в то же	4	1
23	стр и в	1	1
24	это вовсе не	1	1
25	а с другой	1	1
26	в этой области	5	1
27	а в том	1	1
28	то же время	4	1
29	чуть ли не	2	1
30	бы они ни	1	1
31	они ни были	1	1
32	и в то	1	1
33	в лучшем случае	1	1
34	с одной стороны	2	1
35	во всяком случае	6	1
