N	3gram	Medvedev_S_1	Dialekti
1	сама по себе	1	8
2	в том что	2	7
3	то же время	1	4
4	по крайней мере	1	4
5	в то же	1	4
6	ровно ничего не	1	3
7	только то что	1	3
8	в конце концов	2	3
9	и в этом	1	3
10	и в то	1	2
11	не было бы	1	2
12	с одной стороны	1	2
13	ни на что	1	2
14	не должна быть	1	2
15	во всяком случае	1	2
16	и стало быть	1	2
17	это и есть	1	2
18	а между тем	1	1
19	как то что	1	1
20	что все это	1	1
21	все же это	1	1
22	все это происходит	1	1
23	эти два или	1	1
24	не в том	2	1
25	в связи с	1	1
26	а в том	1	1
27	друг от друга	1	1
28	дело не в	2	1
29	еще недостаточно глубоко	1	1
30	это происходит не	1	1
31	то же самое	1	1
