N	2gram	Berdyaev_V_1	Hudozhes
1	в мире	5	23
2	то есть	1	18
3	и не	20	16
4	в том	3	15
5	и в	16	15
6	не только	2	15
7	тогда как	1	13
8	может быть	1	13
9	а в	2	12
10	в этом	4	11
11	но не	2	11
12	я в	1	11
13	так и	4	10
14	но и	5	10
15	то же	1	10
16	а не	7	10
17	как бы	5	10
18	в его	4	9
19	в искусстве	1	7
20	с другой	1	7
21	но в	3	7
22	что в	3	6
23	не в	3	6
24	в ее	1	6
25	отношение к	1	6
26	с его	3	6
27	том что	2	6
28	в нем	4	5
29	в их	1	5
30	ни в	3	5
31	того что	5	5
32	то что	9	5
33	уже не	2	5
34	другой стороны	1	5
35	могут быть	2	5
36	в самом	1	5
37	только в	2	5
38	в форме	2	4
39	еще не	8	4
40	хотя и	5	4
41	говорить о	4	4
42	прежде всего	2	4
43	по пути	5	4
44	как это	1	4
45	в своей	3	4
46	для него	2	4
47	между тем	2	4
48	к тому	3	4
49	в этих	3	4
50	и тем	1	4
51	и то	2	4
52	как и	4	3
53	в которой	1	3
54	в противоположность	1	3
55	не будет	2	3
56	и для	3	3
57	человеческой жизни	1	3
58	и ее	1	3
59	к нему	1	3
60	и внешней	1	3
61	потому что	4	3
62	что он	4	3
63	это не	2	3
64	в целом	1	3
65	лишь в	3	3
66	со своей	1	3
67	их в	3	3
68	и что	3	3
69	человека к	1	3
70	не случайно	1	3
71	личности и	3	3
72	о чем	1	3
73	в виду	1	3
74	в роли	1	3
75	все эти	3	2
76	но она	1	2
77	так же	1	2
78	вовсе не	1	2
79	ведет к	1	2
80	в этой	1	2
81	с ним	2	2
82	на этом	1	2
83	того чтобы	2	2
84	во всех	3	2
85	в одном	1	2
86	ни для	1	2
87	слова не	1	2
88	я думаю	2	2
89	или даже	1	2
90	жизни в	1	2
91	оно не	3	2
92	к жизни	1	2
93	превращается в	3	2
94	в себя	2	2
95	но как	1	2
96	человеческого бытия	1	2
97	как в	1	2
98	человека и	6	2
99	нового времени	1	2
100	в чем	3	2
101	мира и	1	2
102	мире и	1	2
103	для того	1	2
104	и потому	7	2
105	а с	2	2
106	в них	3	2
107	одна из	2	2
108	у него	1	2
109	во мне	4	2
110	тому что	3	2
111	и на	1	2
112	себя и	1	2
113	для себя	1	2
114	роль в	1	2
115	к бытию	3	2
116	я не	1	2
117	и сам	2	2
118	ведет по	2	2
119	говорит что	1	2
120	и по	1	2
121	не сумеет	1	2
122	этом мире	1	2
123	и это	2	2
124	мира в	2	2
125	жизни но	1	2
126	речь идет	1	2
127	в своем	1	2
128	к творческим	1	1
129	может и	1	1
130	на части	1	1
131	тебя так	1	1
132	но с	1	1
133	личность как	2	1
134	места в	1	1
135	бы в	1	1
136	для нас	2	1
137	и свою	1	1
138	на котором	1	1
139	в одно	1	1
140	этой тайны	1	1
141	с внутренним	1	1
142	вместе с	1	1
143	папы и	1	1
144	свою личность	4	1
145	жизни и	3	1
146	говорит о	1	1
147	бы то	1	1
148	постигнуть смысл	1	1
149	от этого	3	1
150	только мы	1	1
151	что они	7	1
152	и который	1	1
153	и пусть	1	1
154	не была	1	1
155	из всего	1	1
156	в бытии	1	1
157	о своем	1	1
158	крайней мере	1	1
159	есть не	1	1
160	души и	1	1
161	не было	3	1
162	после того	1	1
163	с бытием	1	1
164	о счастье	5	1
165	и внешнее	1	1
166	всего что	1	1
167	вслед за	2	1
