N	2gram	Tiupa_Narr_1	Hudozhes
1	анна сергеевна	4	17
2	том что	7	16
3	и в	11	14
4	анны сергеевны	3	13
5	у чехова	6	13
6	так и	5	13
7	не только	31	12
8	при этом	19	12
9	о том	4	12
10	в том	8	12
11	а не	13	12
12	и т	1	11
13	в себе	6	11
14	в этом	12	11
15	прежде всего	4	11
16	в рассказе	8	11
17	в своей	5	10
18	для него	4	10
19	а п	1	10
20	то же	8	9
21	как и	13	9
22	чеховского рассказа	1	9
23	что он	3	9
24	в качестве	14	9
25	у него	7	9
26	с собачкой	9	8
27	по отношению	3	8
28	в этой	6	8
29	как в	4	8
30	то что	9	8
31	же время	4	8
32	ничего не	2	8
33	в его	6	8
34	между тем	3	8
35	отношению к	3	8
36	в то	4	8
37	еще не	4	7
38	тогда как	10	7
39	анне сергеевне	2	7
40	это не	3	7
41	своего рода	10	7
42	не в	6	7
43	казалось бы	2	7
44	к тому	6	7
45	уже не	8	7
46	не случайно	1	7
47	именно в	3	7
48	не может	8	7
49	как бы	6	7
50	а в	13	7
51	как правило	5	6
52	в концовке	1	6
53	в первой	2	6
54	человека в	2	6
55	в глазах	3	6
56	никогда не	4	6
57	рассказа в	5	6
58	в ялте	3	6
59	жизни в	2	6
60	что в	3	6
61	самом деле	3	5
62	с его	4	5
63	человеческих отношений	1	5
64	перед нами	5	5
65	городе с	1	5
66	но в	7	5
67	об этом	6	5
68	точки зрения	5	5
69	не менее	3	5
70	к анне	3	5
71	и его	10	5
72	потому что	5	5
73	в городе	1	5
74	к себе	4	5
75	и он	6	5
76	во второй	1	5
77	только в	12	5
78	по мнению	1	5
79	друг друга	2	5
80	может быть	15	5
81	но и	27	5
82	в частности	14	5
83	к жизни	2	5
84	интерес к	1	5
85	в этих	2	5
86	героя и	2	5
87	жизни и	6	5
88	художественного целого	1	4
89	мы уже	1	4
90	он уже	2	4
91	и о	3	4
92	в ней	4	4
93	столь же	5	4
94	а только	1	4
95	в центре	3	4
96	в своем	3	4
97	и к	1	4
98	в действительности	1	4
99	дамы с	2	4
100	то в	4	4
101	в самом	6	4
102	всего лишь	3	4
103	та же	2	4
104	на то	2	4
105	что она	1	4
106	он не	3	4
107	картины мира	3	4
108	и с	3	4
109	первой главы	1	4
110	этой связи	1	4
111	тем не	3	4
112	тому что	1	4
113	с ним	2	4
114	человеческого я	1	4
115	она не	2	4
116	в русской	3	4
117	по своей	1	4
118	связи с	2	4
119	как будто	3	4
120	можно сказать	5	4
121	второй главы	1	4
122	чеховского творчества	1	4
123	того что	4	4
124	один из	6	4
125	себя в	2	4
126	из них	4	4
127	в конце	2	4
