N	2gram	Bakhtin_Pr_2	UchenyiS
1	и в	43	14
2	а не	7	10
3	не только	11	10
4	прежде всего	10	8
5	и не	29	8
6	не может	18	7
7	в этом	13	7
8	то что	7	7
9	может быть	23	6
10	то же	8	5
11	стилистических приемов	1	5
12	и только	3	5
13	в художественном	3	5
14	все это	5	5
15	хотя бы	2	5
16	художественного творчества	2	5
17	с другой	4	4
18	но и	14	4
19	что такое	2	4
20	в их	3	4
21	в этой	1	4
22	конечно не	2	4
23	то ни	1	3
24	и то	2	3
25	это не	3	3
26	было бы	5	3
27	как и	14	3
28	для этого	2	3
29	в своей	4	3
30	или точнее	1	3
31	бы то	1	3
32	к сожалению	1	3
33	в то	7	3
34	все же	3	3
35	но в	10	3
36	не следует	1	3
37	же время	5	3
38	у нас	2	3
39	другой стороны	3	3
40	для него	8	3
41	не как	6	3
42	ни было	2	3
43	не о	1	3
44	что все	1	2
45	а между	2	2
46	крайней мере	1	2
47	же не	4	2
48	именно как	2	2
49	одним из	1	2
50	и с	5	2
51	художественного произведения	1	2
52	и через	1	2
53	до сих	7	2
54	а как	4	2
55	самом деле	5	2
56	форму и	1	2
57	должна быть	3	2
58	превращается в	2	2
59	мы не	4	2
60	о чем	1	2
61	является в	1	2
62	если бы	3	2
63	ничего не	3	2
64	том что	2	2
65	материал для	1	2
66	мы и	2	2
67	меньшей степени	1	2
68	литературы и	1	2
69	установку на	2	2
70	художественном творчестве	3	2
71	нас в	1	2
72	но конечно	2	2
73	с его	4	2
74	для поэзии	1	2
75	но не	5	2
76	дело конечно	1	2
77	в сторону	2	2
78	в его	10	2
79	по крайней	1	2
80	по существу	3	2
81	что и	3	2
82	по себе	11	2
83	конце концов	2	2
84	сих пор	7	2
85	но это	4	2
86	этом смысле	2	2
87	в том	6	2
88	и для	3	2
89	что он	13	2
90	в себе	5	2
91	в самом	7	2
92	между тем	3	2
93	только в	4	2
94	материал как	1	2
95	не в	11	2
96	и является	2	2
97	вопроса о	1	2
98	все они	1	2
99	не есть	2	2
100	наконец он	1	2
101	его и	2	2
102	бы и	2	2
103	их и	1	2
104	не могут	4	2
105	могут быть	3	2
106	в конце	2	2
107	смысле этого	1	2
108	же самое	1	2
109	не случайно	1	2
110	как раз	4	2
111	тем что	3	2
112	что она	1	2
113	таким образом	5	2
114	он прежде	1	1
115	для себя	2	1
116	и это	4	1
117	бы уж	1	1
118	как таковым	1	1
119	об этом	2	1
120	есть конечно	3	1
121	же как	1	1
122	связанных с	1	1
123	не делает	1	1
124	но по	1	1
125	человека и	2	1
126	то есть	4	1
127	в виду	3	1
128	сам по	5	1
129	говорить не	1	1
130	входит в	2	1
131	в ухо	3	1
132	или иначе	1	1
133	своими собственными	1	1
134	для читателя	1	1
135	сюда же	1	1
136	с самим	8	1
137	или меньшей	1	1
138	ухо ивану	1	1
139	в произведении	4	1
140	установка на	4	1
141	степени и	1	1
142	в пределах	16	1
143	и др	2	1
144	литературного жанра	1	1
145	слова у	1	1
146	проблем связанных	1	1
147	что для	1	1
148	никогда не	9	1
149	но прежде	1	1
150	так и	3	1
151	и вы	2	1
152	одной стороны	1	1
153	той же	3	1
154	целого но	1	1
155	достоевского и	2	1
156	отсюда и	1	1
157	до конца	4	1
158	место и	1	1
159	он знает	1	1
160	обращение к	1	1
161	до крайности	1	1
162	дан в	1	1
163	жанра в	1	1
164	именно к	1	1
165	очень легко	1	1
166	в словах	4	1
167	и даже	3	1
168	должно быть	4	1
169	знает только	2	1
170	и слово	1	1
171	остается в	1	1
172	на слово	1	1
173	можно сказать	1	1
174	или менее	3	1
175	воспринимает не	1	1
176	в г	1	1
177	вообще во	1	1
178	о нем	6	1
179	один пример	1	1
180	произведения как	2	1
181	материал и	1	1
182	как на	1	1
183	приводит к	6	1
184	о том	5	1
185	является предметом	2	1
186	и потому	1	1
187	почти не	2	1
188	в котором	6	1
189	в кавычки	3	1
190	и что	5	1
191	она в	1	1
192	заключенных в	1	1
193	он был	3	1
194	все его	2	1
195	в различных	3	1
196	быть в	2	1
197	из которых	1	1
198	в значительной	1	1
199	без труда	1	1
200	где же	1	1
201	слово как	4	1
202	в той	5	1
203	он может	1	1
204	он вводит	2	1
205	этих слов	1	1
206	что же	7	1
207	не то	1	1
208	бы в	5	1
209	переходит в	2	1
210	не входит	2	1
211	того что	2	1
212	друг другу	1	1
213	в которых	2	1
214	какие мы	1	1
215	их в	4	1
216	друг с	4	1
217	форма в	1	1
218	говорит он	1	1
219	оно является	2	1
220	что этот	2	1
221	нет и	1	1
222	и единого	1	1
223	за пределы	3	1
224	на то	5	1
225	него не	2	1
226	еще один	3	1
227	его как	1	1
228	она не	3	1
229	так он	1	1
230	но тут	1	1
231	большей или	1	1
232	в своем	4	1
233	что с	1	1
234	как нам	2	1
235	но для	3	1
236	в большей	1	1
237	себе еще	2	1
238	что ему	1	1
239	и все	6	1
240	что-то и	1	1
241	того как	2	1
242	вне его	2	1
243	пушкина но	1	1
