N	3gram	Vinokur_Ku_1	Problemy
1	с точки зрения	9	13
2	в этом смысле	3	10
3	то же время	2	9
4	в то же	2	9
5	по отношению к	8	8
6	в том что	15	6
7	в зависимости от	5	5
8	на самом деле	2	4
9	том что он	4	4
10	между тем как	1	4
11	не может быть	3	4
12	как раз и	1	3
13	и т п	18	3
14	сами по себе	1	3
15	потому что она	1	3
16	это не значит	1	3
17	все то что	1	3
18	в этом отношении	5	3
19	во всяком случае	5	3
20	само по себе	1	3
21	с другой стороны	6	3
22	но все же	2	2
23	в самом деле	7	2
24	до сих пор	4	2
25	и в то	1	2
26	хотя бы и	2	2
27	т п все	1	2
28	т е в	2	2
29	не только в	1	2
30	что он есть	1	2
31	но с другой	1	2
32	в большинстве случаев	1	2
33	можно было бы	3	2
34	т е не	1	2
35	потому что он	1	1
36	что я называю	1	1
37	он должен быть	1	1
38	здесь действительно не	1	1
39	также что все	1	1
40	а вовсе не	1	1
41	в свою очередь	3	1
42	одно из самых	1	1
43	то что обычно	1	1
44	т е о	2	1
45	в том и	2	1
46	в этом случае	2	1
47	что же касается	4	1
48	в себе и	1	1
49	точно так же	1	1
50	на этот вопрос	1	1
51	имеет смысл лишь	1	1
52	в противном случае	1	1
53	мысли и идеи	1	1
54	по крайней мере	5	1
55	так и в	2	1
56	в прокрустово ложе	1	1
57	для своего времени	1	1
58	так же как	1	1
59	не потому что	3	1
60	между собою в	1	1
61	того что он	1	1
62	в первом случае	1	1
63	в противоречии с	1	1
64	и если не	1	1
65	тех или иных	1	1
66	отсюда следует что	2	1
67	уже само по	1	1
68	притом не только	1	1
69	как свой предмет	1	1
70	не в том	4	1
71	себя самого это	1	1
72	не сделал в	1	1
73	вовсе еще не	1	1
74	и больше всего	1	1
75	именно в том	2	1
76	этой точки зрения	2	1
77	о том что	5	1
78	того или иного	3	1
79	а в том	2	1
80	как будто и	1	1
81	более или менее	3	1
82	таким образом в	1	1
83	т е все	1	1
84	имеем в виду	1	1
85	заключается в том	2	1
86	и не потому	1	1
87	все же остается	1	1
88	та или иная	1	1
89	рядом с этим	1	1
90	к своему предмету	1	1
91	в настоящее время	1	1
92	мы имеем в	1	1
93	и лишает их	1	1
94	его романической композиции	1	1
95	к тому что	2	1
96	было бы сказать	1	1
97	подходит именно к	1	1
98	для того чтобы	15	1
99	что и в	1	1
100	и т д	14	1
