N	3gram	Propp_Isto_6	Problemy
1	до сих пор	4	7
2	по отношению к	2	5
3	и не может	1	4
4	не может быть	3	4
5	друг с другом	1	4
6	как бы в	1	4
7	и т д	8	4
8	более или менее	1	3
9	можно было бы	2	3
10	мы уже говорили	1	3
11	знаю что я	1	3
12	с другой стороны	8	3
13	как и в	2	3
14	как нам кажется	1	2
15	том что он	1	2
16	нам кажется что	1	2
17	друг на друга	1	2
18	на этот вопрос	1	2
19	но при этом	1	2
20	и то же	1	2
21	то время как	3	2
22	одно и то	1	2
23	тем не менее	1	2
24	в то время	3	2
25	но все же	2	2
26	на то что	1	2
27	в этих случаях	1	2
28	о том как	3	1
29	герой выходя из	1	1
30	в этом мире	1	1
31	иначе обстоит дело	1	1
32	мере того как	1	1
33	уже не может	1	1
34	в том числе	1	1
35	по мере того	1	1
36	одной стороны и	1	1
37	же как и	1	1
38	сих пор не	1	1
39	в таком случае	1	1
40	у него в	1	1
41	но и в	2	1
42	т д но	1	1
43	что в нем	2	1
44	том числе и	1	1
45	но и эта	1	1
46	здесь не в	1	1
47	на него в	1	1
48	но кто же	1	1
49	но в таком	1	1
50	т е в	2	1
51	с одной стороны	7	1
52	смысле этого слова	1	1
53	как один из	1	1
54	все больше и	2	1
55	так или иначе	1	1
56	все же не	1	1
57	мы наблюдали раньше	1	1
58	во всяком случае	2	1
59	и в том	1	1
60	о том что	4	1
61	нами до сих	1	1
62	это еще не	2	1
63	между этими двумя	1	1
64	может быть разрешен	1	1
65	тем что здесь	1	1
66	так и в	1	1
67	такой же как	2	1
68	то что не	1	1
69	но и на	1	1
70	этой точки зрения	1	1
71	и что из	1	1
72	можно сказать что	1	1
73	как мы видим	1	1
74	после того как	2	1
75	больше и больше	2	1
76	с полным правом	1	1
77	таким образом и	2	1
78	в воздухе в	1	1
79	в том что	5	1
80	я знаю что	1	1
81	слились в одно	1	1
82	здесь еще нет	2	1
83	не менее в	1	1
