N	2gram	Kanaev_Sov_1	Istorich
1	и в	7	26
2	так как	4	18
3	мы имеем	1	14
4	никогда не	1	13
5	в этом	7	12
6	таким образом	11	12
7	в том	4	12
8	что в	2	12
9	мы видели	4	11
10	может быть	12	11
11	не только	4	10
12	том что	1	10
13	с другой	1	10
14	и не	6	10
15	еще не	3	9
16	представление о	1	9
17	и это	1	8
18	все эти	5	8
19	все же	3	8
20	в нем	3	8
21	с ним	1	8
22	вместе с	4	8
23	но в	3	7
24	мы можем	6	7
25	и его	1	7
26	о том	1	7
27	с одной	2	7
28	уже не	2	7
29	у него	2	7
30	одной стороны	1	7
31	мы уже	1	6
32	мы не	9	6
33	как он	3	6
34	в ином	1	6
35	так в	1	6
36	в виде	2	6
37	этом случае	1	6
38	не может	17	6
39	то же	3	5
40	в ней	1	5
41	за собой	1	5
42	не будет	1	5
43	как и	6	5
44	и что	2	5
45	же мы	2	5
46	в то	1	5
47	очень часто	1	5
48	в его	2	5
49	мы видим	2	5
50	только в	1	5
51	у нас	3	5
52	там где	1	5
53	его в	1	5
54	как мы	2	4
55	с его	1	4
56	но как	1	4
57	из этих	2	4
58	на его	2	4
59	и по	2	4
60	это не	4	4
61	в очень	1	4
62	себе в	1	4
63	до сих	1	4
64	прежде всего	5	4
65	как бы	4	4
66	сих пор	1	4
67	но это	1	4
68	все что	1	4
69	же как	1	3
70	из которых	2	3
71	видели что	3	3
72	независимо от	1	3
73	и наконец	5	3
74	та же	1	3
75	в себе	3	3
76	что она	3	3
77	при этом	3	3
78	если бы	1	3
79	нет в	1	3
80	такой же	2	3
81	таким же	1	3
82	в одном	3	3
83	не в	3	3
84	их в	4	3
85	она не	1	3
86	на котором	2	3
87	например у	1	3
88	к концу	1	3
89	могут быть	2	3
90	его с	1	3
91	данном случае	1	3
92	один из	1	3
93	том как	1	3
94	и действительно	1	3
95	эти три	1	3
96	и только	1	3
97	не было	1	3
98	в данном	1	3
99	и от	1	3
100	кроме того	1	3
101	только одна	6	3
102	или в	1	3
103	вопрос о	4	3
104	а в	4	3
105	еще в	1	3
106	и эта	1	3
