N	3gram	Losev_Vesc_1	FransuaR
1	о том что	4	5
2	в то же	1	5
3	в самом деле	4	4
4	с одной стороны	3	4
5	все то что	1	4
6	в той же	1	4
7	мы уже сказали	1	3
8	в этом отношении	1	3
9	в первом случае	2	3
10	во втором случае	1	3
11	до сих пор	1	3
12	и в особенности	1	2
13	одной стороны и	1	2
14	с точки зрения	3	2
15	в третьем случае	1	2
16	и то что	3	2
17	в данном случае	2	2
18	с другой стороны	2	2
19	во всех языках	1	2
20	нужно сказать что	1	2
21	в том что	4	2
22	и того же	1	1
23	и говорить о	1	1
24	в той или	2	1
25	в основе своей	2	1
26	в этой маленькой	1	1
27	в чем же	3	1
28	есть как бы	3	1
29	дело в том	2	1
30	и когда она	2	1
31	более или менее	1	1
32	и как раз	1	1
33	может так что	1	1
34	свидетельствует о том	3	1
35	о том как	1	1
36	и не только	4	1
37	было бы нелепо	1	1
38	в сущности в	1	1
39	на самом же	1	1
40	а так как	2	1
41	в себе и	1	1
42	из того что	2	1
43	не знали что	1	1
44	адама и евы	1	1
45	по самому своему	1	1
46	и что это	1	1
47	вместе с тем	1	1
48	то в чем	1	1
49	стороны и с	1	1
50	сам по себе	3	1
51	только то что	2	1
52	в нем те	1	1
53	и для всех	1	1
54	как раз в	1	1
55	в конце концов	2	1
56	мы видим что	1	1
57	и как бы	1	1
58	все же не	1	1
59	это значило бы	2	1
60	для того чтобы	2	1
61	не может быть	6	1
62	потому что они	3	1
63	мы видели что	1	1
64	самом деле в	1	1
65	деле в чем	1	1
66	в зависимости от	1	1
67	в то время	1	1
68	заключается в том	1	1
69	точки зрения этого	1	1
70	но и для	1	1
71	не только в	4	1
72	мы будем говорить	1	1
73	можно сказать что	3	1
74	одного и того	1	1
75	и что он	1	1
76	и с другой	2	1
77	самом же деле	1	1
78	что и в	1	1
79	то что не	2	1
80	есть все то	1	1
