N	2gram	Vinokur_St_1	Problemy
1	и в	44	34
2	и не	16	29
3	как бы	4	27
4	что он	10	23
5	в его	9	22
6	в нем	5	19
7	может быть	15	19
8	не может	8	19
9	и все	2	19
10	как и	9	18
11	в этом	21	16
12	но в	10	16
13	и его	8	16
14	все это	5	16
15	он не	2	15
16	и с	3	15
17	что я	1	15
18	прежде всего	7	15
19	то же	5	14
20	к нему	2	14
21	самом деле	11	13
22	для него	6	13
23	и к	1	12
24	в то	9	12
25	же время	4	12
26	потому что	6	12
27	но и	10	12
28	т е	15	12
29	на самом	6	11
30	в сущности	2	11
31	вовсе не	19	11
32	с другим	1	11
33	себя самого	1	11
34	то что	18	11
35	не только	18	10
36	не в	12	9
37	в отношении	9	9
38	а не	16	9
39	и т	30	8
40	с самого	1	8
41	никогда не	5	8
42	в другом	3	8
43	в самом	7	8
44	так же	5	8
45	что же	6	8
46	и для	3	8
47	точки зрения	11	8
48	я не	7	7
49	знает и	2	7
50	на него	2	7
51	как будто	4	7
52	как мы	1	7
53	слова в	1	7
54	и даже	5	7
55	что не	3	7
56	там где	5	7
57	этого слова	2	7
58	все же	8	7
59	отношении к	1	7
60	что в	30	7
61	и на	1	6
62	с его	1	6
63	с собою	1	6
64	отношение к	2	6
65	что они	7	6
66	что у	4	6
67	в плане	1	6
68	от себя	1	6
69	для себя	3	6
70	не хочу	3	6
71	так и	9	6
72	в себе	2	6
73	только в	10	6
74	т п	9	6
75	не знает	2	6
76	которым он	1	6
77	отношению к	3	6
78	на них	1	5
79	в чем	3	5
80	по отношению	3	5
81	и у	2	5
82	что это	4	5
83	в целом	5	5
84	и вот	1	5
85	но все	4	5
86	лишь в	3	5
87	на протяжении	1	5
88	с тем	1	5
89	в слове	5	5
90	в конце	3	5
91	даже в	3	5
92	это слово	4	5
93	таким образом	7	5
94	к тому	1	5
95	и сам	2	5
96	и что	4	5
97	что и	6	5
98	это не	8	5
99	того что	9	5
100	и так	3	5
101	так что	6	5
102	из них	8	5
103	всяком случае	6	5
104	в одном	1	5
105	к своему	1	5
106	и от	1	5
107	ни одного	2	5
108	хотя бы	6	5
109	самому и	1	5
110	а в	17	5
111	во всяком	6	5
112	из его	1	4
113	еще не	3	4
114	бы то	1	4
115	но не	3	4
116	но как	1	4
117	как в	13	4
118	бы и	4	4
119	он в	1	4
120	все эти	5	4
121	но на	2	4
122	при этом	2	4
123	ни был	1	4
124	то ни	1	4
125	что все	2	4
126	его в	2	4
127	этом смысле	1	4
128	ни в	3	4
129	и вы	1	4
130	с точки	8	4
131	но это	6	4
132	меня не	2	4
133	ничего не	2	4
134	как раз	4	4
135	и это	2	4
136	если бы	9	4
137	он говорил	1	4
138	на вопрос	4	4
139	и кажется	1	4
140	в виде	3	4
141	в начале	3	4
142	так как	5	4
143	не о	1	4
144	у него	2	4
145	даже и	2	4
146	с другой	9	4
147	тем что	5	4
148	вместе с	1	4
149	да и	3	4
150	как к	3	4
151	я в	1	4
