1	и в	25	49
2	прежде всего	6	19
3	в его	12	18
4	и его	9	17
5	и на	8	17
6	не только	13	17
7	в этом	10	15
8	и не	11	15
9	но и	13	13
10	только в	7	13
11	во время	7	12
12	как бы	2	11
13	как и	7	11
14	в этой	3	10
15	вовсе не	2	10
16	в xvii	1	10
17	для него	1	9
18	все это	4	9
19	в нем	7	9
20	и др	3	9
21	отношение к	1	8
22	все эти	8	7
23	то же	4	7
24	один из	2	7
25	жизни и	2	7
26	не может	6	7
27	как мы	5	7
28	таким образом	9	7
29	все же	10	7
30	здесь в	1	6
31	точки зрения	2	6
32	в истории	4	6
33	же время	1	6
34	в литературе	1	6
35	то что	7	6
36	во всех	2	6
37	сказать что	2	6
38	мы уже	4	6
39	и с	3	6
40	но он	2	6
41	в себя	3	6
42	в то	3	6
43	так как	11	6
44	с точки	1	5
45	уже говорили	1	5
46	при этом	1	5
47	может быть	17	5
48	и потому	2	5
49	уже в	2	5
50	никогда не	3	5
51	но не	5	5
52	относится к	1	5
53	в своей	2	5
54	тот же	1	5
55	роль в	2	5
56	в особенности	3	5
57	в основном	4	5
58	в своем	1	5
59	в своих	1	4
60	смерти и	1	4
61	этот момент	1	4
62	тем что	10	4
63	с ним	4	4
64	и о	1	4
65	но в	1	4
66	одна из	2	4
67	как на	1	4
68	с другой	9	4
69	том что	8	4
70	до сих	2	4
71	но все	5	4
72	в форме	3	4
73	а в	3	4
74	в себе	1	4
75	и к	1	4
76	в этих	6	4
77	не было	1	4
78	там где	6	4
79	сих пор	2	4
80	и более	1	4
81	в жизни	1	4
82	в свое	2	4
83	наконец в	1	3
84	несмотря на	2	3
85	связанных с	1	3
86	в ее	4	3
87	мире и	1	3
88	же в	2	3
89	к нему	3	3
90	было бы	1	3
91	и вообще	3	3
92	характер смеха	1	3
93	одной стороны	7	3
94	в книге	3	3
95	превращается в	7	3
96	так в	2	3
97	также и	1	3
98	человека и	2	3
99	во всем	2	3
100	место в	1	3
101	их в	3	3
102	другими словами	1	3
103	связан с	2	3
104	но они	1	3
105	на первом	1	3
106	что он	22	3
107	в одном	1	3
108	даже в	2	3
109	с одной	7	3
110	а затем	7	3
111	не был	1	3
112	и это	4	3
113	не дает	1	3
114	в том	6	3
115	и других	2	3
116	но эти	3	3
117	в виду	1	3
118	в самом	1	3
119	и вот	1	3
120	всех этих	1	3
121	и все	3	3
122	в течение	2	3
123	что для	1	3
124	из них	2	3
125	связь с	8	3
126	о том	7	3
127	другой стороны	8	3
128	мы видели	7	3
129	о чем	2	3
130	культуры но	1	2
131	связанные с	2	2
132	под влиянием	2	2
133	проникнуть в	1	2
134	мы можем	2	2
135	связи с	8	2
136	могут быть	6	2
137	в целях	3	2
138	к ней	1	2
139	в тех	1	2
140	все что	1	2
141	целый ряд	1	2
142	мы здесь	4	2
143	как к	1	2
144	человек в	1	2
145	в обряде	5	2
146	были в	1	2
147	он понимает	1	2
148	одного из	1	2
149	в формах	2	2
150	того чтобы	3	2
151	в ту	1	2
152	такого рода	1	2
153	здесь не	1	2
154	во всяком	1	2
155	ключ к	1	2
156	что касается	1	2
157	и другие	1	2
158	та же	1	2
159	на этой	4	2
160	в их	1	2
161	что в	8	2
162	одну из	1	2
163	в конце	1	2
164	в качестве	7	2
165	на то	2	2
166	в большую	1	2
167	в дальнейшем	4	2
168	старого и	1	2
169	ничего не	2	2
170	в пределах	4	2
171	ее в	2	2
172	природой и	1	2
173	тех же	2	2
174	совершенно не	2	2
175	вряд ли	1	2
176	по существу	2	2
177	xix века	1	2
178	в него	5	2
179	дает нам	1	2
180	в ней	5	2
181	без всякого	1	2
182	существования и	1	2
183	себе и	1	2
