N	2gram	Bakhtin_Fr_2	Literetu
1	и не	15	22
2	в мире	2	16
3	и в	49	16
4	при этом	5	15
5	в этом	15	14
6	не только	17	14
7	но и	13	14
8	в том	3	12
9	может быть	5	12
10	а не	1	12
11	то что	6	12
12	в частности	1	11
13	своего рода	1	10
14	не в	1	10
15	такого рода	2	10
16	то же	7	9
17	так и	6	9
18	в то	6	9
19	того что	1	9
20	в этой	10	8
21	в жизни	4	8
22	том что	4	8
23	не может	7	8
24	к себе	1	8
25	как бы	11	8
26	в своей	5	7
27	же время	6	7
28	только в	13	7
29	в противовес	1	7
30	точки зрения	6	7
31	еще не	2	6
32	с его	5	6
33	в себе	4	6
34	в другом	2	6
35	по мысли	1	6
36	о том	3	6
37	и его	17	6
38	в его	18	6
39	и т.п	11	6
40	с другой	4	6
41	к тому	1	6
42	в стихах	1	6
43	в году	13	5
44	как в	1	5
45	в целом	1	5
46	то есть	32	5
47	лишь в	4	5
48	это не	1	5
49	как и	11	5
50	этом отношении	3	5
51	в ее	3	5
52	что он	3	5
53	в качестве	2	5
54	именно в	6	5
55	вместе с	2	5
56	а в	4	5
57	перед лицом	2	4
58	одним из	2	4
59	но не	5	4
60	по отношению	1	4
61	пути в	1	4
62	хотя и	2	4
63	входит в	1	4
64	место в	3	4
65	даже в	3	4
66	никогда не	5	4
67	с одной	3	4
68	в начале	5	4
69	из них	3	4
70	одно из	1	4
71	в одном	3	4
72	до конца	2	4
73	одной стороны	3	4
74	по существу	2	4
75	и для	1	4
76	жизни в	3	4
77	отношению к	1	4
78	отношения к	4	3
79	например в	1	3
80	не становится	1	3
81	самом деле	1	3
82	для которого	3	3
83	той же	1	3
84	с ее	3	3
85	однако не	1	3
86	и как	1	3
87	и наконец	1	3
88	и к	4	3
89	но в	4	3
90	на его	2	3
91	а затем	3	3
92	в г	3	3
93	с точки	5	3
94	потому что	1	3
95	в области	4	3
96	еще в	2	3
97	прежде всего	19	3
98	совершенно не	2	3
99	в единстве	1	3
100	в самом	3	3
101	наконец в	3	3
102	более того	1	3
103	о чем	3	3
104	тому как	2	3
105	там где	4	3
106	жизнью в	1	3
107	это как	1	3
108	в романе	9	3
109	на смену	1	3
110	жизни и	7	3
111	как на	4	3
112	того же	1	2
113	для своего	1	2
114	как мы	7	2
115	не вполне	1	2
116	я не	1	2
117	мы и	1	2
118	и на	17	2
119	время в	1	2
120	во всех	6	2
121	а и	1	2
122	отношение к	8	2
123	и вовсе	2	2
124	стороны и	1	2
125	все же	7	2
126	всей художественной	1	2
127	в противоположность	2	2
128	еще на	1	2
129	он в	1	2
130	раз в	3	2
131	на то	2	2
132	вследствие этого	2	2
133	все они	1	2
134	в нем	9	2
135	и вот	3	2
136	том чтобы	1	2
137	подобно тому	2	2
138	художественное творчество	1	2
139	доверие к	1	2
140	в совершенно	1	2
141	и с	6	2
142	а по	1	2
143	его в	1	2
144	знает что	1	2
145	было бы	3	2
146	и даже	2	2
147	она и	1	2
148	далеко не	3	2
149	не всегда	1	2
150	он и	1	2
151	несмотря на	3	2
152	еще раз	2	2
153	со всей	1	2
154	художественного творчества	1	2
155	и ее	1	2
156	вплоть до	2	2
157	в конце	2	2
158	автора и	2	2
159	не менее	1	2
160	как о	1	2
161	свободы и	1	2
162	того чтобы	2	2
163	текста и	1	2
164	как раз	1	2
165	другой стороны	3	2
166	вот в	2	2
167	с образом	1	2
168	для себя	1	2
169	то она	1	2
170	первой половине	1	2
171	и сам	1	2
172	во второй	1	2
173	если бы	1	2
174	и перед	3	2
175	о нем	1	2
176	на страницах	2	2
177	одного из	2	2
178	можно сказать	2	2
179	что и	1	2
180	во всей	1	2
181	в ту	2	2
182	в лице	1	2
183	как например	1	2
184	и одновременно	1	2
185	здесь не	2	2
186	с ними	1	2
187	со всеми	2	2
188	связи с	2	2
189	за ним	1	2
190	ни с	1	2
191	для него	9	2
192	тем что	4	2
193	для того	1	2
194	себя и	1	2
195	что не	1	2
196	с ней	1	2
197	если не	1	2
198	все более	1	2
199	так же	2	2
200	и потому	5	2
201	xix века	2	2
202	быть только	1	2
203	если это	1	2
204	человек с	1	2
205	с этой	1	2
206	своей жизни	1	2
207	один из	7	2
208	своим путем	1	2
209	под знаком	1	2
210	сознания и	2	2
211	что в	2	2
212	же в	3	2
213	в свою	1	2
214	оно не	1	2
215	эти слова	1	2
216	еще и	1	2
217	ее в	2	2
218	в своих	4	2
219	героя как	1	2
220	к этому	1	2
221	его особых	1	1
222	как известно	2	1
223	к произведениям	1	1
224	такова была	2	1
225	с кем	1	1
226	и то	1	1
227	на самом	2	1
228	тех же	2	1
229	это и	2	1
230	и есть	1	1
231	с целым	1	1
232	по преимуществу	2	1
233	и до	4	1
234	прошлое и	1	1
235	оно было	1	1
236	в какой-то	2	1
237	с таким	1	1
238	и за	2	1
239	мы уже	6	1
240	своего существования	1	1
241	в особой	1	1
242	тому кто	1	1
243	это означает	1	1
244	в деле	1	1
245	как я	1	1
246	и со	3	1
247	но напротив	1	1
248	и он	1	1
249	в ней	2	1
250	проявляется в	1	1
251	начало и	1	1
252	в xix	3	1
253	он был	2	1
254	ответа на	1	1
255	в чем	1	1
256	в создании	1	1
257	он пишет	3	1
258	за пределы	2	1
259	в истории	6	1
260	в центре	1	1
261	независимо от	1	1
262	в художественном	2	1
263	в своем	5	1
264	что касается	2	1
265	перед нами	1	1
266	что по	1	1
267	для второй	1	1
268	жизни так	1	1
269	романа это	1	1
270	в нашем	2	1
271	бы не	1	1
272	отметим также	1	1
273	что к	1	1
274	уже в	5	1
275	так сказать	1	1
276	что эти	1	1
277	века к	1	1
278	по словам	2	1
279	совершенно чужд	1	1
280	заявляет что	1	1
281	он не	1	1
282	врача и	1	1
283	ключ к	2	1
284	и еще	2	1
285	в силу	1	1
286	в корне	1	1
287	о рабле	7	1
288	содержит в	2	1
289	века это	1	1
290	сохраняют свою	1	1
291	людей и	1	1
292	здесь мы	1	1
293	значение в	4	1
294	момент и	1	1
