N	2gram	Voloshinov_1	Analitik
1	литературного произведения	1	41
2	может быть	1	29
3	не может	4	22
4	и не	1	21
5	и в	3	18
6	но и	1	17
7	а не	1	17
8	не только	1	15
9	в его	1	13
10	художественного целого	1	10
11	то же	1	9
12	в то	1	9
13	к тому	1	7
14	точки зрения	1	6
15	же время	1	6
16	художественного произведения	1	5
17	и на	1	5
18	с другими	1	4
19	с точки	1	4
20	исходя из	1	4
21	подхода к	1	3
22	если в	2	3
23	смысл и	1	3
24	если бы	1	3
25	и все	1	3
26	о литературе	1	3
27	нет и	1	2
28	из этих	1	2
29	несмотря на	1	2
30	для него	1	2
31	на примере	1	2
32	один из	2	2
33	тех же	1	1
34	и больше	1	1
35	часть книги	1	1
36	язык как	1	1
37	событий и	1	1
38	в ней	1	1
39	всех участников	1	1
40	он в	1	1
41	его от	1	1
42	себе все	1	1
43	тому что	1	1
44	не менее	1	1
45	первая часть	1	1
46	значительное количество	1	1
47	язык художественного	1	1
48	при анализе	1	1
49	можно и	1	1
50	в лингвистике	1	1
51	и должно	1	1
52	может не	1	1
53	поставить в	1	1
54	связи с	1	1
55	языка как	1	1
56	второй части	1	1
57	в особенности	1	1
58	может и	1	1
59	художественного и	1	1
