N	3gram	Voloshinov_1	EvropaiE
1	с точки зрения	10	16
2	в то же	5	15
3	то же время	5	14
4	с одной стороны	1	8
5	в том что	4	6
6	для того чтобы	1	5
7	бы то ни	1	4
8	хотя бы и	2	3
9	в этом отношении	2	3
10	во всяком случае	3	3
11	и прежде всего	5	3
12	можно сказать что	3	3
13	или хотя бы	1	2
14	нам кажется что	1	2
15	и со стороны	1	2
16	из того что	1	2
17	к тому чтобы	3	2
18	в данном случае	3	2
19	но в то	3	2
20	по сравнению с	1	2
21	и только в	1	2
22	так и в	2	2
23	не может быть	3	2
24	и притом в	1	2
25	в свою очередь	1	2
26	прежде всего к	3	2
27	мы можем сказать	2	2
28	во второй половине	1	2
29	в большинстве случаев	4	2
30	но не только	1	2
31	как мы видели	4	2
32	и связанное с	1	1
33	хотя и не	1	1
34	связанное с ним	1	1
35	дело в том	1	1
36	основании того что	1	1
37	через некоторое время	1	1
38	что же касается	1	1
39	в нем и	1	1
40	в одной из	1	1
41	и во многих	1	1
42	в эту эпоху	1	1
43	того что мы	1	1
44	в отличие от	1	1
45	но и в	1	1
46	в своей совокупности	1	1
47	что мы знаем	1	1
48	его любви к	1	1
49	мы увидим что	4	1
50	в этот период	3	1
51	на этот вопрос	1	1
52	то или иное	2	1
53	переводе на язык	1	1
54	может быть и	1	1
55	то что может	1	1
56	и тот же	2	1
57	а также и	1	1
58	и в отношении	1	1
59	не могут быть	3	1
60	во всех этих	1	1
61	так и с	1	1
62	в западной европе	1	1
63	мысль о возможности	1	1
64	на всем своем	1	1
65	богатство и разнообразие	1	1
66	европы и в	1	1
67	мы видели что	1	1
68	один и тот	2	1
69	в переводе на	1	1
70	римской империи в	1	1
71	так и со	1	1
72	мы не можем	1	1
73	в то время	1	1
74	чтобы войти в	1	1
75	с еще большей	1	1
76	можем сказать что	2	1
77	выходит за пределы	1	1
78	на основании того	1	1
79	в этом периоде	1	1
80	так и по	1	1
81	во многих отношениях	1	1
82	всем своем протяжении	1	1
83	не может в	1	1
84	главным образом из	1	1
85	так обстояло дело	1	1
86	и т д	1	1
87	в основных чертах	1	1
88	те же законы	1	1
