N	2gram	Potebnia_M_2	Analitik
1	тогда как	10	19
2	в этом	8	18
3	не только	15	16
4	и в	24	16
5	так и	5	15
6	как и	7	14
7	но и	9	12
8	и не	19	12
9	том что	8	12
10	в том	18	12
11	при этом	13	10
12	могут быть	8	10
13	а не	18	10
14	как бы	9	10
15	лишь в	1	9
16	ничего не	1	9
17	то есть	30	9
18	в целом	3	8
19	состоит в	2	8
20	к тому	1	7
21	о том	5	7
22	в себе	10	7
23	то что	20	7
24	в самом	4	6
25	и на	8	6
26	но в	4	6
27	может быть	23	6
28	с другой	6	6
29	как это	2	6
30	в сторону	1	5
31	с одной	4	5
32	того же	14	4
33	между двумя	6	4
34	столь же	5	4
35	но не	12	4
36	по отношению	2	4
37	за пределы	2	4
38	как в	10	4
39	хотя и	3	4
40	в себя	2	4
41	он в	1	4
42	тому же	1	4
43	внутренней речи	1	4
44	на этом	2	4
45	то же	12	4
46	не с	3	4
47	и тем	3	4
48	тем самым	4	4
49	для него	10	4
50	в ходе	1	4
51	не в	13	4
52	только не	1	4
53	имеет место	2	4
54	не менее	5	4
55	во второй	1	4
56	можно сказать	1	4
57	времени в	1	4
58	во всех	7	4
59	только в	11	4
60	и его	2	4
61	уже не	4	4
62	в сознании	23	4
63	не так	3	4
64	у него	2	4
65	одной стороны	3	4
66	не может	12	4
67	этом случае	1	4
68	все это	2	4
69	я и	1	3
70	и то	3	3
71	на две	2	3
72	в их	1	3
73	ответ на	1	3
74	что касается	1	3
75	в нашем	2	3
76	и если	4	3
77	и сам	1	3
78	его от	1	3
79	подобно тому	4	3
80	в эту	3	3
81	место в	4	3
82	не столько	2	3
83	тем не	6	3
84	по крайней	5	3
85	на себе	1	3
86	никогда не	4	3
87	тем что	7	3
88	что на	3	3
89	как мы	1	3
90	если бы	11	3
91	в словах	3	3
92	одного из	1	3
93	что и	11	3
94	крайней мере	5	3
95	и все	3	3
96	с ними	3	3
97	так что	10	3
98	есть в	2	3
99	из них	5	3
100	только на	1	3
101	со стороны	3	3
102	именно в	1	3
103	было бы	13	3
104	и за	1	3
105	тому как	4	3
106	в первой	1	3
107	этого слова	6	3
108	или в	2	3
109	бы в	2	3
110	прежде всего	7	3
111	а в	8	3
112	в действительности	2	3
113	по поводу	6	3
114	отношения к	2	2
115	таком случае	2	2
116	он произносит	1	2
117	и до	1	2
118	той же	3	2
119	а как	1	2
120	во времени	2	2
121	из своих	1	2
122	еще не	4	2
123	не понимаю	1	2
124	в общем	2	2
125	отличие от	1	2
126	знаю что	1	2
127	себе не	4	2
128	в противоположность	1	2
129	с их	1	2
130	на то	5	2
131	не следует	1	2
132	он не	1	2
133	от которого	1	2
134	переходит от	1	2
135	что она	3	2
136	таким образом	11	2
137	значительной степени	1	2
138	что все	2	2
139	же не	1	2
140	них не	3	2
141	это было	2	2
142	за собою	2	2
143	этом смысле	2	2
144	по себе	15	2
145	жизни но	1	2
146	в этих	3	2
147	или точнее	1	2
148	в котором	4	2
149	с точки	1	2
150	в отличие	1	2
151	стало быть	4	2
152	но эта	1	2
153	теми же	1	2
154	и наоборот	5	2
155	в устах	1	2
156	для нее	2	2
157	как смерть	1	2
158	в таких	1	2
159	что с	2	2
160	в то	6	2
161	не имеет	6	2
162	на котором	1	2
163	на него	3	2
164	появляется в	1	2
165	же время	2	2
166	так например	3	2
167	в нас	3	2
168	языка и	3	2
169	те же	3	2
170	на которую	1	2
171	раз не	1	2
172	это только	1	2
173	другого и	1	2
174	с ним	5	2
175	что в	16	2
176	никак не	1	2
177	другому в	1	2
178	его в	3	2
179	и во	3	2
180	собственно говоря	1	2
181	между тем	6	2
182	в его	2	2
183	вообще и	2	2
184	не знаю	1	2
185	того что	7	2
186	один из	2	2
187	для всех	1	2
188	не есть	6	2
189	а то	2	2
190	ни с	2	2
191	одно из	3	2
192	и их	5	2
193	в одном	6	2
194	вовсе не	9	2
195	не о	1	2
196	уже и	1	2
197	вслед за	3	2
198	отношения в	1	2
199	превращается в	2	2
200	его как	1	2
201	была бы	1	2
202	и слово	1	2
203	вместе с	11	2
204	так же	2	2
205	при переходе	1	2
206	к своему	1	2
207	в состоянии	6	2
208	и для	3	2
209	при таком	1	2
210	тот кто	1	2
211	внимание на	2	2
212	от своего	1	2
213	сказать что	2	2
214	другой стороны	2	2
215	речи и	1	2
216	об этих	1	2
217	все что	3	2
218	к этому	2	2
219	на лице	1	2
220	в таком	4	2
221	а между	4	1
222	по законам	1	1
223	ко всем	2	1
224	слова которые	1	1
225	и т	6	1
226	зависимость от	1	1
227	самом деле	2	1
228	значении этого	1	1
229	переход от	1	1
230	а непосредственно	1	1
231	к другому	4	1
232	отношения между	2	1
233	многих но	1	1
234	мы уже	1	1
235	полагает что	3	1
236	есть не	5	1
237	со всех	1	1
238	на место	1	1
239	до такой	1	1
240	ассоциируется с	1	1
241	из того	1	1
242	они были	1	1
243	но даже	3	1
244	всех сторон	1	1
245	то его	1	1
246	и самого	1	1
247	и сами	4	1
248	самостоятельного значения	1	1
249	цвет и	1	1
250	быть в	1	1
251	в чем	7	1
252	тем как	2	1
253	совсем не	2	1
254	тех же	1	1
255	не все	2	1
