N	3gram	Medvedev_U_1	DiskursI
1	в данном случае	1	6
2	в том что	2	6
3	то же время	3	5
4	в этом отношении	2	4
5	в то же	3	4
6	с одной стороны	1	4
7	не может быть	4	3
8	в этом случае	1	2
9	в первую очередь	1	2
10	и то что	2	2
11	на первый взгляд	1	2
12	жанра но и	1	2
13	и прежде всего	1	2
14	на большую значимость	1	2
15	но прежде всего	1	1
16	другой стороны в	1	1
17	в самом деле	2	1
18	с другой стороны	3	1
19	и в то	1	1
20	бы то ни	3	1
21	на каждом шагу	2	1
22	или по крайней	1	1
23	но это не	1	1
24	художественного произведения как	1	1
25	и в частности	2	1
26	то ни было	3	1
27	не могут быть	2	1
28	не в том	1	1
29	претендует на роль	1	1
30	все же остается	1	1
31	в качестве героя	1	1
32	равно как и	1	1
33	в конечном счете	4	1
34	тем что он	1	1
35	можно сказать что	1	1
36	по крайней мере	2	1
