N	2gram	Vygotskiy__2	EvropaiC
1	таким образом	14	32
2	в том	33	31
3	и в	15	24
4	том что	27	20
5	все эти	3	19
6	не может	9	18
7	то что	20	17
8	может быть	9	15
9	все же	4	15
10	точки зрения	26	13
11	самом деле	6	12
12	в своем	9	12
13	до сих	1	12
14	в этом	19	12
15	сих пор	1	12
16	с этим	3	11
17	между тем	1	11
18	все это	4	11
19	во всех	2	10
20	по отношению	6	10
21	так и	8	10
22	из себя	1	10
23	мы знаем	7	10
24	как бы	7	10
25	отношению к	5	10
26	все что	5	10
27	того же	3	9
28	на то	6	9
29	при этом	3	9
30	как и	6	9
31	с другом	2	9
32	друг с	2	9
33	в результате	3	9
34	что в	14	9
35	а и	1	8
36	в самом	11	8
37	с точки	18	8
38	мы говорили	1	8
39	не в	8	8
40	если бы	8	8
41	так же	4	8
42	и все	3	8
43	на самом	3	7
44	из этих	4	7
45	из элементов	1	7
46	в силу	2	7
47	о которых	3	7
48	или менее	2	7
49	по существу	5	7
50	того чтобы	12	7
51	по своей	6	7
52	к тому	7	7
53	для этого	3	7
54	о том	9	7
55	и что	8	7
56	что он	12	7
57	для того	10	7
58	но и	10	7
59	и не	7	7
60	более или	2	7
61	о котором	1	7
62	из этого	1	7
63	и на	1	6
64	в общем	3	6
65	в этой	6	6
66	в сознании	1	6
67	несмотря на	4	6
68	и при	1	6
69	от друга	2	6
70	с ним	3	6
71	что и	2	6
72	народов и	1	6
73	того что	17	6
74	говорили выше	2	6
75	только в	4	6
76	так что	1	6
77	так как	4	6
78	мы можем	10	6
79	друг от	2	6
80	с другой	6	6
81	вместе с	6	6
82	отличается от	1	6
83	у них	2	6
84	как на	1	6
85	из всех	2	5
86	столь же	2	5
87	и к	6	5
88	но в	6	5
89	в которой	4	5
90	ступени развития	1	5
91	что это	6	5
92	в целом	10	5
93	в себе	2	5
94	тому же	1	5
95	не только	15	5
96	и если	1	5
97	но все	2	5
98	что все	4	5
99	и с	4	5
100	на все	2	5
101	лишь в	3	5
102	его в	1	5
103	что с	5	5
104	что при	3	5
105	по сравнению	5	5
106	в пользу	4	5
107	в его	2	5
