N	2gram	Tiupa_Lite_3	Poddanst
1	не только	14	17
2	и в	16	14
3	и не	22	12
4	в области	3	11
5	в этом	14	10
6	в отношении	1	10
7	в качестве	5	9
8	но в	3	9
9	то же	9	9
10	в том	12	9
11	хотя бы	1	8
12	только в	7	7
13	в то	9	7
14	же время	7	7
15	в ней	1	6
16	xix века	2	6
17	было бы	2	6
18	но и	14	6
19	быть может	2	6
20	отношении к	1	5
21	с другой	6	5
22	может быть	12	5
23	а я	3	5
24	не в	10	5
25	и о	1	5
26	о в	1	5
27	если бы	2	4
28	тех кто	1	4
29	а также	4	4
30	в своем	1	4
31	и к	3	4
32	как бы	8	4
33	и если	4	4
34	том что	8	4
35	не может	8	4
36	и потому	2	4
37	в котором	1	4
38	по себе	2	4
39	на пути	1	4
40	в русской	1	4
41	что в	2	4
42	же в	2	4
43	а в	5	4
44	то что	12	4
45	и т	1	3
46	столь же	1	3
47	между тем	3	3
48	это не	5	3
49	вслед за	3	3
50	хотя и	4	3
51	и как	3	3
52	с ними	2	3
53	с одной	4	3
54	в себе	6	3
55	в нем	2	3
56	в россии	1	3
57	для того	2	3
58	прежде всего	3	3
59	одной стороны	4	3
60	с тем	1	3
61	с точки	3	3
62	но не	4	3
63	тем самым	7	3
64	потому что	3	3
65	точки зрения	7	3
66	я и	10	3
67	отношения к	3	2
68	например в	3	2
69	в ее	5	2
70	и есть	1	2
71	в мире	16	2
72	было в	1	2
73	есть не	1	2
74	в сочетании	1	2
75	одних и	1	2
76	к началу	1	2
77	в xix	1	2
78	время в	2	2
79	в значительной	1	2
80	во всех	2	2
81	говорить о	1	2
82	если в	1	2
83	в общем	1	2
84	во всей	2	2
85	со стороны	7	2
86	в е	8	2
87	отнюдь не	3	2
88	с этим	1	2
89	и дети	1	2
90	пути в	4	2
91	того что	9	2
92	стороны и	2	2
93	и и	1	2
94	есть в	1	2
95	в начале	4	2
96	и других	1	2
97	в его	6	2
98	из них	4	2
99	не к	1	2
100	в силу	1	2
101	и вот	2	2
102	как раз	2	2
103	где в	1	2
104	и с	2	2
105	именно в	5	2
106	мира с	1	2
107	и тем	3	2
108	в жизни	8	2
109	xix веке	1	2
110	в них	1	2
111	не было	1	2
112	а не	12	2
113	в ряду	1	2
114	должно быть	4	2
115	хх века	11	2
116	нужно было	1	2
117	не столько	1	2
118	друг другу	1	2
119	культуры в	1	2
120	не менее	2	2
121	все это	1	2
122	еще более	1	2
123	для нас	1	2
124	может и	1	2
125	в частности	11	2
126	как на	3	2
127	том числе	3	2
128	от этой	1	1
129	и то	1	1
130	явленной и	1	1
131	как известно	1	1
132	во времена	1	1
133	в иных	3	1
134	по преимуществу	1	1
135	к жизни	2	1
136	культуры на	1	1
137	первой половине	2	1
138	на нее	1	1
139	на заре	1	1
140	поэзии и	2	1
141	не с	2	1
142	века как	1	1
143	в борьбе	1	1
144	еще в	3	1
145	для самой	1	1
146	для этого	1	1
147	тем чем	1	1
148	не вполне	2	1
149	на себя	2	1
150	с ее	3	1
151	и ее	2	1
152	слова о	1	1
153	мы и	2	1
154	не означает	2	1
155	еще не	6	1
156	и на	2	1
157	он был	1	1
158	мира а	2	1
159	с того	1	1
160	и который	1	1
161	ответа на	1	1
162	не властно	1	1
163	с его	6	1
164	восходит к	1	1
165	что и	2	1
166	отличие от	5	1
167	не просто	1	1
168	основная задача	1	1
169	них в	1	1
170	интеллигенции и	1	1
171	также в	1	1
172	в истории	1	1
173	которой в	1	1
174	в преодолении	1	1
175	в рамках	4	1
176	историческим опытом	1	1
177	и мир	1	1
178	тех пор	1	1
179	все же	2	1
180	владимира соловьева	4	1
181	и где	1	1
182	перед каждым	1	1
183	более или	1	1
184	может оказаться	1	1
185	духа в	1	1
186	в самом	3	1
187	бы и	3	1
188	могли бы	2	1
189	представляет собой	2	1
190	у каждого	1	1
