N	2gram	Medvedev_U_1	VeschiIm
1	не есть	2	49
2	не может	7	33
3	не только	10	31
4	может быть	6	29
5	и не	8	28
6	и в	14	26
7	то что	7	24
8	это значит	1	22
9	а не	10	20
10	только в	2	14
11	что она	2	14
12	по себе	2	13
13	и что	1	13
14	того что	1	13
15	все же	3	12
16	но и	4	12
17	сказать что	1	12
18	и то	3	12
19	было бы	3	12
20	таким образом	2	11
21	что же	1	11
22	не значит	1	10
23	то же	5	10
24	что такое	4	10
25	уже не	1	10
26	в ней	1	10
27	что мы	2	10
28	и с	2	9
29	бы то	3	9
30	прежде всего	8	9
31	в том	2	9
32	то ни	3	9
33	ни было	3	9
34	в самом	2	9
35	в себе	2	8
36	на то	1	8
37	ничего не	2	8
38	и это	1	8
39	но это	2	8
40	в этом	7	7
41	как раз	2	7
42	в то	3	7
43	вещи это	1	7
44	том что	2	7
45	крайней мере	2	6
46	по крайней	2	6
47	бы и	2	6
48	и только	5	6
49	что в	1	6
50	для него	3	6
51	но если	1	6
52	есть ли	1	6
53	относится к	1	6
54	должно быть	1	6
55	она не	1	6
56	но что	1	6
57	но в	3	6
58	для этого	3	5
59	и для	2	5
60	для себя	1	5
61	должна быть	2	5
62	отнюдь не	1	5
63	не в	2	5
64	с тем	1	5
65	но не	2	5
66	это не	3	5
67	что для	1	5
68	ни от	2	5
69	тут мы	1	5
70	у нас	3	5
71	если бы	2	5
72	тем что	2	4
73	в отдельности	1	4
74	же время	3	4
75	его на	1	4
76	о том	1	4
77	как и	3	4
78	даже не	1	4
79	как таковая	1	4
80	независимо от	1	4
81	мы не	2	4
82	то и	1	4
83	в их	4	4
84	же не	2	4
85	быть не	1	4
86	нет и	1	4
87	и даже	1	4
88	смысле и	1	4
89	в своем	1	4
90	так то	1	4
91	и потому	1	4
92	не существует	1	4
93	о сущности	1	4
94	что и	2	4
95	с другой	4	4
96	и все	1	4
97	явлением и	1	4
98	в данном	1	4
99	бы в	1	3
100	можно сказать	1	3
101	а это	1	3
102	так и	1	3
103	с самим	1	3
104	в нем	1	3
105	хотя бы	5	3
106	в своей	3	3
107	без этого	1	3
108	ее как	1	3
109	в той	1	3
110	тогда когда	1	3
111	тот же	1	3
112	не то	1	3
113	никогда не	1	3
114	перестает быть	5	3
115	вопроса о	2	3
116	мы имеем	1	3
117	сам по	1	3
118	но даже	2	3
119	она должна	1	3
120	понятие не	1	3
121	даже и	2	3
122	и как-то	1	3
123	само по	1	3
124	их в	1	3
125	тем более	1	3
126	все это	5	3
127	самом деле	2	3
128	в понятии	1	3
129	или менее	1	3
130	что он	2	3
131	более или	1	3
132	приводит к	1	2
133	данном случае	1	2
134	исходить из	1	2
135	это для	1	2
136	то есть	1	2
137	бы ни	1	2
138	об этом	1	2
139	если не	2	2
140	что только	1	2
141	его и	2	2
142	и этого	1	2
143	превращается в	2	2
144	о которой	1	2
145	состоит из	1	2
146	тех или	2	2
147	так или	1	2
148	в качестве	1	2
149	в сфере	1	2
150	не все	2	2
151	отдельности и	1	2
152	о чем	2	2
153	той же	1	2
154	и необходимо	1	2
155	это было	2	2
156	часто бывает	1	2
157	и существенным	1	2
158	есть конечно	1	2
159	но именно	1	2
160	только к	3	2
161	мы можем	1	2
162	обе эти	1	2
163	он не	1	2
164	не случайно	2	2
165	степени и	1	2
166	признать что	1	2
167	в частности	3	2
168	это уже	2	2
169	что ему	1	2
170	в виду	1	2
171	или иначе	1	2
172	человека и	1	2
173	является в	2	2
174	от слова	1	1
175	как самостоятельной	1	1
176	в которой	1	1
177	без труда	1	1
178	сводится к	2	1
179	для всех	2	1
180	форму и	2	1
181	стороны в	1	1
182	конце концов	2	1
183	чем то	1	1
184	именно к	1	1
185	только как	1	1
186	о котором	1	1
187	бы это	1	1
188	одной стороны	1	1
189	было и	1	1
190	области в	1	1
191	само же	1	1
192	как таковое	1	1
193	не предмет	1	1
194	и является	2	1
195	уж тем	1	1
196	в поэтическом	1	1
197	осталось бы	1	1
198	не было	1	1
199	искусства и	1	1
200	только при	1	1
201	отказаться от	1	1
202	принципов и	1	1
203	в виде	1	1
204	сих пор	2	1
205	строго говоря	1	1
206	этом смысле	2	1
207	все детали	1	1
208	и так	1	1
209	или иных	2	1
210	но нам	1	1
211	и отвратительное	1	1
212	в конце	2	1
213	до сих	2	1
214	в некоторых	2	1
215	они относятся	1	1
216	которое мы	1	1
217	друг с	1	1
218	вообще в	1	1
219	вот почему	7	1
220	и вне	1	1
221	оно все	1	1
222	религии и	1	1
223	время на	1	1
224	или по	1	1
225	как принцип	2	1
226	но для	1	1
227	существует в	1	1
228	смысле этого	2	1
229	его как	1	1
230	к этому	1	1
231	с другом	1	1
232	принцип единства	1	1
233	и формы	3	1
234	на одно	1	1
235	в таком	1	1
236	этом случае	1	1
237	отлична от	1	1
238	и прежде	1	1
239	такое понимание	1	1
240	для научного	1	1
241	будет не	1	1
242	они в	1	1
243	самое наличие	1	1
244	мы получаем	2	1
245	она все	1	1
246	что было	1	1
247	находятся в	1	1
248	что никакого	1	1
249	конечно нет	2	1
250	но тут	1	1
251	конечно не	4	1
252	перестают быть	1	1
253	очевидно что	3	1
254	как нам	1	1
255	не о	3	1
256	к проблеме	1	1
257	из самых	1	1
258	в пределах	1	1
259	больше чем	1	1
260	на первый	2	1
261	другой стороны	3	1
262	в котором	1	1
263	в этой	4	1
264	не самые	1	1
265	у него	1	1
266	таком понимании	1	1
267	же как	1	1
268	могут быть	2	1
269	из которых	1	1
270	же ведь	1	1
271	что угодно	1	1
272	с одной	1	1
273	и делает	1	1
274	а его	2	1
275	не могут	2	1
276	всего понятие	1	1
277	принцип есть	1	1
278	далеко не	1	1
279	не как	3	1
280	с его	2	1
281	нас в	2	1
282	но конечно	2	1
283	первый план	1	1
284	от смысла	1	1
285	о принципах	1	1
286	как отвлеченный	1	1
287	но по	1	1
288	ее к	1	1
289	по существу	2	1
290	и у	2	1
291	если у	1	1
292	в порядке	1	1
293	в наиболее	1	1
294	он и	1	1
295	конечно это	1	1
296	он становится	1	1
297	что с	1	1
298	метод и	1	1
299	со своими	1	1
300	о нем	1	1
301	об искусстве	1	1
302	еще один	1	1
303	и эта	1	1
304	именно этот	1	1
305	но также	1	1
