N	3gram	Potebnia_M_4	Sotsiolo
1	только в этом	1	2
2	в том что	7	2
3	дело не в	1	2
4	не в том	2	2
5	по отношению к	8	2
6	сказать и о	1	1
7	в настоящее время	1	1
8	в сущности есть	1	1
9	конечно не в	1	1
10	в том и	2	1
11	а между тем	4	1
12	и в этом	4	1
13	по крайней мере	5	1
14	то что в	2	1
15	то же самое	4	1
16	о том как	1	1
17	именно в том	1	1
18	все это происходит	1	1
19	не было бы	1	1
20	друг от друга	1	1
21	что он говорит	1	1
22	в то же	3	1
23	что все это	1	1
24	а тем более	1	1
25	и стало быть	1	1
26	в связи с	1	1
27	как бы он	1	1
28	а в том	2	1
29	то же время	3	1
30	главным образом в	1	1
31	бы они ни	1	1
32	с одной стороны	1	1
33	бы он ни	1	1
34	во всяком случае	3	1
