N	3gram	Tiupa_Anal_2	Tvorches
1	то же время	2	7
2	в то же	2	7
3	в творческом процессе	1	4
4	в соответствии с	2	4
5	по отношению к	4	3
6	не может быть	1	3
7	в самом деле	1	2
8	в таком случае	2	2
9	в отличие от	2	2
10	на этот вопрос	1	2
11	по крайней мере	3	2
12	на наш взгляд	1	2
13	едва ли не	2	2
14	с другой стороны	2	2
15	о том что	6	2
16	в том что	6	2
17	особое место в	1	1
18	и сам автор	1	1
19	в эту жизнь	2	1
20	как уже говорилось	2	1
21	ничего не говорит	1	1
22	главного героя романа	1	1
23	в этой борьбе	1	1
24	сами по себе	1	1
25	в первую очередь	1	1
26	несмотря на его	1	1
27	можно было бы	2	1
28	этого персонажа и	1	1
29	точно так же	1	1
30	со всех сторон	1	1
31	автором и читателем	1	1
32	в том смысле	1	1
33	в этой связи	1	1
34	в применении к	1	1
35	мы видим как	1	1
36	только то что	1	1
37	уже не о	1	1
38	еще ничего не	1	1
39	романа в целом	3	1
40	в известном смысле	1	1
41	и в этом	4	1
42	не только для	1	1
43	нам представляется что	1	1
44	так и не	4	1
45	это своего рода	1	1
46	в свою очередь	1	1
47	той или иной	3	1
48	в связи с	1	1
49	всего романа в	1	1
50	к тому же	4	1
51	ответ на этот	1	1
52	при всей их	1	1
53	в целом ряде	1	1
54	в третий раз	1	1
55	первой части романа	1	1
56	того или иного	3	1
57	с одной из	1	1
58	речь идет уже	1	1
59	себя на место	1	1
60	в диалоге с	1	1
61	том смысле что	1	1
62	и особенно в	1	1
63	другой стороны и	1	1
64	и если бы	1	1
65	но отнюдь не	1	1
66	в конечном счете	2	1
67	в частности в	2	1
68	сразу же после	1	1
69	содержит в себе	3	1
70	между автором и	1	1
71	на всем протяжении	1	1
72	не о том	1	1
73	в поле зрения	2	1
74	все это делает	1	1
75	как и в	3	1
76	идет уже не	1	1
