N	2gram	Propp_Isto_5	Retstnzi
1	не может	6	4
2	и в	25	3
3	один из	2	2
4	если в	3	2
5	в иную	1	1
6	в особенности	3	1
7	смысл и	1	1
8	лучше всего	1	1
9	и не	11	1
10	не только	13	1
11	связи с	8	1
12	к историческому	1	1
13	точки зрения	2	1
14	но и	13	1
15	и заставляет	1	1
16	не менее	4	1
17	работ это	1	1
18	с другими	4	1
19	тех же	2	1
20	в ней	5	1
21	становится особенно	1	1
22	на месте	1	1
23	в то	3	1
24	с точки	1	1
25	и на	8	1
26	форм нет	1	1
27	для него	1	1
28	и социальной	1	1
29	мы видим	8	1
30	на нее	2	1
31	к тому	1	1
32	а не	2	1
33	может быть	17	1
34	несмотря на	2	1
35	в его	12	1
36	он в	1	1
37	же время	1	1
38	то же	4	1
39	и все	3	1
40	можно назвать	1	1
41	если бы	2	1
42	бы в	1	1
