N	2gram	Tiupa_Anal_1	Formalny
1	и в	18	24
2	в его	13	23
3	художественного произведения	5	23
4	прежде всего	6	22
5	и не	21	20
6	так и	4	18
7	не может	22	16
8	точки зрения	6	16
9	в этом	13	15
10	в нем	3	14
11	может быть	29	14
12	таким образом	3	13
13	с точки	4	13
14	и т	3	12
15	истории литературы	4	12
16	не менее	1	11
17	в своей	6	11
18	в их	5	11
19	должно быть	2	11
20	как и	13	11
21	и ее	1	10
22	вовсе не	2	10
23	литературное произведение	12	10
24	то же	9	10
25	и его	5	10
26	а не	17	10
27	в ней	1	10
28	в то	9	9
29	и потому	2	9
30	в процессе	2	9
31	же время	6	8
32	не в	14	8
33	и с	2	8
34	в ее	1	8
35	то что	6	8
36	произведения в	11	8
37	и на	5	8
38	как в	1	8
39	лишь в	5	8
40	именно в	4	8
41	в свою	1	8
42	место в	3	7
43	на самом	2	7
44	но и	17	7
45	жизни и	1	7
46	не только	15	7
47	должна быть	1	7
48	и от	1	7
49	все эти	2	6
50	о литературе	3	6
51	еще не	3	6
52	входит в	1	6
53	и все	3	6
54	сих пор	1	6
55	до сих	1	6
56	как это	1	6
57	а в	9	6
58	художественное произведение	5	6
59	отношения к	2	6
60	в том	27	6
61	в целом	5	6
62	отнюдь не	15	6
63	свою очередь	1	6
64	на основе	2	6
65	или менее	1	6
66	более или	1	6
67	в этой	5	6
68	самом деле	2	6
69	было бы	2	6
70	в пределах	2	6
71	как бы	5	6
72	в литературе	4	5
73	при этом	12	5
74	только на	1	5
75	бы ни	2	5
76	во всех	1	5
77	по себе	4	5
78	в искусстве	2	5
79	хотя бы	3	5
80	того что	4	5
81	как мы	2	5
82	и др	1	5
83	в самом	6	5
84	должен быть	6	5
85	с другой	4	5
86	но в	8	5
87	и до	2	5
88	со стороны	2	5
89	в которой	2	4
90	во всяком	1	4
91	в связи	1	4
92	литературная критика	1	4
93	отношению к	5	4
94	т п	3	4
95	учение о	1	4
96	исходить из	1	4
97	с другими	4	4
98	оно не	1	4
99	что в	5	4
100	с этой	1	4
101	в формах	1	4
102	литературного произведения	41	4
103	независимо от	1	4
104	по отношению	6	4
105	и к	3	4
106	мы увидим	1	4
107	при таком	1	4
108	никогда не	2	4
109	всяком случае	1	4
110	и может	1	4
111	искусства в	4	4
112	познания и	1	4
113	друг друга	1	4
114	одной стороны	3	4
115	для этого	2	4
116	с одной	3	4
117	в мире	8	4
118	не как	1	4
119	быть и	1	4
120	в частности	19	4
121	если бы	3	4
122	с его	3	4
123	историка литературы	1	4
124	сводится к	5	3
125	все же	4	3
126	для него	2	3
127	и наконец	1	3
128	аналогии с	1	3
129	бы то	3	3
130	отличается от	2	3
131	же в	1	3
132	здесь не	2	3
133	связи с	1	3
134	думать что	2	3
135	не было	1	3
136	литературы а	1	3
137	всего в	1	3
138	всех этих	1	3
139	наконец в	1	3
140	тем самым	7	3
141	в художественном	3	3
142	то ни	3	3
143	если он	1	3
144	более того	3	3
145	его художественной	1	3
146	влияние на	1	3
147	но не	10	3
148	смысле этого	1	3
149	его как	1	3
150	произведение как	1	3
151	отношение к	2	3
152	между ними	1	3
153	литературных произведений	1	3
154	в широком	4	3
155	особенно в	2	3
156	к тому	7	3
157	и даже	1	3
158	на все	2	3
159	она должна	1	3
160	они не	1	3
161	произведение в	2	3
162	бытия в	1	3
163	культуры и	1	3
164	а н	1	3
165	в отношении	1	3
166	зависимости от	1	3
167	один из	2	3
168	в литературоведении	2	3
169	литературном произведении	1	3
170	в основе	6	3
171	по аналогии	1	3
172	в них	1	3
173	в особенности	1	3
174	этого слова	7	3
175	как к	2	3
176	литературы как	2	3
177	определяется и	1	3
178	теоретической поэтики	1	3
179	произведения искусства	3	3
180	мы не	1	3
181	нашей работы	1	3
182	или иного	3	3
183	художественном произведении	1	3
184	его в	1	3
185	в области	4	3
186	что он	3	3
187	не о	2	3
188	исторической поэтики	2	3
189	на фоне	2	3
190	материала и	1	3
191	об искусстве	2	3
192	ни на	1	3
193	и как	5	3
194	в себе	11	3
195	он не	3	3
196	но это	1	3
197	войти в	1	2
198	может и	1	2
199	вопрос о	2	2
200	в него	1	2
201	тех же	1	2
202	могла бы	3	2
203	прежде чем	1	2
204	и является	2	2
205	произведение искусства	9	2
206	как с	1	2
207	к другим	1	2
208	литературные произведения	1	2
209	вопрос об	3	2
210	из этой	1	2
211	как раз	1	2
212	науки о	2	2
213	была бы	2	2
214	произведение является	1	2
215	в произведении	5	2
216	литературного развития	1	2
217	его и	2	2
218	вступает в	3	2
219	а только	1	2
220	и те	1	2
221	того или	3	2
222	с тем	1	2
223	в одном	1	2
224	в нашем	3	2
225	мы ни	1	2
226	том чтобы	7	2
227	не можем	1	2
228	но все	1	2
229	в году	1	2
230	жизни в	1	2
231	за свой	1	2
232	фактов и	1	2
233	соединении с	1	2
234	вместе с	4	2
235	к действительности	1	2
236	и должно	1	2
237	о мире	1	2
238	здесь в	1	2
239	она есть	2	2
240	искусства нет	1	2
241	не так	1	2
242	произведения как	7	2
243	нет и	2	2
244	между тем	5	2
245	сами по	2	2
246	из возможных	2	2
247	это не	6	2
