N	2gram	Vinokur_Ku_1	IolandNe
1	и с	5	3
2	и не	12	2
3	должен быть	4	2
4	в этом	14	2
5	он не	2	2
6	ничего не	2	2
7	самого себя	1	2
8	что в	17	2
9	бы что	1	2
10	только что	1	1
11	нисколько не	3	1
12	что для	1	1
13	все эти	6	1
14	после смерти	1	1
15	то и	2	1
16	точно и	1	1
17	с другой	7	1
18	для него	1	1
19	того чтобы	17	1
20	того что	9	1
21	отношению к	9	1
22	понятий и	1	1
23	не так	1	1
24	говорить о	1	1
25	же это	1	1
26	не дает	1	1
27	тех же	1	1
28	от нее	1	1
29	в целом	4	1
30	это было	2	1
31	во многом	1	1
32	следующим образом	1	1
33	утверждает что	1	1
34	так и	7	1
35	к нам	1	1
36	и со	1	1
37	и ничего	1	1
38	доказать что	2	1
39	них не	1	1
40	могло бы	1	1
41	жизни и	1	1
42	по отношению	8	1
43	как о	2	1
44	себя в	1	1
45	и сам	1	1
46	у всех	1	1
47	если бы	9	1
48	того же	4	1
49	от этого	2	1
50	факты и	2	1
51	а с	3	1
52	и еще	2	1
53	чтобы доказать	1	1
54	в первую	4	1
55	только для	1	1
56	первую очередь	2	1
57	а также	1	1
58	для того	16	1
59	есть только	1	1
60	бы в	7	1
61	а в	5	1
62	очевидно что	3	1
63	то она	1	1
64	по существу	4	1
65	и в	24	1
66	другое дело	2	1
67	как только	1	1
68	не случайно	6	1
69	все это	6	1
70	тем что	8	1
71	а если	3	1
72	его ученики	1	1
73	я не	2	1
74	другой стороны	6	1
75	никогда не	2	1
76	в них	7	1
77	и без	1	1
