N	4gram	Losev_Dial_4	StatiiOP
1	дело в том что	1	4
2	и т д но	1	4
3	в то же время	6	4
4	не имеет ничего общего	2	2
5	и т д и	3	2
6	не говорю уже о	1	2
7	но в то же	2	2
8	имеет ничего общего с	2	2
9	заключается вовсе не в	1	1
10	в каждый отдельный момент	1	1
11	т д и т	2	1
12	уже о том что	1	1
13	но дело в том	1	1
14	и т д в	1	1
15	ни в каком случае	1	1
16	и в то же	2	1
17	д и т д	2	1
18	что с точки зрения	1	1
19	и т д как	1	1
20	неизвестно кем и неизвестно	1	1
21	вовсе не в том	2	1
22	не говоря уже о	3	1
23	одних и тех же	2	1
24	по крайней мере он	1	1
25	говорю уже о том	1	1
