N	2gram	Berdyaev_N_1	Vvedenie
1	и в	16	32
2	в том	8	31
3	в этом	7	30
4	может быть	7	26
5	том что	2	26
6	не только	5	22
7	для того	1	21
8	того чтобы	2	20
9	то что	4	16
10	потому что	4	15
11	так как	1	15
12	не может	16	14
13	но также	1	14
14	в нем	5	13
15	в самом	1	13
16	о том	4	13
17	как на	1	12
18	и не	11	12
19	только в	1	12
20	в его	1	12
21	в ее	3	11
22	что такое	3	11
23	что в	9	10
24	по себе	1	9
25	этом смысле	2	9
26	в той	1	9
27	в истории	3	9
28	но в	2	9
29	не менее	4	8
30	не в	6	8
31	с другой	3	8
32	это не	4	8
33	но не	2	7
34	вопрос о	3	7
35	прежде всего	4	7
36	было бы	1	7
37	можно было	2	7
38	сих пор	1	6
39	до сих	1	6
40	с тем	3	6
41	но и	3	6
42	и даже	2	6
43	как и	7	6
44	и его	1	6
45	в то	2	6
46	смысле слова	3	6
47	хотя бы	2	6
48	о природе	1	6
49	тем что	1	6
50	не могут	1	6
51	все это	5	6
52	и это	2	6
53	из этих	1	6
54	том чтобы	2	6
55	как например	1	5
56	а не	17	5
57	но если	1	5
58	что не	1	5
59	сказать что	3	5
60	вместе с	2	5
61	с их	2	5
62	по своему	4	5
63	в них	4	5
64	другой стороны	2	5
65	могут быть	2	5
66	есть и	1	5
67	быть в	2	5
68	уже в	1	5
69	не есть	3	5
70	в себе	2	4
71	еще не	3	4
72	во всяком	1	4
73	от этого	1	4
74	и для	4	4
75	как это	2	4
76	в своей	3	4
77	а в	2	4
78	что он	1	4
79	связана с	2	4
80	не имеет	4	4
81	всяком случае	1	4
82	времени и	2	4
83	уже не	2	4
84	особого рода	1	4
85	одной стороны	2	4
86	но ведь	1	4
87	в котором	1	4
88	с одной	2	4
89	и что	2	4
90	истории и	9	4
91	и заключается	2	4
92	все эти	2	3
93	говорить о	1	3
94	можно сказать	1	3
95	так же	2	3
96	известном смысле	1	3
97	к нему	1	3
98	раньше чем	1	3
99	в конце	1	3
100	вот почему	2	3
101	и есть	10	3
102	совсем не	12	3
103	но все	1	3
104	в области	1	3
105	культуры в	5	3
106	смысле как	1	3
107	к тому	3	3
108	хотя и	2	3
109	духовной жизни	2	3
110	и к	5	3
111	есть еще	1	3
112	в центре	2	3
113	в чем	1	3
114	своего рода	1	3
115	в сущности	1	3
116	такого рода	2	3
117	чтобы понять	1	3
118	в этой	1	3
119	в этих	1	3
120	которых не	2	3
121	и на	2	3
122	времени в	2	3
123	нет надобности	1	3
124	в известном	1	3
125	должен быть	5	3
126	а также	1	3
127	в каком	1	3
128	то это	1	3
129	в ней	5	3
130	что она	2	3
131	своей природе	1	3
132	как будто	2	3
133	на нее	1	3
134	из них	1	3
135	в виду	1	3
136	вообще не	1	3
137	в своем	1	3
138	зависит от	2	3
139	к таким	1	2
140	был в	1	2
141	когда мы	2	2
142	все более	1	2
143	в значительной	1	2
144	и с	2	2
145	ни одна	2	2
146	жизни и	8	2
147	и сейчас	1	2
148	того же	1	2
149	мы говорим	2	2
150	значение и	1	2
151	в более	1	2
152	это есть	7	2
153	не к	2	2
154	в этот	1	2
155	для них	1	2
156	так и	2	2
157	не было	4	2
158	должна быть	3	2
159	есть лишь	4	2
160	мы не	2	2
161	во всех	3	2
162	нашего времени	2	2
163	мы должны	1	2
164	на протяжении	2	2
165	нуждается в	1	2
166	этого не	1	2
167	в силу	1	2
168	будет в	1	2
169	ко времени	1	2
170	никогда не	6	2
171	не с	1	2
172	мысли и	2	2
173	к самой	2	2
174	все время	2	2
175	у нас	1	2
176	понять что	1	2
177	истории в	5	2
178	в прошлом	3	2
179	что нет	1	2
180	средних веков	1	2
181	с этим	2	2
182	должно быть	4	2
183	движение от	2	2
184	не столько	1	2
185	вопросу о	1	2
186	только так	1	2
187	тому как	3	2
188	не могли	2	2
189	а во-вторых	1	2
190	для этого	2	2
191	одна из	2	2
192	мы уже	1	2
193	и истории	1	2
194	будто бы	1	2
195	же как	2	2
196	от того	1	2
197	них не	1	2
198	значение в	1	2
199	истории из	1	2
200	или нет	1	2
201	философии и	1	2
202	истории не	3	2
203	в основу	1	2
204	народов и	1	2
205	от других	1	2
206	природе и	2	2
207	подобно тому	3	2
208	не существует	3	2
209	еще при	1	2
210	по существу	2	2
211	познания и	2	2
212	и должно	2	2
213	смысле и	1	2
214	есть только	1	2
215	нового типа	2	2
216	это уже	1	2
217	себе и	1	2
218	что мы	1	2
219	жизни как	2	2
220	ни к	2	2
221	античной культуры	1	2
222	ближе к	1	2
223	и творчества	2	2
224	философской мысли	1	2
225	он и	1	2
226	и до	1	2
227	но это	6	2
228	и из	1	1
229	не могла	2	1
230	одну из	1	1
231	жизни а	1	1
232	мысли но	1	1
233	через них	1	1
234	не означает	3	1
235	и дух	1	1
236	и совсем	1	1
237	не значит	3	1
238	и того	1	1
239	но для	2	1
240	но он	1	1
241	совершающееся в	1	1
242	это и	2	1
243	а это	1	1
244	человеческого духа	1	1
245	не должно	1	1
246	принято считать	1	1
247	как часто	1	1
248	потребность в	1	1
249	чтобы эти	1	1
250	в каких	1	1
251	был и	1	1
252	в духовной	2	1
253	содержанию а	1	1
254	в статье	1	1
255	к древним	1	1
256	и все	4	1
257	есть в	2	1
258	не по	1	1
259	оба они	1	1
260	их стремление	1	1
261	не свободен	1	1
262	этой системе	1	1
263	это конечно	1	1
264	имея в	1	1
265	быть только	1	1
266	во-вторых нужно	1	1
267	к которому	1	1
268	под этим	1	1
269	и трудно	1	1
270	и всеми	1	1
271	более сложной	1	1
272	или иная	1	1
273	которая должна	1	1
274	нем не	1	1
275	что будет	1	1
276	групп и	1	1
277	в средние	3	1
278	бытия и	1	1
279	заключает в	1	1
