N	2gram	Propp_Morf_1	Analitik
1	в качестве	5	31
2	может быть	52	29
3	в том	6	27
4	не может	14	22
5	и не	12	21
6	в частности	2	19
7	и в	13	18
8	но и	4	17
9	а не	11	17
10	представляет собой	17	16
11	не только	4	15
12	тогда как	2	14
13	не в	3	14
14	в этом	14	13
15	как и	3	13
16	в его	1	13
17	при этом	1	12
18	том что	4	12
19	в себе	1	11
20	состоит в	2	11
21	но не	4	10
22	то же	7	9
23	в то	3	9
24	а в	7	9
25	научного описания	1	8
26	но в	2	8
27	в той	1	8
28	не есть	1	8
29	к тому	4	7
30	мы имеем	9	6
31	в сущности	3	6
32	по отношению	4	6
33	отличие от	1	6
34	это не	6	6
35	далеко не	5	6
36	точки зрения	2	6
37	в своей	1	6
38	в основе	1	6
39	только в	2	6
40	себя в	1	6
41	то что	8	6
42	прежде всего	9	6
43	и на	1	5
44	и как	5	5
45	в целом	3	5
46	в этой	2	5
47	и его	1	5
48	о том	2	5
49	между тем	5	5
50	как бы	3	5
51	отношению к	4	5
52	что в	8	5
53	более чем	1	4
54	все же	7	4
55	смысла но	1	4
56	с другими	1	4
57	не всегда	9	4
58	с точки	2	4
59	и более	1	4
60	в области	1	4
61	ни в	1	4
62	могут быть	16	4
63	так и	6	4
64	не с	2	4
65	в другом	2	4
66	на вопрос	2	4
67	с другой	8	4
68	того что	3	4
69	дело с	1	4
70	уже не	2	4
71	для того	2	4
72	с другим	1	4
73	себя и	2	4
74	из которых	3	4
75	собственно говоря	1	4
76	не более	1	4
77	ни было	2	4
78	и т	41	3
79	одним из	1	3
80	таком случае	1	3
81	и есть	2	3
82	между двумя	1	3
83	бы то	3	3
84	если в	5	3
85	в рамках	1	3
86	вступает в	1	3
87	и к	4	3
88	в нашем	3	3
89	он не	3	3
90	в силу	1	3
91	подобно тому	6	3
92	таким образом	21	3
93	то ни	3	3
94	не будет	1	3
95	бы быть	1	3
96	того или	1	3
97	даже в	1	3
98	ведет к	1	3
99	в ходе	4	3
100	однако в	2	3
101	дело не	2	3
102	того чтобы	3	3
103	в таком	1	3
104	как будто	2	3
105	не могут	4	3
106	оно может	3	3
107	могла бы	4	3
108	в собственном	3	3
109	если бы	2	3
110	означает что	2	3
111	а также	4	3
112	к нему	3	3
113	с его	2	3
114	том или	1	3
115	еще не	3	3
116	с одной	1	3
117	вопроса о	1	3
118	никто не	3	3
119	что и	7	3
120	одной стороны	1	3
121	а именно	1	3
122	а с	2	3
123	что не	1	3
124	тому как	5	3
125	быть не	1	3
126	что мы	2	3
127	она может	1	3
128	и все	1	3
129	хотя бы	4	3
130	что он	4	3
131	самом деле	4	2
132	на самом	4	2
133	он может	2	2
134	в первом	3	2
135	также и	4	2
136	целью узнать	1	2
137	и то	1	2
138	между собой	4	2
139	данном случае	1	2
140	не все	6	2
141	отношение к	1	2
142	что именно	1	2
143	не ощущается	1	2
144	до его	1	2
145	могли бы	1	2
146	как уже	2	2
147	с двумя	2	2
148	то в	3	2
149	в которой	3	2
150	все эти	2	2
151	к месту	2	2
152	бы не	1	2
153	из этих	1	2
154	рассказ о	1	2
155	и до	1	2
156	героя к	1	2
157	на его	4	2
158	одному из	3	2
159	и по	2	2
160	на этом	3	2
161	или иных	1	2
162	и с	1	2
163	на все	1	2
164	из них	3	2
165	вовсе не	4	2
166	так как	16	2
167	несмотря на	4	2
168	такой же	1	2
169	для него	1	2
170	не столько	1	2
171	случае это	1	2
172	вопрос о	7	2
173	данный текст	1	2
174	только для	1	2
175	для данного	1	2
176	которые в	1	2
177	в коем	1	2
178	текста к	1	2
179	потому что	3	2
180	же самое	1	2
181	как мы	6	2
182	здесь не	2	2
183	мысль о	1	2
184	в пределах	3	2
185	представляют собой	11	2
186	читателя в	1	2
187	еще в	1	2
188	должно быть	1	2
189	но к	1	2
190	и просто	1	2
191	можно сказать	2	2
192	деле в	1	2
193	язык есть	1	2
194	один из	5	2
195	ли он	1	2
196	который в	2	2
197	коем случае	1	2
198	или не	3	2
199	в начале	3	2
200	при помощи	9	2
201	его и	2	2
202	случае не	3	2
203	этом отношении	1	2
204	со стороны	3	2
205	было бы	3	2
206	представляет собою	6	2
207	в ряду	1	2
208	в данном	1	2
209	она есть	1	2
210	что же	2	2
211	первом случае	3	2
212	и тогда	1	2
213	см ниже	2	2
214	тех или	1	2
215	не является	3	2
216	отвечает на	1	2
217	другой стороны	4	2
218	в свое	2	2
219	героя в	4	2
220	в какой	3	2
221	например в	2	1
222	к текстам	1	1
223	смысле слова	4	1
224	изучения в	2	1
225	е годы	1	1
226	тех же	4	1
227	и должны	1	1
228	явления и	1	1
229	выводы об	1	1
230	должна быть	1	1
231	собственном смысле	3	1
232	по его	1	1
233	мы уже	1	1
234	она в	2	1
235	мы не	8	1
236	но никто	1	1
237	положения в	1	1
238	имеется и	1	1
239	со смертью	2	1
240	есть нечто	3	1
241	равно как	1	1
242	и объект	1	1
243	не вполне	1	1
244	оно есть	1	1
245	не происходит	3	1
246	как не	1	1
247	здесь как	1	1
248	героев в	1	1
249	ступеней научного	1	1
250	он был	1	1
251	он сам	1	1
252	общих выводов	1	1
253	в различных	2	1
254	в чем	1	1
255	если исходить	1	1
256	во всех	4	1
257	тем как	1	1
258	или во	1	1
259	чем это	2	1
260	мы будем	3	1
261	но как	2	1
262	на трех	1	1
263	не входит	1	1
264	поставить на	1	1
265	или по	2	1
266	герой не	2	1
267	или иное	1	1
268	в е	1	1
269	н веселовский	1	1
270	вследствие чего	1	1
271	написано на	1	1
272	первый взгляд	3	1
273	независимо от	3	1
274	как в	3	1
275	данный момент	1	1
276	если на	1	1
277	за этим	1	1
278	что действительно	2	1
279	о жизни	1	1
280	будто не	2	1
281	что ее	1	1
282	что касается	1	1
283	помнить что	1	1
284	в противном	1	1
285	в полном	1	1
286	и наконец	1	1
287	по пути	1	1
288	более или	2	1
289	не приходится	1	1
290	та же	2	1
291	с какой	1	1
292	что это	1	1
293	здесь имеется	2	1
294	учение о	3	1
295	отношение между	1	1
296	и тот	1	1
297	только один	1	1
298	большого объема	1	1
299	имеем в	6	1
300	если он	1	1
301	а вовсе	1	1
302	но прежде	1	1
303	противном случае	1	1
304	отдельных случаях	3	1
305	не значит	2	1
306	в виде	2	1
307	волшебная сказка	1	1
308	его можно	1	1
309	и наоборот	4	1
310	в основу	2	1
311	но все	3	1
312	здесь мы	3	1
313	однако все	1	1
314	сказка в	3	1
315	а затем	4	1
316	же не	1	1
317	в состоянии	1	1
318	тем в	1	1
319	и может	1	1
320	затем уже	2	1
321	том случае	1	1
322	его в	2	1
323	ощущается как	1	1
324	мы постараемся	2	1
325	и тем	2	1
326	еще одно	1	1
327	из первых	2	1
328	в ином	2	1
329	от отца	1	1
330	в них	1	1
331	моментов а	1	1
332	с тем	2	1
333	между собою	2	1
334	действительно не	1	1
335	и становится	1	1
336	вопроса об	1	1
337	или менее	2	1
338	в этих	13	1
339	ведут к	1	1
340	все более	1	1
341	во время	6	1
342	и при	1	1
343	этой связи	1	1
344	и ее	3	1
345	к истории	1	1
346	может само	1	1
347	не от	2	1
348	что говорит	1	1
349	в которых	2	1
350	в сказке	15	1
351	втором случае	1	1
352	точку зрения	1	1
353	но он	1	1
354	их в	1	1
355	целое то	1	1
356	не должно	1	1
357	есть всегда	1	1
358	тому что	4	1
359	а от	1	1
360	не менее	5	1
361	царской дочери	1	1
362	в обоих	2	1
363	одна из	4	1
364	на него	3	1
365	не вызывает	1	1
366	в самых	2	1
367	это еще	1	1
368	для данной	1	1
369	может только	1	1
370	из этой	1	1
371	а сама	1	1
372	на котором	3	1
373	ничего не	4	1
374	под этим	1	1
375	иными словами	1	1
376	б в	2	1
377	к концу	1	1
378	во всем	1	1
379	значительное количество	1	1
380	но это	6	1
381	быть определено	1	1
382	в каком	2	1
383	с другом	1	1
384	одно и	1	1
385	частности как	1	1
386	оно не	2	1
387	утверждать что	3	1
388	и был	1	1
389	сюжет с	1	1
390	в виду	1	1
391	людей в	1	1
392	нашей работы	2	1
393	в в	2	1
394	как по	1	1
395	на той	2	1
396	анализ и	1	1
397	встреча с	1	1
398	на свой	1	1
399	сказки как	2	1
400	как с	1	1
401	если они	2	1
402	же касается	1	1
403	те же	1	1
404	а этот	1	1
405	оно как	2	1
406	том как	1	1
407	в отдельных	3	1
408	он служит	1	1
409	собой и	1	1
410	простейший пример	1	1
411	не отвечает	1	1
412	к разрешению	1	1
413	материала и	1	1
414	говорить не	1	1
415	но мы	3	1
416	живой язык	1	1
417	и что	2	1
418	на что	1	1
419	может не	1	1
420	как было	1	1
421	положения и	1	1
422	мифах и	1	1
423	герой волшебной	1	1
424	во всей	1	1
425	целого а	1	1
426	и иных	2	1
427	мы вполне	1	1
428	вплоть до	1	1
429	в работу	1	1
430	в него	1	1
431	тех пор	1	1
432	герой в	1	1
433	быть и	2	1
434	в формах	1	1
435	на которой	1	1
436	мы увидим	8	1
437	что даже	1	1
438	друг друга	3	1
439	как нечто	1	1
440	знаки и	1	1
441	входит в	2	1
442	но то	1	1
443	все они	1	1
444	так что	1	1
445	для всех	1	1
446	связи с	10	1
447	не можем	1	1
448	в итоге	2	1
449	действующего лица	1	1
450	другим что	1	1
451	от других	2	1
452	слова не	1	1
453	во втором	3	1
454	а то	3	1
455	соглашаясь с	1	1
456	в данной	1	1
457	за ним	1	1
458	без такого	2	1
459	не так	1	1
460	всяком случае	2	1
461	могло бы	1	1
462	как их	2	1
463	мы находим	1	1
464	в одном	1	1
465	от тех	1	1
466	у него	1	1
467	как раз	1	1
468	это по	1	1
469	другой а	1	1
470	само собой	1	1
471	были бы	1	1
472	только на	1	1
473	в особенности	1	1
474	и даже	1	1
475	требует чтобы	3	1
476	даже не	3	1
477	материала а	2	1
478	до сих	1	1
479	всей своей	1	1
480	может и	1	1
481	одну из	1	1
482	вслед за	5	1
483	лица в	1	1
484	человека а	1	1
485	действующих лиц	11	1
486	и др	10	1
487	предмета но	1	1
488	в рассказе	1	1
489	непосредственно к	1	1
490	не означает	1	1
491	однако и	1	1
492	других для	1	1
493	становится на	1	1
494	о чем	1	1
495	наличности в	1	1
496	если не	1	1
497	в связи	9	1
498	исходить из	1	1
499	можно утверждать	1	1
500	в некое	1	1
501	как это	3	1
502	в лице	1	1
503	к персонажу	1	1
504	ним как	1	1
505	по своему	2	1
506	первоначальном виде	1	1
507	в течение	1	1
508	в тот	1	1
509	друг с	1	1
510	форма в	3	1
511	к определению	1	1
512	с этой	1	1
513	еще раз	1	1
514	сих пор	1	1
515	о его	1	1
516	и таким	2	1
517	получает от	1	1
518	перед нами	10	1
519	быть зафиксированы	1	1
520	тому или	1	1
521	она должна	1	1
522	является ли	1	1
523	и для	2	1
524	волшебной сказки	2	1
525	это правило	1	1
526	указать на	1	1
527	случае если	1	1
528	прежде чем	3	1
529	или в	4	1
530	в результате	7	1
531	между ними	1	1
532	о котором	1	1
533	хотя и	3	1
534	чем является	1	1
535	и вызывает	3	1
536	на первый	3	1
537	для нас	2	1
538	от него	1	1
539	в сюжет	1	1
540	мы должны	3	1
541	же оно	2	1
542	идет об	1	1
543	же в	2	1
544	на части	1	1
545	а н	1	1
546	в карты	3	1
547	все еще	3	1
548	не знает	1	1
549	применение его	1	1
550	сюжет есть	1	1
551	совершенно не	1	1
552	из этого	1	1
553	также может	2	1
554	также не	1	1
555	ее в	1	1
556	они не	1	1
557	во всяком	2	1
